"通汇金融代号","总单位名称","帐号长度","地址","电话"
"004","台湾银行","12位\n信用卡14位","台北市重庆南路一段１２０号","02 23493399"
"通汇金融代号","支单位名称","地址","电话"
"0040037","营业部","台北市重庆南路一段１２０号","02 23493456"
"0040059","公库部","台北市贵阳街一段１２０号","02 23494123"
"0040071","馆前分行","台北市馆前路４９号","02 23812949"
"0040093","台南分行","台南市府前路一段１５５号","06 2160168"
"0040107","台中分行","台中市自由路一段１４０号","04 22224001"
"0040118","高雄分行","高雄市中正四路２６４号","07 2515131"
"0040129","基隆分行","基隆市义一路１６号","02 24247113"
"0040130","中兴新村分行","南投县南投市中兴新村光华路１１号","0492332101"
"0040141","嘉义分行","嘉义市中山路３０６号","05 2224471"
"0040152","新竹分行","新竹市林森路２９号","03 5266161"
"0040163","彰化分行","彰化县彰化市成功路１３０号","04 7225191"
"0040174","屏东分行","屏东县屏东市中山路４３号","08 7328141"
"0040185","花莲分行","花莲县花莲市公园路３号","03 8322151"
"0040196","延平分行","台北市南京西路４０６号","02 25522859"
"0040200","中山分行","台北市中山北路一段１５０号","02 25423434"
"0040211","高雄加工出口区分行","高雄市高雄加工出口区中一路１号","07 8215141"
"0040222","宜兰分行","宜兰县宜兰市中山路１号","03 9355121"
"0040233","台东分行","台东县台东市中山路３１３号","089324201"
"0040244","澎湖分行","澎湖县马公市仁爱路２４号","06 9279935"
"0040255","凤山分行","高雄县凤山市曹公路２０号","07 7416131"
"0040266","桃园分行","桃园县桃园市中正路４６号","03 3352801"
"0040277","板桥分行","台北县板桥市府中路２１号","02 29680172"
"0040288","新营分行","台南县新营市中正路８号","06 6351111"
"0040299","苗栗分行","苗栗县苗栗市中正路５１０号","037326791"
"0040303","丰原分行","台中县丰原市中正路３０２号","04 25278686"
"0040314","斗六分行","云林县斗六市文化路２７号","05 5324155"
"0040325","南投分行","南投县南投市复兴路１０１号","0492232121"
"0040336","南门分行","台北市南昌街一段１２０号","02 23512121"
"0040347","公馆分行","台北市罗斯福路四段１２０号","02 23672581"
"0040358","左营分行","高雄市左营大路１９号","07 5819141"
"0040369","北投分行","台北市北投区中央南路一段１５２号","02 28951200"
"0040370","雾峰分行","台中县雾峰乡中正路８３８号","04 23302216"
"0040381","金门分行","金门县金湖镇复兴路４号","08 2333711"
"0040392","马祖分行","连江县马祖南竿介寿村文化路２５７号","08 3626046"
"0040406","安平分行","台南市中正路２４０号１－４楼","06 2292181"
"0040417","中坜分行","桃园县中坜市延平路５８０号","03 4252161"
"0040428","三重分行","台北县三重市重新路四段３９号","02 29719621"
"0040439","头份分行","苗栗县头份镇中正路６５号","037663451"
"0040440","前镇分行","高雄市前镇区扩建路１∣３号","07 8115171"
"0040451","城中分行","台北市青岛东路４７号","02 23218934"
"0040462","民权分行","台北市承德路二段１６４号","02 25530121"
"0040473","潭子分行","台中县潭子乡建国路１号","04 25323133"
"0040484","永和分行","台北县永和市永和路一段９７号","02 29216611"
"0040495","员林分行","彰化县员林镇民生路６３号","04 8323191"
"0040509","松江分行","台北市松江路１１５号","02 25069421"
"0040510","鼓山分行","高雄市临海一路２３号","07 5218291"
"0040521","龙山分行","台北市康定路３８０号","02 23088111"
"0040532","忠孝分行","台北市敦化南路一段２０２号","02 27516091"
"0040543","信义分行","台北市信义路二段８８号","02 23515486"
"0040554","复兴分行","台中市复兴路四段１０２号","04 22244181"
"0040565","三民分行","高雄市三民区九如二路５６７号","07 3127143"
"0040576","台中港分行","台中县梧栖镇梧栖路４７号","04 26562311"
"0040587","罗东分行","宜兰县罗东镇公正路９３号","03 9576866"
"0040598","埔里分行","南投县埔里镇东荣路１１２号","0492983991"
"0040602","冈山分行","高雄县冈山镇寿天路１６号","07 6216141"
"0040613","新兴分行","高雄市新兴区民族二路１３３号","07 2384611"
"0040624","苓雅分行","高雄市苓雅区青年一路２６１号","07 3358700"
"0040646","松山分行","台北市忠孝东路四段５６０号","02 27293111"
"0040657","健行分行","台中市中正路１４４号","04 22242141"
"0040668","中和分行","台北县中和市中山路二段２５３号","02 22488980"
"0040679","太保分行","嘉义县太保市祥和新村祥和一路２号","05 3620016"
"0040680","竹北分行","新竹县竹北市光明六路１６号","03 5513111"
"0040705","士林分行","台北市士林区中山北路六段２４８号","02 28367080"
"0040716","新庄分行","台北县新庄市新泰路８５号","02 22056699"
"0040727","大甲分行","台中县大甲镇文武路１０号","04 26868111"
"0040738","新竹科学园区分行","新竹市新竹科学园区工业东六路５号二楼","03 5770050"
"0040749","树林分行","台北县树林市中山路一段１６６号","02 26866511"
"0040750","新店分行","台北县新店市宝中路４５号","02 29180795"
"0040794","黎明分行","台中市南屯区黎明路３７号６之１","04 22551178"
"0040808","民生分行","台北市复兴北路１６７号","02 27192081"
"0040819","永康分行","台南县永康市小东路５１３号","06 3125411"
"0040820","三多分行","高雄市新光路１４２号","07 3349341"
"0040853","台北世贸中心分行","台北市基隆路一段３３３号三楼","02 27200315"
"0040864","大安分行","台北市信义路四段１６５号","02 27553121"
"0040875","华江分行","台北县板桥市中山路一段２９３∣２号","02 29610101"
"0040886","潮州分行","屏东县潮州镇新生路１３之２号","08 7883084"
"0040897","苏澳分行","宜兰县苏澳镇中山路９７号","03 9962566"
"0040901","大雅分行","台中县大雅乡民生路２１０号","04 25683330"
"0040912","楠梓分行","高雄市楠梓区楠梓路２０１号１－３楼","07 3532115"
"0040923","台中工业区分行","台中市工业区一路１９６号","04 23597850"
"0041067","敦化分行","台北市敦化北路２０５号","02 25455111"
"0041078","南港分行","台北市南港路二段９５号","02 26516706"
"0041089","和平分行","台北市和平东路一段２３８号","02 23687027"
"0041090","水湳分行","台中市崇德路二段４６号","04 22468130"
"0041104","中仑分行","台北市南京东路五段１０８号","02 27698618"
"0041115","土城分行","台北县土城市中央路二段３４４号","02 22703791"
"0041159","桃园国际机场分行","桃园县大园乡航站南路１５号","03 3982166"
"0041160","大昌分行","高雄市大顺二路４１７号","07 3891036"
"0041182","五甲分行","高雄县凤山市五甲二路１６８号","07 7170730"
"0041193","博爱分行","高雄市左营区裕诚路３９４号","07 5567690"
"0041207","中庄分行","高雄县大寮乡凤屏一路２９５号","07 7038838"
"0041218","平镇分行","桃园县平镇市环南路二段１１号","03 4945688"
"0041229","仁爱分行","台北市仁爱路二段９９号","02 23975936"
"0041230","南崁分行","桃园县芦竹乡南崁路一段８１号","03 3529191"
"0041241","圆山分行","台北市中山北路三段３１号","02 25976699"
"0041355","五股分行","台北县五股乡中兴路四段４２号","02 22936699"
"0041366","大里分行","台中县大里市国光路二段４８１号","04 24180211"
"0041377","安南分行","台南市安和路二段２９８号１－３楼","06 3555111"
"0041414","西屯分行","台中市西屯区青海路二段４１号","04 23128528"
"0041425","天母分行","台北市中山北路七段１８号","02 28755222"
"0041436","鹿港分行","彰化县鹿港镇鹿工路２号","04 7810168"
"0041447","内坜分行","桃园县中坜市兴农路１２５号","03 4618519"
"0041469","台南科学园区分行","台南县新市乡南科三路１５号２楼","06 5051701"
"0041470","虎尾分行","云林县虎尾镇林森路２段３６９号","05 6337367"
"0041481","淡水分行","台北县淡水镇中山路９３号","02 26281111"
"0041539","内湖分行","台北市内湖路一段３９６号","02 87977933"
"0041540","嘉北分行","嘉义市民国路２１１─３号","05 2718911"
"0041551","东港分行","屏东县东港镇中正路１１４号","08 8323131"
"0041562","汐止分行","台北县汐止市大同路二段１７５号","02 86926822"
"0041573","梧栖分行","台中县梧栖镇中港加工出口区建五路２号","04 26565111"
"0041595","小港分行","高雄市宏平路４１０号","07 8010399"
"0041609","中屏分行","屏东县屏东市中华路９号","08 7677001"
"0041621","群贤分行","台北市中山南路１号","02 23411001"
"0041643","北大路分行","新竹市北大路６８号","03 5354381"
"0041654","文山分行","台北市罗斯福路六段２１８号","02 86633456"
"0041702","太平分行","台中县太平市中兴东路１４６号","04 22736666"
"0041713","德芳分行","台中县大里市中兴路二段５２２号","04 24853280"
"0041724","建国分行","桃园县中坜市健行路１６９号","03 4670081"
"0041768","盐埔分行","屏东县盐埔乡胜利路３７号","08 7932111"
"0041805","新园分行","屏东县新园乡新东村平和路２３０号","08 8687705"
"0041861","东桃园分行","桃园县桃园市经国路３００号","03 3263888"
"0041872","芦洲分行","台北县芦洲市三民路５０号","02 82868686"
"0041919","高雄国际机场分行","高雄市小港区中山四路２号","07 8017564"
"0041931","永吉简易型分行","台北市松仁路３号","02 27209856"
"0041942","东门简易型分行","台北市仁爱路一段４２号","02 23943168"
"0041953","爱国简易型分行","台北市爱国东路３１号","02 23960017"
"0041975","宝庆简易型分行","台北市宝庆路３５号","02 23311141"
"0041986","台电简易型分行","台北市罗斯福路三段２４２号","02 23667507"
"0042053","北府简易型分行","台北县板桥市中山路一段１６１号","02 89535968"
"0042189","台北港分行","台北县八里乡商港路１２３号２楼","02 26196269"
"0042204","台中科学园区分行","台中县大雅乡中科路６号２楼之６","04 25658111"
"0042215","高雄科学园区分行","高雄县路竹乡科５号８２号","07 6955268"
"0042237","东湖分行","台北市内湖区成功路５段４５８号","02 26305768"
"0042248","高荣分行","高雄市左营区重信路４１５号","07 3432258"
"0042259","南港软体园区分行","台北市南港区三重路６６号２楼之２","02 27833009"
"0042260","龙潭分行","桃园县龙潭乡东龙路１４２号","03 4790888"
"0042271","仁德分行","台南县仁德乡中正路２段８９９号","06 2492389"
"0042282","林口分行","桃园县龟山乡复兴一路３６８号","03 3277299"
"0042293","木栅分行","台北市文山区新光路１段１４５号","02 86615115"
"0042307","台南创新园区分行","台南市安南区工业二路３１号","06 3842585"
"0042363","武昌分行","台北市武昌街一段４９号","02 23493456"
"0042385","台北分行","台北市松江路８０号","02 25435790"
"0042396","金山分行","台北市金山南路二段１８９号","02 23413006"
"0042400","信安分行","台北市信义路三段１３２号","02 27057905"
"0042411","剑潭分行","台北市承德路四段１７４号","02 28831633"
"0042422","万华分行","台北市贵阳街二段２６号","02 23830066"
"0042433","板新分行","台北县板桥市文化路一段２６８号","02 22540560"
"0042444","双和分行","台北县中和市中和路１２６号","02 82457558"
"0042455","南新庄分行","台北县新庄市中正路６５３号","02 29012999"
"0042466","桃兴分行","桃园县桃园市延平路２８－８号","03 3645566"
"0042477","新明分行","桃园县中坜市新明路７号","03 4951301"
"0042488","六家分行","新竹县竹北市光明六路东一段３１２号","03 6585858"
"0042499","北台中分行","台中市北区太平路１７号","04 22257412"
"0042503","中台中分行","台中市民权路９５号","04 22281191"
"0042514","员中分行","彰化县员林镇莒光路１８０号","04 8366911"
"0042525","嘉南分行","嘉义市中兴路３５３号","05 2348686"
"0042536","南都分行","台南市忠义路二段１８０号","06 2219999"
"0042547","前金分行","高雄市中正四路２５９号","07 2413200"
"0042558","北高雄分行","高雄市左营区博爱二路１０６号","07 5581900"
"0042569","成功分行","高雄市成功一路２６１号","07 2512031"
"0042570","北花莲分行","花莲县花莲市光复街６１号","03 8361163"
"0042709","新湖分行","台北市内湖区行爱路１８８号","02 87927988"
"0042710","五福分行","高雄市苓雅区四维二路５２号１楼","07 7271606"
"0042721","六甲顶分行","台南县永康市中正南路４１号","06 2810991"
