"通汇金融代号","总单位名称","帐号长度","地址","电话"
"005","台湾土地银行","存款类12位\n放款类13位","台北市馆前路４６号","02 23483456"
"通汇金融代号","支单位名称","地址","电话"
"0050027","基隆分行","基隆市义一路１８号","02 24210200"
"0050038","中和分行","台北县中和市景平路３２３号","02 29461123"
"0050049","南港分行","台北市南港路一段３６４号１楼","02 27834161"
"0050050","台北分行","台北市博爱路７２号","02 23713241"
"0050061","民权分行","台北市民权西路２６号","02 25629801"
"0050072","古亭分行","台北市罗斯福路三段１２５号","02 23634747"
"0050083","长安分行","台北市长安东路二段５２号","02 25238166"
"0050094","士林分行","台北市中山北路五段６８９号","02 28341361"
"0050108","三重分行","台北县三重市重新路二段１之８∣１０号","02 89712222"
"0050119","宜兰分行","宜兰县宜兰市光复路４３号","03 9361101"
"0050120","罗东分行","宜兰县罗东镇公正路１５８号","03 9571111"
"0050131","桃园分行","桃园县桃园市中正路７５号","03 3379911"
"0050142","中坜分行","桃园县中坜市中山路１９０号","03 4253140"
"0050153","石门分行","桃园县龙潭乡北龙路４９号","03 4792101"
"0050164","新竹分行","新竹市中央路１号","03 5213211"
"0050175","竹东分行","新竹县竹东镇东林路１０号","03 5961171"
"0050186","花莲分行","花莲县花莲市中山路３５６号","03 8312601"
"0050197","玉里分行","花莲县玉里镇中山路二段５１号","03 8886181"
"0050201","苗栗分行","苗栗县苗栗市中正路４０２号","037320531"
"0050212","头份分行","苗栗县头份镇中华路９３２号","037667185"
"0050223","丰原分行","台中县丰原市中山路５０８号","04 25242191"
"0050234","大甲分行","台中县大甲镇镇政路４０号","04 26877181"
"0050245","台中分行","台中市中区自由路二段１号","04 22235021"
"0050256","南投分行","南投县南投市中山街２０２号","0492222143"
"0050267","员林分行","彰化县员林镇中山路二段１００号","04 8323171"
"0050278","斗六分行","云林县斗六市中山路７２号","05 5323901"
"0050289","北港分行","云林县北港镇民主路９０号","05 7836111"
"0050290","嘉义分行","嘉义市中山路３０９号","05 2241150"
"0050304","新营分行","台南县新营市中山路７９号","06 6322441"
"0050315","永康分行","台南县永康市中山南路２０号","06 2321171"
"0050326","台南分行","台南市中正路２８号","06 2265211"
"0050337","高雄分行","高雄市大勇路１３１号","07 5515231"
"0050348","冈山分行","高雄县冈山镇冈山路２８５号","07 6216102"
"0050359","美浓分行","高雄县美浓镇中山路一段６５号","07 6813211"
"0050360","屏东分行","屏东县屏东市逢甲路７８号","08 7325131"
"0050371","台东分行","台东县台东市中华路一段３５７号","089310111"
"0050382","青年分行","高雄县凤山市青年路二段２８１号１楼","07 7808700"
"0050393","金门分行","金门县金城镇民生路３４号","08 2327301"
"0050407","澎湖分行","澎湖县马公镇三民路２０号","06 9262141"
"0050418","营业部","台北市馆前路４６号","02 23483456"
"0050452","和平分行","台北市和平东路三段１５号","02 27057505"
"0050463","潮州分行","屏东县潮州镇新生路１２号","08 7884111"
"0050474","彰化分行","彰化县彰化市光复路９８号","04 7230777"
"0050485","中山分行","高雄市五福三路８７号","07 2519406"
"0050496","永和分行","台北县永和市竹林路３３号","02 89268168"
"0050500","板桥分行","台北县板桥市文化路一段１４３号","02 29689111"
