"通汇金融代号","总单位名称","帐号长度","地址","电话"
"006","合作金库商业银行","存款类一、放款类一13位","台北市馆前路７７号","02 23118811"
"通汇金融代号","支单位名称","地址","电话"
"0060017","总行","台北市馆前路７７号","02 23118811"
"0060028","中山路分行","台北市中山北路二段７１号","02 25213211"
"0060039","西门分行","台北市昆明街７７号","02 23814949"
"0060040","延平分行","台北市南京西路３０１号","02 25554111"
"0060051","大稻埕分行","台北市重庆北路二段６７号","02 25568111"
"0060062","东门分行","台北市信义路二段２０８号","02 23933123"
"0060073","松山分行","台北市八德路四段６２２号","02 27656261"
"0060084","新店分行","台北县新店市光明街３２号","02 29111111"
"0060095","永和分行","台北县永和市中正路５７５号","02 29236611"
"0060109","三重分行","台北县三重市正义南路１７号","02 29738111"
"0060110","板桥分行","台北县板桥市文化路一段２０号","02 29660971"
"0060121","基隆分行","基隆市仁二路２５５号","02 24284181"
"0060132","宜兰分行","宜兰县宜兰市中山路三段３０号","03 9323911"
"0060143","苏澳分行","宜兰县苏澳镇渔港路５６号","03 9962521"
"0060154","桃园分行","桃园县桃园市中正路５８号","03 3326121"
"0060165","中坜分行","桃园县中坜市中山路１８０号","03 4225141"
"0060176","新竹分行","新竹市中正路２３号","03 5244151"
"0060187","苗栗分行","苗栗县苗栗市中正路６６０号","037320921"
"0060198","头份分行","苗栗县头份镇仁爱路７０号","037665115"
"0060202","丰原分行","台中县丰原市中正路１０２号","04 25231122"
"0060213","沙鹿分行","台中县沙鹿镇沙田路１０６号","04 26622141"
"0060224","台中分行","台中市自由路二段２号","04 22245121"
"0060235","彰化分行","彰化县彰化市民生路２７９号","04 7225151"
"0060246","员林分行","彰化县员林镇中山路一段８４４号","04 8322181"
"0060257","南投分行","南投县南投市中山街９６号","0492234141"
"0060268","斗六分行","云林县斗六市大同路３号","05 5323981"
"0060279","北港分行","云林县北港镇义民路５３号","05 7836136"
"0060280","嘉义分行","嘉义市国华街２７９号","05 2224571"
"0060291","新营分行","台南县新营市中山路１１５号","06 6324121"
"0060305","台南分行","台南市成功路４８号","06 2232101"
"0060316","成功分行","台南市北门路一段９７号","06 2269161"
"0060327","凤山分行","高雄县凤山市中正路９５号","07 7460181"
"0060338","冈山分行","高雄县冈山镇校前路２号","07 6216161"
"0060349","高雄分行","高雄市大勇路９９号","07 5514221"
"0060350","新兴分行","高雄市西贤二路１１０号","07 2887121"
"0060361","屏东分行","屏东县屏东市中正路４２号","08 7343611"
"0060372","潮州分行","屏东县潮州镇新生路９１号之１","08 7883101"
"0060383","花莲分行","花莲县花莲市中山路１２４号","03 8338111"
"0060394","台东分行","台东县台东市中华路一段３３６号","089323011"
"0060408","澎湖分行","澎湖县马公市新明路２１号１楼","06 9272766"
"0060419","南京东路分行","台北市南京东路一段９８号","02 25623150"
"0060420","北高雄分行","高雄市中华三路２３２号","07 2863000"
"0060431","大同分行","台北市承德路三段１０号","02 25932323"
"0060442","和平分行","基隆市中正路３８９号","02 24622155"
"0060453","忠孝分行","台北市忠孝东路四段２８５号","02 27718811"
"0060464","景美分行","台北市文山区罗斯福路六段４５７号","02 29318111"
"0060475","士林分行","台北市士林区中正路４６９号１楼","02 28805161"
"0060486","汐止分行","台北县汐止市忠孝东路２２５号","02 26413211"
"0060497","新庄分行","台北县新庄市中正路２００号","02 29929981"
"0060501","中兴分行","台中市公园路５号","04 22241161"
"0060512","苓雅分行","高雄市青年一路３９４号","07 2918151"
"0060545","台北分行","台北市复兴北路５５号","02 27724277"
"0060567","营业部","台北市馆前路７７号","02 23118811"
"0060578","南丰原分行","台中县丰原市圆环南路１３８号","04 25244180"
"0060589","罗东分行","宜兰县罗东镇公正路５１号","03 9545191"
"0060590","三民分行","高雄市博爱路一段３０号","07 3127190"
"0060604","城东分行","台北市松江路８７号","02 25070111"
"0060615","佳里分行","台南县佳里镇和平街８３号","06 7223131"
"0060626","中和分行","台北县中和市泰和街９号","02 22499500"
"0060637","南高雄分行","高雄市三多三路９４号","07 3348141"
"0060648","南嘉义分行","嘉义市民族路７４６号","05 2286311"
"0060659","竹东分行","新竹县竹东镇长春路二段９２号","03 5963126"
"0060671","东三重分行","台北县三重市三和路二段３７号","02 29728110"
"0060682","南兴分行","台南市民生路二段７２号","06 2221291"
"0060693","五权分行","台中市公益路二段６１号","04 23229191"
"0060707","埔里分行","南投县埔里镇中山路二段２９９号","0492986411"
"0060718","大顺分行","高雄市大顺三路２０号","07 7131886"
"0060729","南势角分行","台北县中和市兴南路一段２０号","02 29461266"
"0060730","朴子分行","嘉义县朴子市海通路６２号","05 3794171"
"0060763","大安分行","台北市敦化南路二段８１巷１号","02 27553482"
"0060774","民权分行","台北市民权东路三段５８号","02 25057011"
"0060785","东高雄分行","高雄市中正三路２号","07 2366431"
"0060796","东台北分行","台北市忠孝东路四段３２５号","02 27721234"
"0060800","城内分行","台北市衡阳路８７号","02 23311041"
"0060811","建国分行","台北市信义路三段７７号","02 27027850"
"0060822","圆山分行","台北市中山北路二段８９之４号","02 25113245"
"0060833","信义分行","台北市信义路四段１７２号","02 27067188"
"0060844","长春分行","台北市长春路２０１号","02 25035015"
"0060855","仁爱分行","台北市仁爱路四段３２５号","02 27763071"
"0060866","玉成分行","台北市忠孝东路五段８１５号","02 27856060"
"0060877","古亭分行","台北市和平东路一段６５号","02 23949205"
"0060888","长安分行","台北市长安东路一段９号","02 25637181"
"0060899","松兴分行","台北市南京东路五段２０２号之１","02 27643131"
"0060903","民族分行","台北市承德路三段２７７号","02 25962271"
"0060914","复兴分行","台北市复兴南路一段２３７号","02 27541111"
"0060925","双连分行","台北市民生西路１１３号","02 25577151"
"0060936","民生分行","台北市民生东路三段１２６号","02 27181339"
"0060947","新生分行","台北市新生南路一段９３号","02 27771888"
"0060958","松江分行","台北市松江路１５２号","02 25224567"
"0060969","永吉分行","台北市松山路２７７号","02 27675226"
"0060981","东新庄分行","台北县新庄市思源路３３９号","02 29973456"
"0060992","北三重分行","台北县芦洲市三民路８４号","02 82825678"
"0061003","前金分行","高雄市中华四路４５号","07 3363966"
"0061014","成大分行","台南市胜利路１３８号","06 3028001"
"0061025","大里分行","台中县大里市中兴路一段３８４号","04 24934111"
"0061036","海山分行","台北县板桥市文化路二段４４３号","02 22551333"
"0061070","南台中分行","台中市忠明南路７８９号","04 22617211"
"0061081","埔墘分行","台北县板桥市三民路二段３３号","02 29631122"
"0061092","慈文分行","桃园县桃园市中正路７２０号","03 3578811"
"0061106","北宁分行","台北市南京东路四段１６号","02 25798811"
"0061117","回龙分行","桃园县龟山乡万寿路一段１６３号","02 82098266"
"0061128","太平分行","台中县太平市中兴路８４号","04 22761515"
"0061139","彰营分行","彰化县彰化市民族路５３２号","04 7229221"
"0061140","彰储分行","彰化县彰化市中正路一段３２１号","04 7240082"
"0061151","虎尾分行","云林县虎尾镇中正路１５号","05 6313821"
"0061162","南屯分行","台中市南屯区五权西路二段１０３号","04 24752171"
"0061173","西台中分行","台中市汉口路二段１５１号","04 23170311"
"0061184","溪湖分行","彰化县溪湖镇西环路５６号","04 8829121"
"0061195","乌日分行","台中县乌日乡中山路一段５９８号","04 23369911"
"0061209","和美分行","彰化县和美镇鹿和路六段３６１号","04 7570123"
"0061210","南桃园分行","桃园县桃园市中山路８４５号","03 3692188"
"0061221","屏南分行","屏东县屏东市民生路２５５号","08 7665511"
"0061232","东台南分行","台南市中华东路二段１９７号","06 2882211"
