"通汇金融代号","总单位名称","帐号长度","地址","电话"
"007","第一商业银行","存款类11位\n代收专户14位","台北市重庆南路一段３０号","02 23613611"
"通汇金融代号","支单位名称","地址","电话"
"0070937","营业部","台北市重庆南路一段３０号","02 23481111"
"0070948","安和分行","台北市信义路四段１８４号","02 23256000"
"0071015","南港分行","台北市南港区园区路３号２楼之８","02 26558777"
"0071026","西门分行","台北市西宁南路５２号","02 23119111"
"0071037","忠孝路分行","台北市忠孝东路二段９４号","02 23416111"
"0071059","东湖简易型分行","台北市民权东路六段４８３号","02 26348811"
"0071060","景美分行","台北市文山区景中街２８号","02 29303011"
"0071071","大直分行","台北市中山区明水路５８８号","02 85095611"
"0071118","大稻埕分行","台北市迪化街一段６３号","02 25553711"
"0071130","信维分行","台北市复兴南路一段３６８号","02 27557241"
"0071211","建成分行","台北市承德路一段４０号","02 25556231"
"0071299","华山分行","台北市中山区长安东路１段２２号","02 25368111"
"0071314","大同分行","台北市重庆北路三段５６号","02 25913251"
"0071358","剑潭分行","台北市承德路４段１５２号","02 28802468"
"0071406","圆山分行","台北市民权西路５３号","02 25979234"
"0071417","中山分行","台北市中山北路二段６１号","02 25211111"
"0071428","中仑分行","台北市南京东路五段１８８号","02 27606969"
"0071439","南京东路分行","台北市南京东路二段１２５号","02 25062111"
"0071440","城东分行","台北市南京东路三段１０３号","02 25062881"
"0071451","民生分行","台北市松山区民生东路３段１３１号","02 27138512"
"0071462","松江分行","台北市松江路３０９号","02 25017171"
"0071473","民权分行","台北市复兴北路３６５号一楼","02 27192009"
"0071484","八德分行","台北市敦化南路一段３号","02 25793616"
"0071495","长春分行","台北市复兴北路１６９号","02 27192132"
"0071509","内湖分行","台北市内湖区成功路三段１４３、１４５号","02 27932311"
"0071510","松山分行","台北市八德路四段７６０号","02 27674111"
"0071521","延吉分行","台北市忠孝东路四段２８９号","02 27315741"
"0071532","光复分行","台北市光复北路１６号","02 25773323"
"0071554","兴雅分行","台北市永吉路１６７号","02 27655935"
"0071576","永春分行","台北市信义区忠孝东路五段４００号","02 27208696"
"0071587","内科园区分行","台北市内湖路一段３８８号","02 87978711"
"0071598","吉林简易型分行","台北市长安东路二段９９号","02 25123111"
"0071602","仁爱分行","台北市仁爱路四段５０号","02 27023111"
"0071613","大安分行","台北市信义区基隆路二段４８号","02 27298111"
"0071624","信义分行","台北市信义路二段１６８号","02 23216811"
"0071635","复兴分行","台北市中山区复兴南路一段３６号之十","02 27722345"
"0071646","敦化分行","台北市敦化南路二段２６７号","02 27362711"
"0071657","仁和分行","台北市仁爱路四段３７６号","02 27556556"
"0071668","世贸分行","台北市敦化南路二段６５号","02 27849811"
"0071679","木栅分行","台北市保仪路１２号","02 22345101"
"0071680","松贸分行","台北市信义路五段１８号","02 27236111"
"0071691","新湖分行","台北市内湖区行爱路１５９号","02 27931811"
"0071716","古亭分行","台北市罗斯福路二段９５号","02 23695222"
"0071727","南门分行","台北市南昌路一段９４号","02 23947162"
"0071738","公馆分行","台北市大安区罗斯福路３段２９３号","02 23623111"
"0071761","和平分行","台北市大安区和平东路２段１５１号","02 27035111"
"0071819","万华分行","台北市康定路８７号","02 23719221"
"0071831","双园分行","台北市中华路二段４２号","02 23068620"
"0071901","天母分行","台北市士林区忠诚路１段６２号","02 28369898"
"0071912","北投分行","台北市北投区光明路１３３号","02 28913921"
"0071923","士林分行","台北市士林区中正路４５８号","02 28370011"
"0071934","建国分行","台北市民生东路二段１６１号","02 25060110"
"0071945","万隆简易型分行","台北市兴隆路二段３４７号","02 29326478"
"0071956","石牌分行","台北市北投区明德路１００号","02 28209111"
"0072012","板桥分行","台北县板桥市四川路一段１０７号","02 29615171"
"0072023","华江分行","台北县板桥市文化路一段３２９号","02 22578091"
"0072034","树林分行","台北县树林市中山路一段２７之７号","02 26833191"
"0072056","土城分行","台北县土城市中央路三段２０８号","02 22679611"
"0072067","江子翠分行","台北县板桥市文化路二段３８８号","02 82570111"
"0072115","三重埔分行","台北县三重市三和路三段７０号","02 29822111"
"0072126","长泰分行","台北县三重市重新路二段９９号","02 29884433"
"0072137","芦洲分行","台北县芦洲市中山一路１２号","02 82826788"
"0072148","头前分行","台北县新庄市化成路３２０号","02 22762311"
"0072159","五股分行","台北县五股乡四维路９０号","02 29845577"
"0072160","重阳分行","台北县三重市重阳路一段８９号","02 29868822"
"0072171","五股工业区分行","台北县五股乡五工路１１７号","02 22997811"
"0072182","淡水分行","台北县淡水镇中山路８４号","02 26202611"
"0072218","新店分行","台北县新店市中兴路三段１３４号","02 29181835"
"0072229","吉成分行","台北县新店市民权路８２号","02 22184651"
"0072300","泰山分行","台北县泰山乡明志路一段１３５号","02 29097111"
"0072311","新庄分行","台北县新庄市中正路３１６号","02 29929001"
"0072322","莺歌分行","台北县莺歌镇仁爱路一号","02 26791921"
"0072333","中和分行","台北县中和市中山路二段１５２号","02 22495011"
"0072344","永和分行","台北县永和市福和路２９６号","02 29221711"
