"通汇金融代号","总单位名称","帐号长度","地址","电话"
"008","华南商业银行","12位","台北市重庆南路一段３８号","02 23713111"
"通汇金融代号","支单位名称","地址","电话"
"0081005","营业部","台北市重庆南路一段３８号","02 23713111"
"0081016","储蓄分行","台北市南京东路二段１６０号","02 25076131"
"0081027","国外营业部","台北市重庆南路一段３８号","02 23713111"
"0081038","城内分行","台北市博爱路９３号","02 23818781"
"0081049","大稻埕分行","台北市延平北路二段９６号","02 25556280"
"0081050","建成分行","台北市南京西路２２８号","02 25563110"
"0081061","中山分行","台北市长安东路一段１８号","02 25611121"
"0081072","圆山分行","台北市中山北路二段１１２号","02 25619588"
"0081083","城东分行","台北市松江路１４６号","02 25512111"
"0081094","西门分行","台北市西宁南路１７３号","02 23149978"
"0081108","南松山分行","台北市忠孝东路五段２９３号","02 27695957"
"0081119","仁爱路分行","台北市仁爱路四段２５号","02 27722090"
"0081120","南京东路分行","台北市南京东路三段２１７号","02 27155111"
"0081131","新生分行","台北市新生南路一段４８号","02 23934211"
"0081142","大同分行","台北市重庆北路三段２７６号","02 25917767"
"0081153","松山分行","台北市八德路四段６５４号","02 27652132"
"0081164","中仑分行","台北市八德路三段１４５号","02 25780377"
"0081175","台北南门分行","台北市罗斯福路二段１１号","02 23217111"
"0081186","公馆分行","台北市罗斯福路三段２１６号１楼","02 23622141"
"0081197","信义分行","台北市信义路二段１８３号","02 23943141"
"0081201","忠孝东路分行","台北市忠孝东路四段２１２号","02 27733577"
"0081212","和平分行","台北市和平东路二段９３号","02 27002405"
"0081223","双园分行","台北市西藏路１２７号","02 23071122"
"0081234","士林分行","台北市承德路四段２４６号","02 28819500"
"0081245","东台北分行","台北市南京东路四段５０号","02 25794141"
"0081256","大安分行","台北市光复南路４５８号","02 27039851"
"0081267","民生分行","台北市民生东路四段５４号","02 27155011"
"0081278","复兴分行","台北市复兴北路３３７号","02 27171781"
"0081289","龙江分行","台北市民生东路二段１８０号","02 25045341"
"0081290","永吉分行","台北市忠孝东路五段８００号１楼","02 27593111"
"0081304","敦化分行","台北市敦化南路二段２号","02 27557467"
"0081315","忠兴分行","台北市复兴南路一段１３７号","02 27774552"
"0081326","大直分行","台北市中山区乐群三路５６号１楼","02 85020818"
"0081337","敦和分行","台北市敦化南路二段１０７号","02 27010900"
"0081348","东湖分行","台北市内湖区成功路五段４５６号１楼","02 26315550"
"0081360","长春分行","台北市长春路１４３号","02 25231113"
"0081371","北南港分行","台北市南港区园区街三号二楼之十","02 26558788"
"0081429","企业大楼办事处","台北市中山北路三段５４号之１","02 25619588"
"0081430","南内湖分行","台北市内湖区行爱路１３０号","02 27968288"
"0081452","长安分行","台北市中山区八德路二段２０５号","02 87722778"
"0081474","怀生分行","台北市忠孝东路三段２４７号","02 27727211"
