"通汇金融代号","总单位名称","帐号长度","地址","电话"
"009","彰化商业银行","支存类14位\n存款类14位","台中市自由路二段３８号","04 22222001"
"通汇金融代号","支单位名称","地址","电话"
"0092200","总行营业部","台中市自由路二段３８号","04 22222001"
"0093003","吉林分行","台北市南京东路二段９８号","02 25626151"
"0093010","城内分行","台北市衡阳路６８号","02 23113791"
"0094004","北台中分行","台中市中港路一段６号","04 22011122"
"0094011","南台中分行","台中市台中路１０２号","04 22243181"
"0094028","北屯分行","台中市北屯路１０号","04 22322922"
"0094035","水湳分行","台中市文心路三段４４７号","04 22969966"
"0094042","南屯分行","台中市文心路一段３０６号","04 23220011"
"0094059","台中分行","台中市复兴路二段７８号","04 22650011"
"0094108","基隆分行","基隆市爱四路６０号","02 24233933"
"0094115","仁爱分行","基隆市孝二路１００号","02 24233941"
"0094122","东基隆分行","基隆市信一路５７号","02 24233861"
"0094202","宜兰分行","宜兰县宜兰市光复路１８号","03 9352510"
"0094219","罗东分行","宜兰县罗东镇中正路１９４号","03 9551171"
"0095005","北门分行","台北市延平北路一段１８号","02 25586271"
"0095012","台北分行","台北市重庆南路一段２７号","02 23617211"
"0095029","万华分行","台北市康定路３０４号","02 23060201"
"0095036","西门分行","台北市西宁南路１６９号","02 23719271"
"0095043","永乐分行","台北市迪化街一段１２０号","02 25585151"
"0095050","建成分行","台北市南京西路１２３号","02 25555121"
"0095067","大同分行","台北市重庆北路三段１９９号","02 25919113"
"0095074","承德分行","台北市士林区承德路４段８１号１楼","02 28868989"
"0095081","中山北路分行","台北市中山北路二段１１１号","02 25711241"
"0095109","东门分行","台北市信义路２段１３９号１楼","02 23921241"
"0095116","古亭分行","台北市罗斯福路二段２５号","02 23517211"
"0095130","大安分行","台北市和平东路一段１７７号","02 23213214"
"0095147","城东分行","台北市南京东路三段２２５号","02 27153535"
"0095154","中仑分行","台北市八德路２段２０１号","02 27312211"
"0095161","双园分行","台北市莒光路３１２号","02 23042141"
"0095178","士林分行","台北市福德路２１号","02 28822354"
"0095185","总部分行","台北市中山北路二段５７号","02 25514256"
"0095192","松山分行","台北市永吉路１６５号","02 27625242"
"0095203","忠孝东路分行","台北市忠孝东路四段１６４号","02 27713151"
"0095210","信义分行","台北市信义路四段１５５号","02 27039081"
"0095227","东台北分行","台北市南京东路四段１２６号","02 25704567"
"0095234","民生分行","台北市民生东路四段５４之１号","02 27121311"
"0095241","西松分行","台北市南京东路五段２１３号","02 27639611"
"0095258","复兴分行","台北市复兴北路３６７号","02 27173222"
"0095265","台北世贸中心分行","台北市基隆路一段３３３号三楼","02 27203101"
"0095272","敦化分行","台北市敦化南路二段７１号","02 27849821"
