"通汇金融代号","总单位名称","帐号长度","地址","电话"
"011","上海商业储蓄银行","14位","台北市民权东路一段２号","02 25817111"
"通汇金融代号","支单位名称","地址","电话"
"0110026","营业部","台北市民权东路一段２号","02 25817111"
"0110037","储蓄部","台北市民生东路二段１４９号","02 25159111"
"0110048","高雄分行","高雄市中正三路６１号","07 2315111"
"0110060","城中分行","台北市馆前路２８号","02 23123111"
"0110082","台中分行","台中市三民路二段４６号","04 22214111"
"0110093","东台北分行","台北市松江路８９号","02 25152111"
"0110107","台南分行","台南市金华路二段３０５号","06 2636111"
"0110118","桃园分行","桃园县桃园市三民路三段１７８号","03 3369111"
"0110129","北高雄分行","高雄市明华路３１７号","07 9618111"
"0110130","三重分行","台北县三重市自强路一段１０５号","02 29826111"
"0110141","板桥分行","台北县板桥市中正路６９号","02 29657111"
"0110152","永和分行","台北县永和市福和路２９５号","02 22312111"
"0110163","员林分行","彰化县员林镇中山路二段３６０号","04 8335111"
"0110185","信义分行","台北市敦化南路二段４０号","02 27018111"
"0110196","民生分行","台北市复兴北路２０３号","02 25465111"
"0110200","忠孝分行","台北市敦化南路一段２２５号","02 27409111"
"0110211","龙山分行","台北市成都路６０号","02 23115111"
"0110222","内湖分行","台北市内湖区成功路四段１６６号","02 27921111"
"0110233","中山分行","台北市南京东路一段４６号","02 25625111"
"0110244","仁爱分行","台北市仁爱路２段１６号","02 23933111"
"0110255","新庄分行","台北县新庄市中平路８５号","02 89912111"
"0110266","中坜分行","桃园县中坜市中美路一段１８号","03 4263111"
"0110288","松山分行","台北市八德路四段３１９号","02 27679111"
"0110299","新店分行","台北县新店市民权路７５号","02 86657111"
"0110303","前金分行","高雄市成功一路４２０号","07 2721111"
"0110314","松南分行","台北市信义路四段２７５号","02 27037111"
"0110325","芦洲分行","台北县芦洲市三民路２４９号","02 22890111"
"0110336","中和分行","台北县中和市中山路二段１４６号","02 22469111"
"0110347","新竹分行","新竹市北大路１１５号１楼","03 5324111"
"0110358","中港分行","台中市中港路一段３４５号","04 23268111"
"0110369","士林分行","台北市中正路３２８号","02 28336111"
"0110370","东台南分行","台南市民族路二段６６号","06 2237111"
"0110381","永康分行","台南县永康市小东路６８９号","06 3121111"
"0110392","北三重分行","台北县三重市自强路四段４５号","02 22862111"
"0110406","南京东路分行","台北市南京东路四段１６３号","02 25467111"
"0110417","大里分行","台中县大里市益民路二段１２７号","04 24824111"
"0110428","土城分行","台北县土城市金城路三段５０号","02 22636111"
"0110439","世贸分行","台北市松德路１７１号之６","02 27597111"
"0110440","承德分行","台北市承德路二段７７号","02 25506111"
"0110451","汐止分行","台北县汐止市新台五路一段８１号之２","02 26983111"
"0110462","屏东分行","屏东县屏东市中正路４６８号","08 7385111"
"0110473","三民分行","台北市民生东路五段１４１号","02 27487111"
"0110484","华江分行","台北县板桥市庄敬路５８号","02 22564111"
"0110495","丰原分行","台中县丰原市三民路９５号","04 25240111"
"0110509","凤山分行","高雄县凤山市光远路１６３号","07 7105111"
"0110510","天母分行","台北市中山北路七段１２５号","02 28739111"
"0110521","树林分行","台北县树林市树新路１７号","02 26877111"
"0110532","基隆分行","基隆市仁二路２０５号","02 24277111"
"0110543","杨梅分行","桃园县杨梅镇新成路１２５号","03 4880111"
"0110554","内湖科技园区分行","台北市内湖区堤顶大道二段２５７号","02 26576111"
"0110565","北中和分行","台北县中和市中山路三段１０６号","02 22287111"
"0110576","西湖分行","台北市瑞光路１８８巷４６号","02 26599111"
"0110598","二重分行","台北县三重市重新路五段６０９巷１０－２号","02 22787111"
"0110602","延平简易型分行","桃园县中坜市延平路５５１号","03 4262111"
"0110613","南崁简易型分行","桃园县龟山乡民生北路一段５３８号","03 2121111"
"0110624","南港分行","台北市南港区重阳路２００号","02 27832111"
"0110635","北新竹分行","新竹县新埔镇中正路１９６号","03 5880111"
"0110657","宜兰分行","宜兰县五结乡中正路一段１６０号","03 9532111"
"0110668","文山分行","台北市罗斯福路五段２５１号１楼","02 86632111"
"0110680","敦北分行","台北市松山区民权东路３段１４２号","02 27168111"
