"通汇金融代号","总单位名称","帐号长度","地址","电话"
"012","台北富邦商业银行","存款类12位\n放款类14位","台北市仁爱路四段１６９号","02 27716699"
"通汇金融代号","支单位名称","地址","电话"
"0122009","营业部","台北市中山北路二段５０号","02 25425656"
"0122032","长安东路分行","台北市长安东路一段３６号","02 25212481"
"0122102","公库部","台北市市府路１号Ｂ１","02 27209001"
"0122205","城东分行","台北市南京东路二段９０号","02 25116388"
"0122216","农安分行","台北市松江路３６９号","02 25031451"
"0123006","士林分行","台北市士林区中正路２８８号","02 28317444"
"0123017","士东分行","台北市中山北路六段３６０号","02 28735757"
"0123028","瑞光分行","台北市内湖区瑞光路３９２号","02 26562989"
"0123039","玉成分行","台北市忠孝东路六段１２６号","02 26511212"
"0123040","福港分行","台北市承德路四段３１０号","02 28836712"
"0123051","忠孝分行","台北市忠孝东路四段１０７号","02 27417880"
"0123062","承德分行","台北市承德路二段１４２号","02 25536553"
"0123073","龙江分行","台北市南京东路三段２８号","02 25073817"
"0123109","延平分行","台北市延平北路二段６９号","02 25552170"
"0123202","木栅分行","台北市木栅路三段９２号","02 29391035"
"0123213","木新分行","台北市木新路三段２３６号","02 29383791"
"0123305","龙山分行","台北市西宁南路１６１号","02 23718720"
"0123408","八德分行","台北市八德路三段１７８号","02 25776467"
"0123419","永春分行","台北市松山路６５５号","02 27592921"
"0123420","永吉分行","台北市信义区永吉路１９９号１楼","02 27628700"
"0123501","中山分行","台北市中山北路二段１６２号","02 25963171"
"0123604","北投分行","台北市北投区中央北路一段２号","02 28915533"
"0123615","石牌分行","台北市文林北路２１６号","02 28271616"
"0123707","大安分行","台北市仁爱路四段３７号","02 27312333"
"0123800","大同分行","台北市重庆北路三段１８６号","02 25929282"
"0123903","古亭分行","台北市罗斯福路三段１００号","02 23650381"
"0124003","双园分行","台北市东园街１９号","02 23030374"
"0124014","万华分行","台北市万大路４８２号","02 23325901"
"0124106","建成分行","台北市南京西路２２号","02 25554161"
"0124117","市府分行","台北市市府路１号","02 27298999"
"0124209","南港分行","台北市三重路１９－５号","02 26551177"
"0124302","景美分行","台北市景文街６４号","02 29352636"
"0124313","兴隆分行","台北市兴隆路三段６９号","02 86639889"
"0124405","内湖分行","台北市成功路三段１７４巷６号","02 27961820"
"0124427","文德分行","台北市文德路４２号","02 26582620"
"0124508","敦化分行","台北市敦化北路２０１号","02 27131660"
"0124542","民生分行","台北市民生东路五段１６３之１号","02 27640853"
"0124601","信义分行","台北市信义路四段２９９号","02 27006381"
"0124612","庄敬分行","台北市庄敬路２８６号","02 27226206"
"0124623","世贸分行","台北市基隆路一段３３３号１３楼","02 27252916"
"0124704","松江分行","台北市松江路２００号","02 25434282"
"0124807","和平分行","台北市复兴南路二段２３６号","02 27022421"
"0124900","延吉分行","台北市仁爱路四段３８７号","02 27527600"
"0125000","城中分行","台北市青岛西路７号","02 23615481"
"0125103","南门分行","台北市中正区金华街１７号１楼","02 23971640"
"0125206","复兴分行","台北市复兴北路２３４号","02 25023530"
"0125309","西松分行","台北市南京东路四段７５之１号","02 27170037"
"0125402","长安分行","台北市松江路８２号","02 25519797"
"0125505","桂林分行","台北市桂林路５２号","02 23026226"
"0125701","敦和分行","台北市敦化南路二段７７号","02 27012409"
"0125804","东门分行","台北市仁爱路二段６１号１楼","02 23512081"
"0125907","中仑分行","台北市复兴北路６号","02 27418257"
"0126007","基隆路分行","台北市基隆路二段２１号","02 27373671"
"0126100","金华分行","台北市和平东路一段１７８号","02 23698566"
"0126203","松南分行","台北市忠孝东路五段４１２号","02 27255111"
"0126214","怀生分行","台北市忠孝东路三段２１５号","02 27818380"
"0126306","民权分行","台北市民权东路三段３７号","02 25166786"
"0126409","吉林分行","台北市吉林路１４６号","02 25681248"
"0126502","社子分行","台北市延平北路五段２２５号","02 28168585"
"0126605","港都分行","高雄市中山二路３５８号","07 3356226"
"0126683","西湖分行","台北市内湖路一段２４０号","02 87511788"
"0126694","金城分行","台北县土城市金城路三段４６号","02 22631678"
"0126708","万隆分行","台北市罗斯福路六段１３６号","02 29339956"
"0126719","中港分行","台中市台中港路一段１６０号","04 23207711"
"0126720","新庄分行","台北县新庄市新泰路２２７号","02 29903366"
"0126731","桃园分行","桃园县桃园市中华路３３号","03 3367171"
"0126742","安平分行","台南市民生路二段２７９号１楼","06 2265265"
"0126764","松隆简易型分行","台北市基隆路一段１７６之１号","02 27473399"
"0126775","埔墘分行","台北县板桥市中山路二段１４３号","02 89535118"
"0126786","北中坜分行","桃园县中坜市元化路２６８号","03 4256699"
"0126797","三重分行","台北县三重市忠孝路二段３６号","02 89836868"
"0126801","丰原分行","台中县丰原市向阳路１３９号","04 25220088"
"0126812","双和分行","台北县中和市景平路６９６号","02 22438877"
"0126823","鼓山分行","高雄市华荣路３８７号","07 5523111"
"0126845","风城分行","新竹市民生路１２６号","03 5343888"
"0126856","彰化分行","彰化县彰化市中山路二段３４９号","04 7261333"
"0126867","东湖分行","台北市内湖区康宁路３段６９号","02 26336677"
"0126878","永和分行","台北县永和市得和路４０７号","02 86601616"
"0126889","冈山简易型分行","高雄县冈山镇中山北路１７８号１楼","07 6213969"
"0126890","台北一０一分行","台北市信义区市府路４５号５楼","02 81018585"
"0127015","双连分行","台北市民生东路一段１３号","02 25115511"
"0127026","南京东路分行","台北市南京东路二段１３９号","02 25155518"
"0127037","敦北分行","台北市民生东路三段１３８号","02 27185151"
"0127048","仁爱分行","台北市建国南路一段２３７号","02 23258878"
"0127059","高雄分行","高雄市新兴区六合一路１号","07 2391515"
"0127060","中正分行","桃园县桃园市中正路４７６号","03 3350335"
"0127071","台中分行","台中市柳川西路二段１９６号","04 22221911"
"0127093","松山分行","台北市松山路４２１号","02 27281199"
"0127107","土城分行","台北县土城市中央路一段１００号","02 22709898"
"0127118","台南分行","台南市中山路１６６号之６","06 2290266"
"0127129","凤山分行","高雄县凤山市自由路２２３号","07 7482088"
"0127130","中坜分行","桃园县中坜市中北路二段１１９号","03 4595766"
"0127152","安和分行","台北市仁爱路四段１６９号","02 27787717"
"0127163","正义分行","台北县三重市正义北路２７９号","02 29806688"
"0127174","大湳分行","桃园县八德市介寿路一段９６８号","03 3616565"
