"通汇金融代号","总单位名称","帐号长度","地址","电话"
"013","国泰世华商业银行","存款类一12位\n存款类二11位\n存款类三14位","台北市信义区松仁路７号","02 23125555"
"通汇金融代号","支单位名称","地址","电话"
"0130017","馆前分行","台北市馆前路６５号","02 23125555"
"0130028","国外部","台北市馆前路６５号３楼","02 23125555"
"0130039","南京东路分行","台北市南京东路二段１３２号","02 25061333"
"0130051","高雄分行","高雄市博爱一路３６６号","07 3237711"
"0130062","台中分行","台中市自由路一段１４８号","04 22231031"
"0130073","台北分行","台北市博爱路１５０号","02 23319595"
"0130095","永和分行","台北县永和市永和路一段１５号","02 29258861"
"0130109","台南分行","台南市民生路一段６２号","06 2280171"
"0130110","忠孝分行","台北市忠孝东路四段２９３号","02 27721252"
"0130121","天母分行","台北市天母西路２４号","02 28717040"
"0130132","西台中分行","台中市民权路１８５号","04 22208937"
"0130143","东高雄分行","高雄市中正二路７２号","07 2241531"
"0130154","信义分行","台北市敦化南路二段３２号","02 27052316"
"0130165","光复分行","台北市南京东路五段９９号","02 27654222"
"0130176","板桥分行","台北县板桥市中正路１０２号","02 29651811"
"0130187","复兴分行","台北市南京东路三段２４８号","02 27210306"
"0130198","民权分行","台北市民权东路三段１４４号","02 25452155"
"0130202","大安分行","台北市仁爱路四段３３号","02 27771795"
"0130213","三重分行","台北县三重市重阳路二段２９号","02 29822101"
"0130224","中坜分行","桃园县中坜市中央西路一段１１号","03 4224066"
"0130235","员林分行","彰化县员林镇中山路二段３０号之２","04 8324122"
"0130246","新店分行","台北县新店市中正路５４２号之４","02 22184881"
"0130257","新庄分行","台北县新庄市中正路２４５号","02 29968491"
"0130268","凤山分行","高雄县凤山市中山西路２０３号","07 7426325"
"0130279","安和分行","台北市安和路二段９２号","02 23255007"
"0130280","松江分行","台北市松江路３２８号","02 25639241"
"0130291","苓雅分行","高雄市林森二路８９号","07 3338911"
"0130305","古亭分行","台北市罗斯福路三段１４９号","02 23632931"
"0130316","建成分行","台北市南京西路３６号","02 25551688"
