"通汇金融代号","总单位名称","帐号长度","地址","电话"
"016","高雄银行","12位","高雄市博爱二路１６８号","07 5570535"
"通汇金融代号","支单位名称","地址","电话"
"0161017","营业部","高雄市博爱二路１６８号","07 5570535"
"0161028","公库部","高雄市四维三路２号","07 3360408"
"0161039","七贤分行","高雄市七贤二路３９６号","07 2517012"
"0161040","国外部","高雄市中华四路５１号２楼","07 5355375"
"0161051","信托部","高雄市六合一路２７号２Ｆ","07 2385188"
"0162003","凤山分行","高雄县凤山市青年路二段３６２─６号","07 7763688"
"0162025","前金分行","高雄市六合二路１４５号","07 2861136"
"0162036","三民分行","高雄市博爱一路２８７号","07 3218814"
"0162081","左营分行","高雄市左营大路４７９号","07 5819131"
"0162106","小港分行","高雄市小港路１５８号","07 8122268"
"0162117","桃园分行","桃园县桃园市民生路４１３号","03 3381288"
"0162128","前镇分行","高雄市民权二路１８０号","07 3327131"
"0162139","右昌分行","高雄市军校路７８０号之２","07 3637478"
"0162140","湾内分行","高雄市大顺二路４７０号","07 3865905"
"0162151","屏东分行","屏东县屏东市中正路１５２之１号","08 7368811"
"0162162","桂林分行","高雄市小港区桂阳路３３２号","07 7931616"
"0162173","六合分行","高雄市六合一路２７号","07 2384888"
"0162184","楠梓分行","高雄市建楠路１４１号","07 3524391"
"0162195","鼓山分行","高雄市九如四路１０１８号","07 5321001"
"0162209","建国分行","高雄市建国一路１９９号","07 2230511"
"0162210","九如分行","高雄市阳明路４５９号","07 3812499"
"0162221","盐埕简易型分行","高雄市盐埕区大仁路６号","07 5511061"
"0162232","草衙分行","高雄市渔港路５２号","07 8413847"
"0162243","板桥分行","台北县板桥市四川路２段１００号","02 89671250"
"0162254","台南分行","台南市安平区庆平路１９１号","06 2955588"
"0162265","三多分行","高雄市三多二路１７１号","07 7511168"
"0162276","大发分行","高雄县大寮乡凤林三路４８０号","07 7861899"
"0162287","大直分行","台北市中山区敬业一路９７号","02 85021656"
"0162298","台中分行","台中市惠中路三段６９号","04 22522588"
"0162313","旗津简易型分行","高雄市旗津区通山路５４号","07 5718263"
"0162324","南高雄分行","高雄市中华四路５１号","07 3301060"
"0162335","大昌分行","高雄市大昌二路７１号","07 3807306"
"0162346","新竹分行","新竹市民族路２２号","03 5230333"
"0162357","市府分行","高雄市苓雅区四维三路２号","07 3350260"
"0162379","中和分行","台北县中和市建一路１９８号","02 82271399"
"0162380","台北分行","台北市松江路１６８号","02 25630101"
"0162405","明诚分行","高雄市三民区明诚一路１６８号","07 3595336"
"0162416","北高雄分行","高雄市民族一路１０１２号","07 3599291"
"0162450","博爱分行","台北市中正区博爱路３８号１楼","02 23751188"
