"通汇金融代号","总单位名称","帐号长度","地址","电话"
"017","兆丰国际商业银行","存款类11位\n代收类14位","台北市吉林路１００号","02 25633156"
"通汇金融代号","支单位名称","地址","电话"
"0170022","港都分行","高雄市前金区中正四路２５３号","07 2510141"
"0170033","楠梓分行","高雄市楠梓区加昌路６００之１号","07 3615131"
"0170044","台中分行","台中市民权路２１６号","04 22281171"
"0170055","忠孝分行","台北市忠孝东路四段２３３号","02 27711877"
"0170066","府城分行","台南市中山路９０号","06 2231231"
"0170077","国外部","台北市吉林路１００号","02 25633156"
"0170088","台北复兴分行","台北市南京东路三段１９８号","02 27516041"
"0170099","财富管理处","台北市吉林路１００号","02 25633156"
"0170103","兰雅分行","台北市中山北路六段１２６号","02 28385225"
"0170114","财务部","台北市吉林路１００号","02 25633156"
"0170125","三重分行","台北县三重市重阳路三段９９号","02 29884455"
"0170136","新兴分行","高雄市新兴区中山一路３０８号","07 2353001"
"0170147","桃园分行","桃园县桃园市成功路二段２号","03 3376611"
"0170158","中山分行","台北市中山北路二段１５号","02 25119231"
"0170169","高雄加工出口区分行","高雄市高雄加工出口区中四路２号","07 8316131"
"0170170","城中分行","台北市许昌街４２号","02 23122222"
"0170181","北彰化分行","彰化县彰化市光复路３９号","04 7232111"
"0170192","安和分行","台北市安和路二段６２号","02 27042141"
"0170206","竹科新安分行","新竹市科学工业园区新安路１号","03 5775151"
"0170217","天母分行","台北市中山北路七段１９３号","02 28714125"
"0170228","嘉义分行","嘉义市文化路２５９号","05 2241166"
"0170239","花莲分行","花莲县花莲市公园路２６号","03 8350191"
"0170251","国际金融业务分行","台北市吉林路１００号","02 25633156"
"0170262","北新竹分行","新竹市中正路１２９号","03 5217171"
"0170273","板南分行","台北县板桥市南雅南路二段１４８号","02 89663303"
"0170284","潭子分行","台中县潭子乡台中加工出口区南二路３号","04 25335111"
"0170295","桃园国际机场分行","桃园县大园乡航站南路１５号","03 3982200"
"0170309","南台北分行","台北市罗斯福路二段９号之１","02 23568700"
"0170310","敦南分行","台北市敦化南路二段６２号","02 27050136"
"0170321","员林分行","彰化县员林镇大同路一段３３８号","04 8332561"
"0170343","永和分行","台北县永和市福和路２０１号","02 29240086"
"0170354","丰原分行","台中县丰原市中正路５１９号","04 25285566"
"0170365","民生分行","台北市民生东路三段１２８号","02 27190690"
"0170376","北台中分行","台中市台中港路二段８０之８号","04 23115119"
"0170387","三多分行","高雄市苓雅区三多二路９３号","07 7250688"
"0170398","中坜分行","桃园县中坜市复兴路４６号","03 4228469"
"0170402","三民分行","高雄市鼓山区中华一路２２５号","07 5536511"
