"通汇金融代号","总单位名称","帐号长度","地址","电话"
"021","花旗（台湾）商业银行","信用卡专户14位\n10位","台北市松智路一号１楼","02 87297100"
"通汇金融代号","支单位名称","地址","电话"
"0210018","营业部","台北市松智路一号１楼","02 87297410"
"0210030","高雄分行","高雄市三民区九如一路５０２号","07 3916000"
"0210041","台中分行","台中市西区忠明南路２４２号","04 23726601"
"0210052","新竹分行","新竹县竹北市文平路１３０号","03 6108588"
"0210063","台南分行","台南市永福路二段８３号","06 2262500"
"0210074","桃园分行","桃园县桃园市县府路１１０号","03 3391234"
"0210085","松江分行","台北市南京东路二段１０１号","02 25633456"
"0210096","板桥分行","台北县板桥市三民路一段２１０号","02 66203100"
"0210100","文心分行","台中市文心路四段８２３号","04 22048300"
"0210111","信义分行","台北市信义路四段４６０号","02 87252988"
"0210122","天母分行","台北市忠诚路二段２４号","02 28352088"
"0210133","建成分行","台北市重庆北路一段６７号","02 25558566"
"0210144","中山分行","台北市中山区德惠街９－２号１楼","02 21823588"
"0210155","城东分行","台北市吉林路２４号","02 25219950"
"0210166","安南分行","台南市民权路二段９７号","06 2231181"
"0210177","港都分行","高雄市五福四路１１１号","07 5510361"
"0210188","中港分行","台中市台中港路一段４２８号","04 23131861"
"0210199","襄阳分行","台北市襄阳路８号","02 23715181"
"0210203","复兴分行","台北市复兴北路１号","02 27514092"
"0210214","新兴分行","高雄市中正三路４５号","07 2267191"
"0210225","基隆分行","基隆市信一路１３２号","02 24241231"
"0210236","北桃园分行","桃园县桃园市三民路三段２８８号","03 3339213"
"0210247","永和分行","台北县永和市福和路２５２号","02 29239222"
"0210258","丰原分行","台中县丰原市丰中路１３号","04 25276111"
"0210269","民权分行","台中市民权路１０２号","04 22214181"
"0210270","府城分行","台南市西门路四段３７４号","06 2523011"
"0210281","苓雅分行","高雄市中山二路４７２号","07 2618141"
"0210292","松山分行","台北市南京东路五段３号","02 27530321"
"0210306","三重分行","台北县三重市成功路１７３号","02 29726199"
"0210317","员林分行","彰化县员林镇员东路二段４１０号","04 8347711"
"0210328","士林分行","台北市承德路四段２８１号","02 28823720"
"0210339","板新分行","台北县板桥市区运路２６号","02 29561188"
"0210340","中坜分行","桃园县中坜市九和二街４５号","03 4223999"
"0210351","大安分行","台北市敦化南路二段３３３号","02 27323188"
"0210362","竹城分行","新竹市北大路３２１号","03 5226617"
"0210373","嘉义分行","嘉义市垂杨路３２０号","05 2275100"
"0210384","北台中分行","台中市文心路四段３３９号","04 22425811"
"0210395","三民分行","高雄市博爱一路５５号","07 3121618"
"0210409","新庄分行","台北县新庄市中山路一段６７号","02 85221188"
"0210410","民生分行","台北市民权东路三段７４号","02 25030077"
"0210421","彰化分行","彰化县彰化市中正路二段２８０号２楼","04 7266266"
"0210432","凤山分行","高雄县凤山市经武路５８号","07 7480101"
"0210443","新店分行","台北县新店市中正路５２７号","02 22189866"
"0210454","仁德分行","台南县仁德乡中正路二段１０３６号","06 2702211"
"0210465","前镇分行","高雄市前镇区一心一路２３９号","07 3369801"
"0210476","忠孝分行","台北市松德路６１号","02 27591616"
"0210487","屏东分行","屏东县屏东市自由路１８８号","08 7666531"
"0210498","清水分行","台中县清水镇中山路２４３之３号","04 26225991"
"0210502","中正分行","台北市新生南路一段１５８号","02 23975726"
"0210513","永康分行","台南县永康市中正北路１１２号","06 2538383"
"0210524","罗东分行","宜兰县罗东镇中正北路　７７　号","03 9555899"
"0210535","敦化分行","台北市敦化南路１段３７６号","02 27007799"
"0210546","中和分行","台北县中和市建一路１７２号","02 82265698"
"0210557","大里分行","台中县大里市益民路二段３５号","04 24832288"
"0210568","冈山分行","高雄县冈山镇冈山路１７２号","07 6228812"
"0210579","内湖分行","台北市瑞光路５１３巷２２弄５号","02 26599008"
"0210580","南港分行","台北市南港区兴东街２９之３号","02 26537890"
"0210591","北港分行","云林县北港镇中正路９５号","05 7836171"
"0210616","南科分行","台南县新市乡南科三路１５号２楼","06 5051717"
"0210627","斗六分行","云林县斗六市云林路二段２１１号","05 5360866"
"0210638","树林分行","台北县树林市中山路一段１５３号","02 26759668"
"0210649","麦寮分行","云林县麦寮乡中兴路７４号","05 6938168"
"0210650","华中分行","台北县中和市中山路二段２２８号１楼之３","02 82411166"
"0210661","竹科分行","新竹市光复路一段６４７号","03 5633600"
"0210672","金华分行","台南市金华路三段２１８号","06 2112888"
