"通汇金融代号","总单位名称","帐号长度","地址","电话"
"039","荷商荷兰银行台北分行","企业金融部 7位\n消费金融部9-14位\n信用卡专户14位","台北市松仁路７号１８楼","02 87225090/"
"通汇金融代号","支单位名称","地址","电话"
"0390019","台北分行","台北市松仁路７号１８楼","02 87225090"
"0390020","高雄分行","高雄市四维三路６号","07 9755888"
"0390053","松山分行","台北市敦化南路一段２号","02 27732000"
"0390064","台中分行","台中市中港路一段３０６号","04 23298898"
"0390075","板桥分行","台北县板桥市民生路三段１０号２楼","02 82533038"
"0390086","台东分行","台东县台东市中山路３６２号","089711500"
"0390097","中华分行","台东县台东市中华路一段３５４号","089331155"
"0390101","天母分行","台北市士林区中山北路六段８７号１楼","02 77372199"
"0390112","池上分行","台东县池上乡福原村中山路２４１号","089862032"
"0390123","竹北分行","新竹县竹北市县政二路５７２号１楼","03 6203700"
"0390134","内湖分行","台北市内湖区瑞光路４１２号１楼","02 77082600"
"0390145","知本分行","台东县台东市青海路四段４５９号","089512250"
"0390156","太麻里分行","台东县太麻里乡泰和村太麻里街１０６号","089781636"
"0390178","新店分行","台北县新店市民权路１１５号１楼","02 77052000"
"0390189","中山分行","台北市中山北路二段６６号１楼","02 77372288"
"0390190","凤山分行","高雄县凤山市光远路３９６号","07 9757500"
"0390204","彰化分行","彰化县彰化市中山路二段８３８－１号１楼","04 7084666"
"0390330","北高雄分行","高雄市博爱三路１２号１楼","07 9757000"
"0390341","台南分行","台南市东区东宁路１８６号１楼","06 7006800"
"0390400","松江分行","台北市南京东路二段６６号１楼","02 25213688"
"0390411","桃园分行","桃园县桃园市中正路１２９６号１楼","03 2723333"
