"通汇金融代号","总单位名称","帐号长度","地址","电话"
"050","台湾中小企业银行","11位","台北市塔城街３０号","02 25597171"
"通汇金融代号","支单位名称","地址","电话"
"0500016","吉林分行","台北市民权东路二段４６号","02 25417171"
"0500027","中和分行","台北县中和市景平路６３４之１０号","02 22427171"
"0500038","博爱分行","高雄市明诚二路４１９号","07 5567171"
"0500049","北桃园分行","桃园县桃园市春日路９８５号","03 3567171"
"0500050","南崁分行","桃园县芦竹乡中正路３８１号","03 3227171"
"0500061","西屯分行","台中市台中港路三段１０７号","04 23587171"
"0500072","忠明分行","台中市忠明南路３０１号","04 23057171"
"0500108","营业部","台北市塔城街３０号","02 25597171"
"0500119","大雅分行","台中县大雅乡大雅路１６１号","04 25687171"
"0500120","仁大分行","高雄市凤楠路１８３号","07 3537171"
"0500201","仁爱分行","台北市仁爱路四段３５７号","02 27217171"
"0500212","松山分行","台北市南京东路四段１４７号","02 27167171"
"0500223","建成分行","台北市南京西路７６号","02 25507171"
"0500234","士林分行","台北市士林区中正路６０１号","02 28117171"
"0500245","永和分行","台北县永和市竹林路１６８号","02 29277171"
"0500256","新店分行","台北县新店市中兴路２段１９２号","02 29117171"
"0500267","新庄分行","台北县新庄市中华路一段一六号","02 29907171"
"0500278","化成分行","台北县新庄市头前路二十五号一、二楼","02 29977171"
"0500407","松江分行","台北市松江路１５８号","02 25377171"
"0500500","台北分行","台北市重庆南路一段７２号","02 23717171"
"0500603","万华分行","台北市广州街１４６号","02 23387171"
"0500614","南台北分行","台北市罗斯福路二段９３号","02 23697171"
"0500706","复兴分行","台北市复兴南路一段３９０号","02 27057171"
"0500809","中山分行","台北市长春路１７号","02 25517171"
"0500810","建国分行","台北市民权东路三段４号","02 25097171"
"0500821","内湖分行","台北市内湖路一段３６０巷１５号","02 27997171"
"0500902","南京东路分行","台北市南京东路三段３１１号","02 27127171"
"0501002","忠孝分行","台北市忠孝东路３段２６７号","02 27727171"
"0501013","东台北分行","台北市八德路四段１３５号１楼","02 87877171"
"0501024","世贸分行","台北市光复南路５４７号","02 23457171"
"0501035","永春分行","台北市忠孝东路五段５５２号","02 23467171"
"0501057","南港分行","台北市三重路１９之２号","02 26553771"
"0501105","松南分行","台北市基隆路一段１６１号","02 27647171"
"0501116","东湖分行","台北市内湖区民权东路６段１５２号","02 87929771"
"0501208","大安分行","台北市敦化南路二段９２号","02 27007171"
"0501219","双和分行","台北县中和市中和路３５６号","02 22327171"
"0501220","锦和分行","台北县中和市中山路二段４０３号","02 22287171"
"0501301","五股分行","台北县新庄市五股工业区五工路９５号","02 22987171"
"0501312","林口分行","台北县林口乡中山路１８８号１楼之２","02 26037171"
"0501404","板桥分行","台北县板桥市明德街２之１号","02 29687171"
"0501415","树林分行","台北县树林市中山路一段２１７号","02 26757171"
"0501426","土城分行","台北县土城市中央路二段１２６号","02 22737171"
"0501437","回龙分行","台北县新庄市中正路９３３号","02 82097171"
"0501448","汐止分行","台北县汐止市新台五路一段７５号","02 26987171"
"0501507","基隆分行","基隆市爱三路９号","02 24237171"
"0501518","埔墘分行","台北县板桥市中山路二段６２之１号","02 29547171"
"0501529","北三重分行","台北县三重市三和路四段１３７号","02 22867171"
"0501530","南三重分行","台北县三重市自强路一段２３２号","02 29827171"
"0501541","芦洲分行","台北县芦洲市永乐街４２号","02 28477171"
"0501600","宜兰分行","宜兰县宜兰市神农里中山路二段３０５号","03 9367171"
"0501703","罗东分行","宜兰县罗东镇中正北路１３号","03 9567171"
"0501714","苏澳分行","宜兰县苏澳镇苏北里中山路一段９６∣１号","03 9965051"
"0502906","杨梅分行","桃园县杨梅镇大成路１４６号","03 4786111"
"0502917","湖口分行","新竹县湖口乡中正路一段７６号","03 5997171"
"0503006","桃园分行","桃园县桃园市中华路９９号","03 3317171"
"0503017","大园分行","桃园县大园乡中山南路８０号","03 3857171"
"0503028","大溪分行","桃园县大溪镇复兴路８０∣８２号","03 3887171"
"0503109","中坜分行","桃园县中坜市中山路１５７号","03 4277171"
"0503110","内坜分行","桃园县中坜市忠孝路７４号","03 4557171"
"0503121","新明分行","桃园县中坜市民族路２８２号","03 4027171"
"0503132","东桃园分行","桃园县龟山乡万寿路二段１２２３号","03 3297171"
"0503154","新屋分行","桃园县新屋乡中山路２５７号","03 4777171"
"0503202","新竹分行","新竹市东门街１５４号","03 5277171"
"0503213","竹北分行","新竹县竹北市县政九路１２８号","03 5517171"
"0503224","竹科分行","新竹市光复路一段４８７号","03 5637171"
"0503305","八德分行","桃园县八德市大忠里介寿路一段７８９号","03 3767171"
"0503327","龙潭分行","桃园县龙潭乡龙潭村龙元路６４号","03 4807171"
"0503408","竹东分行","新竹县竹东镇东华里东林路６号","03 5947171"
"0503501","竹南分行","苗栗县竹南镇博爱街２９号","037467171"
"0503512","头份分行","苗栗县头份镇信义路９０号","037687171"
"0503604","苗栗分行","苗栗县苗栗市中正路６０６号","037327171"
"0504601","丰原分行","台中县丰原市三丰路１号","04 25267171"
"0504704","太平分行","台中县太平市中兴东路２７号","04 22707171"
"0504807","大甲分行","台中县大甲镇镇政路１４号","04 26867171"
"0504829","沙鹿分行","台中县沙鹿镇中栖路３５５号","04 26657171"
"0504830","乌日分行","台中县乌日乡中华路６１６号","04 23387171"
"0504900","台中分行","台中市中正路２２４号","04 22297171"
"0504911","民权分行","台中市民权路８４号","04 22267171"
"0505000","兴中分行","台中市台中路１３６号","04 22877171"
"0505011","北屯分行","台中市进化北路５３号","04 22307171"
"0505103","南投分行","南投县南投市崇文里复兴路１３９号","0492237171"
"0505114","草屯分行","南投县草屯镇中正路６０４号","0492357171"
"0505206","埔里分行","南投县埔里镇中正路４３４号","0492997171"
"0505217","潭子分行","台中县潭子乡中山路二段１３５号","04 25317171"
"0505309","竹山分行","南投县竹山镇集山路三段９１９号","0492637171"
"0505402","彰化分行","彰化县彰化市光复路６１号","04 7257171"
"0505413","和美分行","彰化县和美镇和安街８之１４号","04 7558131"
"0505505","员林分行","彰化县员林镇民权街１６号","04 8377171"
"0505608","北斗分行","彰化县北斗镇宫前街６２号","04 8877171"
"0505619","二林分行","彰化县二林镇中正路２号","04 8957171"
"0506605","斗六分行","云林县斗六市大同路１０９号","05 5347171"
"0506708","北港分行","云林县北港镇文化路６５号","05 7827171"
"0506719","虎尾分行","云林县虎尾镇和平路４５号","05 6337171"
"0506801","嘉义分行","嘉义市光华路１３２号","05 2287171"
"0506812","民雄分行","嘉义县民雄乡建国路三段８３号","05 2207171"
"0506823","南嘉义分行","嘉义市新民路７６４号","05 2867171"
"0506904","新营分行","台南县新营市中山路２１６号","06 6357171"
