"通汇金融代号","总单位名称","帐号长度","地址","电话"
"052","渣打国际商业银行","12位\n11位\n14位","新竹市中央路１０６号六楼","03 5245131"
"通汇金融代号","支单位名称","地址","电话"
"0520018","营业部","新竹市中央路１０６号","03 5243151"
"0520030","桃园分行","桃园县桃园市中正路６６号","03 3340176"
"0520041","中坜分行","桃园县中坜市中山路１９４号","03 4252186"
"0520052","竹东分行","新竹县竹东镇长春路一段３００号","03 5965711"
"0520063","竹南分行","苗栗县竹南镇中正路２１７号","037476161"
"0520074","苗栗分行","苗栗县苗栗市中正路５６２号","037324671"
"0520085","新埔分行","新竹县新埔镇中正路３８６号","03 5883611"
"0520096","头份分行","苗栗县头份镇和平路１０６号","037668281"
"0520100","大溪分行","桃园县大溪镇康庄路２５３号１楼","03 3873915"
"0520111","杨梅分行","桃园县杨梅镇大成路１０５号","03 4783491"
"0520122","新屋分行","桃园县新屋乡中山路２５１号","03 4773226"
"0520133","湖口分行","新竹县湖口乡中正路一段８２号","03 5992614"
"0520144","苑里分行","苗栗县苑里镇为公路１９号","037862851"
"0520155","大园分行","桃园县大园乡中山北路４４号","03 3861130"
"0520166","龙潭分行","桃园县龙潭乡北龙路２０２号","03 4793185"
"0520177","竹北分行","新竹县竹北市三民路５９号","03 5513115"
"0520199","三民分行","桃园县桃园市三民路三段３０１号","03 3351593"
"0520203","内坜分行","桃园县中坜市内坜信义路８３号","03 4553122"
"0520214","八德分行","桃园县八德市介寿路二段４３号","03 3634341"
"0520225","新明分行","桃园县中坜市民族路５６号","03 4918701"
"0520236","永安分行","桃园县桃园市中正路４６５号","03 3324002"
"0520247","公馆分行","苗栗县公馆乡忠孝路２１１号","037228525"
"0520258","通霄分行","苗栗县通霄镇仁爱路１６号","037757511"
"0520269","后龙分行","苗栗县后龙镇成功路２０号","037724591"
"0520270","龟山分行","桃园县龟山乡万寿路二段１０７７号","03 3290728"
"0520281","南崁分行","桃园县芦竹乡中正路９０号","03 3524148"
"0520292","新竹分行","新竹市复兴路３５号","03 5266171"
"0520306","关西分行","新竹县关西镇明德路２１号","03 5875151"
"0520317","大树林分行","桃园县桃园市桃莺路２３３号","03 3664291"
"0520328","光复分行","新竹市光复路一段２７０号","03 5775663"
"0520351","龙冈分行","桃园县中坜市龙东路３０２号","03 4657779"
"0520362","山子顶分行","桃园县平镇市中丰路山顶段１５０号","03 4696257"
"0520373","埔心分行","桃园县杨梅镇永美路３５１号","03 4824984"
"0520384","新丰分行","新竹县新丰乡建兴路一段１５５之７号","03 5591113"
"0520410","三义分行","苗栗县三义乡中正路８３号","037875281"
"0520421","新庄简易型分行","台北县新庄市中正路８７９之１７号","02 29082996"
"0520454","中正简易型分行","新竹市中正路３２６号","03 5348939"
"0520465","会稽分行","桃园县桃园市春日路８６２号","03 3553278"
"0520476","环北分行","桃园县中坜市环北路４０５号","03 4511333"
"0520498","延平简易型分行","新竹市延平路一段２１４巷５０号","03 5219216"
"0520502","大湖简易型分行","苗栗县大湖乡民生路７９号","037995561"
"0520513","新兴分行","新竹市四维路１３０号","03 5233171"
"0520524","新社分行","新竹县竹北市中正西路１４１号","03 5519456"
"0520546","科学园区分行","新竹市科学园区园区二路１１号","03 5785355"
"0520557","观音分行","桃园县观音乡大同村中山路二段８３３号","03 4986401"
"0520568","铜锣简易型分行","苗栗县铜锣乡铜锣村中正路２０１号","037985211"
"0520579","北新竹分行","新竹市北大路６号１楼","03 5348155"
"0520591","平镇简易型分行","桃园县平镇市环南路２２５号","03 4910311"
"0520605","国外部","新竹市中正路１１０号５楼","03 5288234"
"0520616","大竹分行","桃园县芦竹乡大竹路５０６之２３号","03 3137633"
"0520649","东内坜分行","桃园县中坜市荣民路４７号","03 4351988"
"0520672","建国分行","台北市中山区建国北路一段３８号","02 87723232"
"0520683","公西分行","桃园县龟山乡复兴一路２３７号","03 3972288"
"0520694","金陵分行","桃园县平镇市金陵路８７号","03 4579155"
"0520708","庄敬简易型分行","桃园县桃园市大兴西路二段３５号","03 3026699"
"0520719","板桥分行","台北县板桥市新府路１－１、１－３号２楼","02 29528799"
"0520720","芦洲简易型分行","台北县芦洲市集贤路３０８号","02 82828266"
"0520731","丰原分行","台中县丰原市圆环东路７９７号","04 25234116"
"0520742","文心分行","台中市文心路一段３８０号","04 23192480"
"0520753","内湖分行","台北市内湖区东湖路６９号","02 26318888"
"0520764","九如分行","高雄市九如一路３８３号","07 3872296"
"0520775","台南分行","台南市金华路二段４２９号","06 2648101"
"0520786","嘉义分行","嘉义市民族路３４５号","05 2288855"
"0520797","南屯分行","台中市黎明路二段３０２号","04 22536208"
"0520801","神冈分行","台中县神冈乡中山路７８６号","04 25622731"
"0520812","东宁分行","台南市东兴路８８号","06 2761561"
"0520823","东海分行","台中市西屯区福科路３０６号","04 24653500"
"0520856","永和简易型分行","台北县永和市中正路３０２号","02 29452510"
"0520867","中和简易型分行","台北县中和市建一路１８２号","02 82271656"
"0520878","北屯分行","台中市北区文心路四段２３６号","04 22990755"
"0520889","西屯分行","台中市西屯区河南路２段３２７号","04 27081040"
"0520926","彰化分行","彰化县彰化市中正路二段５３号","04 7282999"
"0520959","敦北分行","台北市敦化北路１６８号１楼","02 27166261"
"0520960","北高雄分行","高雄市文信路１８９号","07 5501705"
"0520971","台中分行","台中市中港路一段２６１号","04 23246800"
"0520982","高雄分行","高雄市中正二路１７５号２２楼","07 2285500"
"0521015","复兴分行","台北市复兴北路３６３号１０楼","02 66027676"
"0521037","大雅分行","台中市北区大雅路５７号","04 36023300"
"0521060","三多分行","高雄市前镇区中山二路２６２号１楼","07 9660766"
"0521071","东台南分行","台南市中区民族路二段１０７号１楼","06 2203203"
"0521082","七贤分行","高雄市七贤一路３０１号","07 2385976"
"0521093","西湖分行","台北市内湖路一段６６号１楼","02 66023000"
"0521118","信义分行","台北市信义区松仁路９７号２楼","02 27206118"
"0521129","东台北分行","台北市松山区南京东路三段１２８号","02 66192900"
"0521141","敦化分行","台北市敦化南路２段９３号１楼","02 66396000"
"0521152","天母分行","台北市忠诚路二段４６－１号","02 66107600"
"0521163","仁爱分行","台北市大安区仁爱路四段１号１楼","02 66363700"
"0521185","中山分行","台北市中山区中山北路二段１３６号","02 66197200"
