"通汇金融代号","总单位名称","帐号长度","地址","电话"
"053","台中商业银行","12位","台中市西区民权路８７号","04 22236021"
"通汇金融代号","支单位名称","地址","电话"
"0530019","中正分行","台中市中区中正路１８９号","04 37010800"
"0530020","营业部","台中市西区民权路８７号","04 37002000"
"0530042","南台中分行","台中市南区复兴路三段３５５号","04 37017000"
"0530053","雾峰分行","台中县雾峰乡中正路８２９号","04 37065555"
"0530064","大甲分行","台中县大甲镇蒋公路４２号","04 37059000"
"0530075","沙鹿分行","台中县沙鹿镇中山路２９８号","04 37051111"
"0530086","丰原分行","台中县丰原市中正路３０２∣１号","04 37053888"
"0530097","东势分行","台中县东势镇中山路６１号","04 25872185"
"0530101","彰化分行","彰化县彰化市光复路１２６号","04 7051111"
"0530112","溪湖分行","彰化县溪湖镇彰水路三段２９０号","04 7080000"
"0530123","员林分行","彰化县员林镇中山南路２７号","04 7071111"
"0530134","田中分行","彰化县田中镇中州路一段１９７号","04 7081111"
"0530145","北斗分行","彰化县北斗镇斗苑路一段１８０号","04 7087000"
"0530156","二林分行","彰化县二林镇仁爱路４９６、４９８号","04 7088989"
"0530167","南投分行","南投县南投市民生街５２号","0497006888"
"0530178","水里简易型分行","南投县水里乡民权路２７０号","0492772177"
"0530189","草屯分行","南投县草屯镇碧山路１４１号","0497007777"
"0530190","竹山分行","南投县竹山镇竹山路１４８号","0492643181"
"0530204","埔里分行","南投县埔里镇西康路６２号","0492984001"
"0530215","鹿港分行","彰化县鹿港镇中山路２６６号","04 7073333"
"0530226","西台中分行","台中市西区公益路３６９号","04 37000222"
"0530237","清水分行","台中县清水镇中山路１０４号","04 37060222"
"0530248","东丰原分行","台中县丰原市三民路２０３号","04 37053705"
"0530259","乌日分行","台中县乌日乡三民街１０７号","04 37056226"
"0530271","北台中分行","台中市北区大雅路６２４号","04 37020505"
"0530307","南丰原分行","台中县丰原市中山路２３２号","04 37053000"
"0530318","和美分行","彰化县和美镇鹿和路六段３９３号","04 7070088"
"0530330","西屯分行","台中市西屯区河南路二段４３６号","04 37031666"
"0530341","太平分行","台中县太平市中兴路１１５号","04 37052888"
"0530363","大雅分行","台中县大雅乡中清南路３９号","04 37055555"
"0530374","后里分行","台中县后里乡民生路９５号","04 37067688"
"0530385","潭子分行","台中县潭子乡潭兴路三段７６号","04 37054999"
"0530396","社头分行","彰化县社头乡员集路二段３１１号","04 7085555"
"0530400","永靖分行","彰化县永靖乡永南村西门路７１号","04 7072000"
"0530411","花坛分行","彰化县花坛乡花坛村中山路一段４４６号","04 7078000"
"0530422","秀水分行","彰化县秀水乡彰水路二段５９７号","04 7077077"
"0530444","南屯分行","台中市南屯区五权西路二段６６３号","04 37042888"
"0530455","大肚分行","台中县大肚乡沙田路二段７７８号","04 26991166"
"0530466","神冈分行","台中县神冈乡社南村民族路４０号","04 25621501"
"0530477","内新分行","台中县大里市中兴路二段３３９号","04 37050050"
"0530488","伸港分行","彰化县伸港乡新港村中山东路１１１号","04 7983171"
"0530499","北太平分行","台中市东区精武东路６６号","04 37025500"
"0530503","台中港分行","台中县梧栖镇八德路３６号","04 37057700"
"0530514","北员林分行","彰化县员林镇大同路二段１１６号","04 7071222"
"0530525","南阳分行","台中县丰原市圆环东路３３８号","04 37053999"
"0530536","大竹分行","彰化县彰化市彰南路一段３６４号","04 7050000"
"0530570","埤头分行","彰化县埤头乡斗苑西路１６３号","04 7090090"
"0530581","四民分行","台中市北屯区崇德路３段１９９号","04 37020555"
"0530592","军功分行","台中市北屯区东山路一段２２２号","04 37037666"
"0530617","大庆分行","台中市南区复兴路一段２９５号","04 37019999"
"0530639","北屯分行","台中市北屯区进化北路８０号","04 37036888"
"0530662","埔心分行","彰化县埔心乡东门村中正路一段２１７号","04 7084266"
"0530684","台北分行","台北市中正区忠孝东路一段８５号","02 77259888"
"0530710","松山分行","台北市信义区基隆路一段１７６号","02 77180008"
