"通汇金融代号","总单位名称","帐号长度","地址","电话"
"054","京城商业银行","12位","台南市西门路一段５０６号","06 2139171"
"通汇金融代号","支单位名称","地址","电话"
"0540010","营业部","台南市西门路一段５０６号","06 2141271"
"0540032","台南分行","台南市忠义路二段６９号一楼","06 2283155"
"0540043","嘉义分行","嘉义市中山路２６２号","05 2242135"
"0540054","新营分行","台南县新营市中山路１４８号","06 6324161"
"0540065","盐水分行","台南县盐水镇中正路１５号","06 6521677"
"0540076","虎尾分行","云林县虎尾镇公安路１３３号１楼","05 6323301"
"0540087","斗六分行","云林县斗六市民生路１２８号","05 5321561"
"0540098","民雄分行","嘉义县民雄乡民生路６号","05 2262372"
"0540102","北港分行","云林县北港镇民主路６１号","05 7836181"
"0540113","麻豆分行","台南县麻豆镇中山路８３号１楼","06 5721117"
"0540124","朴子分行","嘉义县朴子市山通路４３号","05 3795181"
"0540135","佳里分行","台南县佳里镇文化路２０３号","06 7223152"
"0540146","梅山分行","嘉义县梅山乡中山路１２６号","05 2622131"
"0540157","斗南分行","云林县斗南镇中正路１３１号","05 5973181"
"0540180","东台南分行","台南市林森路二段９８号","06 2385506"
"0540191","西台南分行","台南市民族路三段２２５号","06 2289211"
"0540205","北台南分行","台南市公园路７７６号","06 2518623"
"0540216","博爱分行","嘉义市林森西路１７５号","05 2226626"
"0540227","西螺分行","云林县西螺镇福兴路１６６号","05 5869541"
"0540238","大同分行","台南市大同路二段６１５号","06 2607736"
"0540249","善化分行","台南县善化镇中山路４５２号","06 5815658"
"0540250","学甲分行","台南县学甲镇济生路１１１号","06 7831417"
"0540272","开元分行","台南市开元路２８０号","06 2347302"
"0540283","永康分行","台南县永康市永大路二段２７号","06 2729621"
"0540294","新市分行","台南县新市乡中正路２４０号","06 5995631"
"0540308","仁德分行","台南县仁德乡中山路２６８号１楼","06 2708056"
"0540319","六甲分行","台南县六甲乡中正路４９１号","06 6987813"
"0540320","安南分行","台南市海佃路一段３６６号","06 2598153"
"0540331","中埔分行","嘉义县中埔乡和睦村中山路五段８６７号","05 2390011"
"0540342","仑背分行","云林县仑背乡中山路３７５号","05 6966821"
"0540353","西港分行","台南县西港乡中山路３４４号","06 7951949"
"0540364","新化分行","台南县新化镇中山路５８６号","06 5987103"
"0540375","竹崎分行","嘉义县竹崎乡竹崎村中山路２２１之１号","05 2611941"
"0540397","安和分行","台南市安和路二段２４１号","06 3559311"
"0540401","新兴分行","台南市新兴路３５７∣３５９号","06 2658511"
"0540412","中华分行","台南市中华东路三段１９８号","06 2603171"
"0540434","白河分行","台南县白河镇国光路７号","06 6852085"
"0540445","兴业分行","嘉义市新民路７８４号","05 2852171"
"0540467","水上分行","嘉义县水上乡中兴路３１７号","05 2689681"
"0540489","府城分行","台南市西门路四段１５号","06 2833046"
"0540504","归仁分行","台南县归仁乡中山路二段２９号","06 2396185"
"0540515","盐行分行","台南县永康市中正北路５４号","06 2541839"
"0540537","台北分行","台北市仁爱路四段７５号","02 27710922"
"0540548","大林分行","嘉义县大林镇中兴路６０号","05 2651541"
"0540607","关庙分行","台南县关庙乡文衡路１７号","06 5961550"
"0540641","太保分行","嘉义县太保市北港路二段１６６之１７号","05 2381518"
"0540652","芦洲分行","台北县芦洲市集贤路２３２号","02 22884988"
"0540663","玉井分行","台南县玉井乡中山路１３０号","06 5747673"
"0540696","高雄分行","高雄市裕诚路１１０号","07 3457171"
"0540700","台中分行","台中市忠明路２００号","04 23293511"
"0540711","内湖分行","台北市内湖区洲子街１８１号１楼","02 27994599"
"0540733","丰原分行","台中县丰原市向阳路３１１号","04 25158928"
"0540744","桃园分行","桃园县桃园市中华路１０６号","03 3472469"
"0540755","双和分行","台北县中和市中正路８７８号","02 82217871"
"0540766","冈山分行","高雄县冈山镇中山北路１７６号","07 6241766"
"0540777","中正分行","高雄市苓雅区中正二路１７５号","07 2252288"
"0540788","忠孝分行","台北市南港区忠孝东路６段２１号１楼","02 27889818"
"0540799","北高雄分行","高雄市左营区立文路７７号","07 5507708"
"0540803","五甲分行","高雄县凤山市五甲二路４９８号","07 8221168"
"0540814","板桥分行","台北县板桥市中山路１段３号一楼","02 89515758"
"0540825","文心分行","台中市文心路一段３２０号１楼","04 23288007"
"0540836","松山分行","台北市松山区复兴北路５９号","02 87738778"
"0540847","新庄分行","台北县新庄市中华路二段１５８号１楼","02 29941213"
