"通汇金融代号","总单位名称","帐号长度","地址","电话"
"081","香港上海汇丰银行台北分行","存款类一12位\n存款类二14位","台北市信义区信义路５段８号１Ｆ","02 26527000"
"通汇金融代号","支单位名称","地址","电话"
"0810016","台北分行","台北市信义区五段８号１楼","02 26527000"
"0810027","高雄分行","高雄市民权二路６号３Ｆ","07 3377333"
"0810049","台中分行","台中市文心路一段２１８号１Ｆ","04 24712626"
"0810050","台南分行","台南市金华路三段１７６号","06 6028688"
"0810061","板桥分行","台北县板桥市文化路二段２８５号","02 22535000"
"0810072","桃园分行","桃园县桃园市中山路５２６号","03 3373456"
"0810083","建国分行","台北市南京东路二段１６７号","02 25129000"
"0810094","天母分行","台北市天母西路２０号","02 28771575"
"0810108","忠孝分行","台北市忠孝西路一段６号","02 66336666"
"0810120","光复分行","台北市光复南路３号","02 66336600"
"0810131","中山分行","台北市林森北路３７２号","02 66336677"
"0810142","文心分行","台中市文心路三段２３０号","04 36036366"
"0810153","南京东路分行","台北市南京东路三段７０号","02 66336688"
"0810164","重庆分行","台北县板桥市重庆路１９８号","02 66336000"
"0810175","丰原分行","台中县丰原市中山路２９５号","04 36036333"
"0810186","嘉义分行","嘉义市林森西路１５５号","05 3105988"
"0810197","民生分行","高雄市民生一路１１１号","07 9638088"
"0810201","新生分行","台北市新生南路一段１４８号","02 66336222"
"0810212","三重分行","台北县三重市福德北路１２号","02 66339262"
"0810223","新竹分行","新竹市北区北大路１１７号１楼、２楼","03 6108288"
"0810234","松江分行","台北市松江路２６６号","02 66336066"
"0810245","双和分行","台北县永和市林森路１２２之１号","02 66336077"
"0810256","彰化分行","彰化县彰化市三民路４０７号","04 7036789"
"0810267","信义分行","台北市基隆路二段１２３号","02 66336255"
"0810278","新庄分行","台北县新庄市思源路３４５号","02 66336070"
"0810289","永康分行","台南县永康市中华路２４７号","06 6028666"
"0810290","新店分行","台北县新店市建国路２１９之１号","02 66336080"
"0810304","南港分行","台北市中坡北路９２号","02 66336299"
"0810315","中坜分行","桃园县中坜市元化路２７６号１楼","03 2636111"
"0810326","仁爱分行","台北市仁爱路二段２号","02 66336088"
"0810337","敦北分行","台北市松山区敦化北路１６７号１楼","02 66336633"
"0810348","前镇分行","高雄市前镇区一心二路１２８号","07 9638066"
"0810359","大安分行","台北市信义路三段１５１号","02 66336099"
"0810360","内湖分行","台北市内湖区瑞光路５５２号１楼","02 66336699"
