"通汇金融代号","总单位名称","帐号长度","地址","电话"
"101","大台北商业银行","存款类一13位\n存款类二14位","台北市延平北路二段１３３号","02 25575151"
"通汇金融代号","支单位名称","地址","电话"
"1010011","营业部","台北市延平北路二段１３３号","02 25539101"
"1010020","民生分行","台北市民生东路二段５７号","02 25629873"
"1010039","建成分行","台北市南京西路１４５号","02 25558787"
"1010048","大桥分行","台北市延平北路三段１９－１号","02 25917114"
"1010057","南京东路分行","台北市南京东路三段２１号","02 25068494"
"1010066","昆明分行","台北市长沙街二段４７号","02 23145270"
"1010075","长安分行","台北市长安东路二段１１０号","02 25069277"
"1010084","永吉分行","台北市永吉路１８９－５号","02 27635781"
"1010093","和平东路分行","台北市和平东路三段１２１号","02 27383636"
"1010109","石牌分行","台北市致远一路二段４２号","02 28233377"
"1010118","内湖分行","台北市内湖路一段５７５号","02 26573181"
"1010127","成功简易型分行","台北市成功路四段１９７号","02 27934266"
"1010136","古亭分行","台北市汀州路一段１８９号","02 23323477"
"1010145","景美分行","台北市兴隆路一段１４６号","02 29355296"
"1010154","南港分行","台北市忠孝东路五段９６６号","02 26516686"
"1010163","信义简易型分行","台北市信义路六段３１号","02 23465111"
"1010172","万华分行","台北市西园路二段２２１号","02 23377556"
"1010181","士林分行","台北市剑潭路１１号","02 28829299"
"1010190","松山简易型分行","台北市八德路四段４６５号","02 27631188"
"1010206","城内分行","台北市中正区重庆南路一段６４号１楼","02 77293311"
"1010215","中山简易型分行","台北市南京东路一段１３８号","02 25712151"
"1010224","中和分行","台北县中和市中正路７００号１楼","02 77317000"
