"通汇金融代号","总单位名称","帐号长度","地址","电话"
"102","华泰商业银行","13位","台北市长安东路二段２４６号","02 27525252"
"通汇金融代号","支单位名称","地址","电话"
"1020010","营业部","台北市长安东路二段２４６号","02 27525252"
"1020029","迪化街分行","台北市迪化街一段９９号","02 25563101"
"1020038","建成简易型分行","台北市宁夏路５４号","02 25552175"
"1020047","大同分行","台北市重庆北路三段２２５号","02 25963271"
"1020056","中山分行","台北市民权东路二段４２号","02 25675255"
"1020065","大安分行","台北市和平东路三段３２１号","02 27322128"
"1020074","松山分行","台北市民生东路五段１５０号","02 27639177"
"1020083","古亭分行","台北市中华路二段４１８∣４２０号","02 23051655"
"1020092","士林分行","台北市延平北路五段２３７号","02 28160633"
"1020108","内湖分行","台北市内湖路一段７２９号","02 27976282"
"1020117","信义分行","台北市光复南路４７５号","02 27582919"
"1020126","永吉分行","台北市永吉路３４８号","02 27643140"
"1020135","和平分行","台北市和平东路二段１２２号","02 27339900"
"1020144","光复分行","台北市光复南路１号","02 27531101"
"1020153","文山分行","台北市木新路三段１６１号","02 29373099"
"1020171","石牌分行","台北市石牌路二段９５号","02 28263515"
"1020180","万华分行","台北市西园路一段１２４号","02 23062699"
"1020199","南门分行","台北市和平西路一段８０号","02 23649001"
"1020205","松德分行","台北市松德路６５号","02 23460501"
"1020214","新庄分行","台北县新庄市中正路８９１之４３号","02 29072255"
"1020223","中和分行","台北县中和市中和路３１２号","02 89214188"
"1020232","板桥分行","台北县板桥市民族路２１１号","02 89512201"
"1020241","南京东路分行","台北市南京东路三段９１－３号","02 25063998"
"1020250","敦化分行","台北市敦化南路二段１３０号","02 27089399"
"1020269","新店分行","台北县新店市顺安街２号","02 86655958"
"1020278","中坜分行","桃园县中坜市中山路９１号","03 4265668"
"1020287","高雄分行","高雄市前金区中正四路１３９号１楼","07 2727998"
"1020296","三重简易型分行","台北县三重市五华街１２４号","02 29898368"
"1020302","东湖分行","台北市内湖区康宁路三段３５－３７号１楼","02 26316099"
"1020366","台中分行","台中市文心路三段２２号１楼","04 23158558"
