"通汇金融代号","总单位名称","帐号长度","地址","电话"
"103","台湾新光商业银行","存款类13位\n放款类14位","台北市忠孝西路１段６６号２７楼","02 21711055"
"通汇金融代号","支单位名称","地址","电话"
"1030019","营业部","台北市西昌街１３４号","02 23812160"
"1030028","东台北分行","台北市光复北路１１巷２９号１楼","02 27685966"
"1030037","龙山分行","台北市康定路２０７号","02 23023531"
"1030046","西园分行","台北市西园路２段１２９号","02 23061271"
"1030055","西门分行","台北市西宁南路７３号","02 23145791"
"1030064","大同分行","台北市重庆北路三段２６９号","02 25974951"
"1030073","复兴分行","台北市复兴北路３１１号１楼","02 27150825"
"1030082","忠孝简易型分行","台北市大安区延吉街１６０号１、２楼及Ｂ１","02 27410101"
"1030091","五常分行","台北市龙江路３５６巷７６号","02 25059161"
"1030107","城北分行","台北市松江路１６２号１楼","02 25652711"
"1030116","城内分行","台北市重庆南路一段１１５号","02 23814518"
"1030125","东湖分行","台北市内湖区民权东路六段３１２号１楼","02 26348787"
"1030134","民生分行","台北市民生东路三段８号２楼","02 25165887"
"1030143","庆城分行","台北市庆城街一之一号","02 27199811"
"1030152","内湖分行","台北市内湖路一段３６０巷１７号","02 27976768"
"1030161","庄敬分行","台北市庄敬路３３０号","02 23451888"
"1030170","松山分行","台北市忠孝东路五段５１０号２Ｆ","02 23466636"
"1030189","南港分行","台北市南港区重阳路２１８号１、２楼","02 27821787"
"1030198","林森北路分行","台北市林森北路５５４号","02 25861991"
"1030204","大安简易型分行","台北市复兴南路二段１７７号","02 27551639"
"1030213","新竹分行","新竹市中山路８４号","03 5215171"
"1030222","中坜分行","桃园县中坜市中山路２０１号","03 4270123"
"1030231","桃园分行","桃园县桃园市复兴路２０７号１楼","03 3316996"
"1030240","东三重分行","台北县三重市重新路一段１０２号","02 29737788"
"1030259","竹北分行","新竹县竹北市中华路３７２号","03 5552058"
"1030268","连城路分行","台北县中和市连城路１６６号","02 22477330"
"1030277","关东桥分行","新竹市光复路一段３３３号","03 5678989"
"1030286","土城分行","台北县土城市金城路三段１２２号","02 22705050"
"1030295","芦洲分行","台北县芦洲市复兴路１０１号","02 82813182"
"1030301","建成分行","台北市重庆北路一段７３号","02 25567227"
"1030310","北三重分行","台北县三重市溪尾街１１５号","02 29875522"
"1030329","永和分行","台北县永和市中正路４１１号","02 32335656"
"1030338","新埔分行","台北县板桥市雨农路２１号","02 22521919"
"1030347","台中分行","台中市台中路１０１号","04 22284113"
"1030356","中港分行","台中市台中港路三段９９号","04 23588211"
"1030365","左营华夏路分行","高雄市左营区华夏路６９２号","07 3487077"
"1030374","大甲分行","台中县大甲镇顺天路２０２号","04 26760020"
"1030383","大墩分行","台中市公益路２段５号","04 23296236"
"1030392","员林分行","彰化县员林镇中山路二段３４６号","04 8377007"
