"通汇金融代号","总单位名称","帐号长度","地址","电话"
"104","台北市第五信用合作社","14位","台北市民生西路２２８号","02 25551151"
"通汇金融代号","支单位名称","地址","电话"
"1040018","营业部","台北市民生西路２２８号","02 25551151"
"1040027","吉林分社","台北市吉林路３１２号","02 25426255"
"1040036","大同分社","台北市民族西路８０号","02 25959776"
"1040045","中山分社","台北市龙江路２６６号","02 25017206"
"1040054","松山分社","台北市中坡南路１１号","02 26516885"
"1040063","大安分社","台北市复兴南路二段８６∣５号","02 27548656"
"1040072","石牌分社","台北市北投区裕民六路１３２号","02 28218955"
"1040081","南港分社","台北市研究院路一段２０号","02 26516010"
"1040090","文山分社","台北市兴隆路四段７０号","02 22342313"
"1040106","中正分社","台北市南昌路二段１３９号","02 23696881"
"1040115","北投分社","台北市中央南路一段１０８号","02 28930131"
"1040124","内湖分社","台北市金龙路６９号","02 87920676"
"1040133","天母分社","台北市德行东路１５号","02 28385252"
