"通汇金融代号","总单位名称","帐号长度","地址","电话"
"106","台北市第九信用合作社","13位","台北市昆明街３２２号","02 23021185"
"通汇金融代号","支单位名称","地址","电话"
"1060016","营业部（永欣证券）","台北市昆明街３２２号","02 23021185"
"1060025","兴隆分社","台北市兴隆路二段１８５号","02 29320555"
"1060034","双园分社","台北市东园街１４５号","02 23011180"
"1060043","西门分社","台北市汉中街１９３号","02 23122154"
"1060052","古亭分社","台北市罗斯福路三段２７１号","02 23629211"
"1060061","中正分社","台北市八德路二段１８８号","02 27110633"
"1060070","松山分社","台北市庄敬路１９６号","02 27208541"
"1060089","士林分社","台北市忠诚路二段７号","02 28349361"
"1060098","东湖分社","台北市东湖路５５号１楼","02 26312411"
"1060104","安和分社","台北市基隆路二段１４９－４９号","02 27388788"
"1060113","民生分社","台北市光复北路２３８号","02 27120588"
"1060122","双连分社","台北市锦西街２４号","02 25717869"
"1060131","重庆分社","台北市郑州路２７号","02 25558151"
"1060140","木栅分社","台北市文山区保仪路５９号","02 29362121"
"1060159","吉林分社","台北市吉林路１７３号","02 25115679"
"1060168","大直分社","台北市北安路６３２号","02 25329933"
"1060177","万大分社","台北市万大路２４４号","02 23377719"
"1060186","东门分社","台北市金山南路一段９８号","02 23958995"
