"通汇金融代号","总单位名称","帐号长度","地址","电话"
"108","阳信商业银行","11位、12位","台北市石牌路一段８８号","02 28208166"
"通汇金融代号","支单位名称","地址","电话"
"1080014","营业部","台北市中正路２５５号","02 28822330"
"1080023","石牌分行","台北市石牌路一段９０号","02 28238480"
"1080032","北投分行","台北市光明路１５２号","02 28917361"
"1080041","社子分行","台北市延平北路五段２６０号","02 28121112"
"1080050","士林分行","台北市大北路８２号","02 28823660"
"1080069","大屯分行","台北市中和街３０４号","02 28919196"
"1080078","剑潭分行","台北市通河街１３１号","02 28854181"
"1080087","兰雅分行","台北市中山北路六段１６９号","02 28362072"
"1080096","天母分行","台北市天母东路１５号","02 28732500"
"1080102","社中分行","台北市士林区社中街２１８号","02 28151415"
"1080111","吉林分行","台北市吉林路３０４号","02 25611188"
"1080120","成功分行","台北市成功路四段７０号","02 27922433"
"1080139","民生分行","台北市民生东路五段１６７号","02 27606335"
"1080148","延吉分行","台北市延吉街１１号","02 25786201"
"1080157","木栅分行","台北市木栅路三段９６号","02 22345890"
"1080166","龙江分行","台北市龙江路３５６巷４９号","02 25165945"
"1080175","南京分行","台北市南京东路四段１３２号","02 25790229"
"1080184","景美分行","台北市景后街９５号之１２","02 29300202"
"1080193","中兴分行","台北市民生东路三段３６号","02 25165268"
"1080209","信义分行","台北市信义路四段１８８号","02 27068388"
"1080218","中和分行","台北县中和市建一路２４５号","02 22225199"
"1080227","永和分行","台北县永和市中山路一段１８６号","02 29265899"
"1080236","芦洲分行","台北县芦洲市集贤路３９３号","02 82822068"
"1080245","板桥分行","台北县板桥市四川路一段１３３号","02 29550008"
"1080263","新和简易型分行","台北县中和市华新街８９号","02 89419339"
"1080272","溪洲分行","台北县板桥市笃行路三段８７号","02 26819960"
"1080281","泰山分行","台北县泰山乡明志路一段１１０号１楼","02 22979797"
"1080290","新庄分行","台北县新庄市龙安路５３３号","02 82019069"
"1080306","古亭分行","台北市汀州路二段４０号","02 83692288"
"1080315","三重分行","台北县三重市自强路四段１０８号","02 89817171"
"1080324","大业简易型分行","桃园县桃园市大业路一段５３号","03 3478899"
"1080333","双和分行","台北县中和市景平路７２２号","02 82423919"
"1080342","复兴分行","台北市复兴北路１４３号","02 27196166"
"1080351","大安简易型分行","台北市和平东路三段２２５号","02 27337711"
"1080360","桃园分行","桃园县桃园市中山东路３２之２０号一楼之五","03 3360555"
"1080379","新店分行","台北县新店市中正路２６３之５号","02 89117676"
"1080397","新福简易型分行","台北县新庄市幸福路８００号","02 29983366"
"1080403","新竹分行","新竹市中央路２４７号","03 5153608"
"1080412","员林分行","彰化县员林镇静修路１２号","04 8322171"
"1080430","精武分行","台中市精武东路１８８号","04 22112368"
"1080449","社头简易型分行","彰化县社头乡员集路二段２５７号","04 8721017"
"1080458","屏东分行","屏东县屏东市中正路７０号","08 7326123"
"1080467","中正分行","屏东县屏东市中正路２９３号","08 7360811"
"1080476","高雄分行","高雄市九如一路１９２号","07 3843163"
"1080485","苓雅分行","高雄市苓雅区复兴二路２２号","07 3310066"
"1080494","自由简易型分行","屏东县屏东市自由路西段１１４号","08 7539224"
"1080500","嘉义分行","嘉义市西区中兴路２９８号","05 2342023"
"1080519","新埔分行","台北县板桥市四维路２４５号","02 82537789"
"1080528","台南分行","台南市忠义路二段１４８号","06 2282171"
"1080555","东宁分行","台南市东宁路２４７号","06 2375141"
"1080564","中华分行","台南市中华东路三段１０２号１楼","06 2670751"
"1080573","健康分行","台南市健康路二段３７０号","06 2612136"
"1080582","台中分行","台中市台中港路一段１５９号","04 23109996"
"1080607","西华分行","台南市中华西路二段３５９号","06 2979880"
"1080616","安顺分行","台南市安和路一段２０２号","06 2563146"
"1080634","左营分行","高雄市左营区博爱二路１０２号","07 5560128"
"1080643","向上简易型分行","台中市向上南路一段１６６号","04 24722528"
"1080652","内湖分行","台北市内湖区内湖路一段２５０号","02 26586698"
"1080661","中坜分行","桃园县中坜市健行路１７１号","03 4281116"
"1080670","五股分行","台北县五股乡中兴路一段十二号","02 89769000"
"1080689","林森分行","新竹市西大路１０９号地下１楼、１楼、２楼","03 6100189"
"1080698","立文分行","高雄市左营区立文路７５号","07 5580711"
"1080704","新兴分行","高雄市新兴区中正四路６号","07 2884131"
"1080713","青年分行","高雄市苓雅区青年一路１６９之１号","07 3318526"
"1080722","三凤分行","高雄市三民区中华三路２９３号","07 2315101"
"1080731","四维分行","高雄市苓雅区中华四路１５９号","07 3333701"
"1080740","大公分行","高雄市盐埕区大公路４０号","07 5315105"
"1080759","大顺分行","高雄市三民区大顺二路４１号","07 3861622"
"1080768","海光分行","高雄市左营区左营大路１９０号","07 5823511"
"1080777","前镇分行","高雄市苓雅区三多二路２８１号","07 7110046"
"1080786","平等分行","高雄市三民区自立一路２８３号","07 3214622"
"1080795","民族分行","高雄市新兴区中正二路２１８号","07 2242426"
"1080801","小港分行","高雄市小港区康庄路１７８之１号","07 8065171"
"1080810","右昌分行","高雄市楠梓区加昌路８０３号","07 3646530"
"1080829","建国分行","高雄市苓雅区武庙路１２４号","07 7153513"
"1080838","五甲分行","高雄县凤山市五甲二路３６８号","07 7260801"
"1080847","鼎力分行","高雄市三民区鼎力路１４２号","07 3465955"
"1080856","楠梓分行","高雄市楠梓区楠梓路５５号","07 3535513"
"1080865","旗山分行","高雄县旗山镇中山路１５８号","07 6612081"
"1080874","六龟简易型分行","高雄县六龟乡义宝村光复路９４号","07 6892741"
"1080883","美浓简易型分行","高雄县美浓镇中正路一段２５号","07 6818346"
"1080917","林园分行","高雄县林园乡东林西路１３６号１楼","07 6438141"
"1080926","冈山分行","高雄县冈山镇大德一路１６号１楼","07 6236182"
"1080935","仁德分行","台南县仁德乡中正路二段２７３号","06 2706361"
"1080944","佳里分行","台南县佳里镇建南里新生路２７７号","06 7217396"
"1080953","永康分行","台南县永康市中华路６２５号","06 2036607"
"1080971","中山分行","屏东县屏东市中山路１８７号","08 7331053"
"1080980","里港分行","屏东县里港乡春林村里港路４３号","08 7757735"
"1080999","东港简易型分行","屏东县东港镇中正路１６６号","08 8320887"
"1081017","光华分行","嘉义市东区光华路１１９号","05 2285830"
"1081026","台北分行","台北市民生东路一段４３号","02 25633710"
"1081035","长安分行","台北市大同区长安西路二０五号","02 25595500"
"1081053","罗东分行","宜兰县罗东镇中正北路三十号","03 9571259"
"1081062","竹北分行","新竹县光明六路东一段二三六号","03 6585818"
"1081071","重新分行","台北县三重市重新路四段２８号","02 29779886"
"1081080","彰化分行","彰化县彰化市晓阳路１８７号","04 7289399"
