"通汇金融代号","总单位名称","帐号长度","地址","电话"
"114","基隆第一信用合作社","13位","基隆市义一路７６号","02 24262301"
"通汇金融代号","支单位名称","地址","电话"
"1140015","营业部","基隆市义一路７６号","02 24262301"
"1140024","仁一路分社","基隆市仁一路１５７号","02 24262351"
"1140033","爱三路分社","基隆市爱三路７号","02 24262331"
"1140042","忠二路分社","基隆市忠二路２０号","02 24262321"
"1140051","安一路分社","基隆市安一路６１号","02 24262311"
"1140060","信二路分社","基隆市信二路１６１号","02 24247206"
"1140079","中华路分社","基隆市中华路７１号","02 24281026"
"1140088","八斗子分社","基隆市北宁路２８２号","02 24691186"
"1140097","南兴路分社","基隆市南兴路７４号","02 24567176"
"1140103","大武仑分社","基隆市基金一路１３１之２１号","02 24334533"
"1140112","碇内分社","基隆市源远路２２６巷３３号","02 24590825"
"1140121","仁二路分社","基隆市仁二路１９２号","02 24255577"
