"通汇金融代号","总单位名称","帐号长度","地址","电话"
"118","板信商业银行","存放款类14位","台北县板桥市文化路一段１１号","02 29689101"
"通汇金融代号","支单位名称","地址","电话"
"1180011","营业部","台北县板桥市文化路一段１１号","02 29689101"
"1180020","后埔分行","台北县板桥市成都街１８号","02 29629121"
"1180039","永和分行","台北县永和市仁爱路１２号","02 29299481"
"1180048","埔墘分行","台北县板桥市三民路二段３８号１楼","02 29629106"
"1180057","华江分行","台北县板桥市文化路二段３８２号","02 22529101"
"1180066","民族分行","台北县板桥市汉生东路３３９号","02 29629111"
"1180075","中和分行","台北县中和市中和路２３２号","02 22498756"
"1180084","土城分行","台北县土城市中央路一段２８９号","02 22629119"
"1180093","文化分行","台北县板桥市文化路一段２６１号","02 22587777"
"1180109","大观分行","台北县板桥市大观路二段１５５号","02 22756566"
"1180118","兴南分行","台北县中和市兴南路一段４５号","02 29459366"
"1180136","高雄分行","高雄市五福四路１４８号","07 5518270"
"1180145","小港分行","高雄市二苓路２１３号","07 8011161"
"1180163","新兴分行","高雄市八德二路６９号","07 2860191"
"1180181","前镇分行","高雄市瑞隆路４２１号","07 7513176"
"1180190","苓雅分行","高雄市林森二路１０号","07 3337177"
"1180206","阳明分行","高雄市觉明路１７８号","07 3865111"
"1180215","高新庄分行","高雄市新庄仔路４８５号","07 3412621"
"1180260","松江分行","台北市松江路２３８号","02 25429999"
"1180279","信义分行","台北市基隆路二段１２７号","02 27329999"
"1180288","新庄分行","台北县新庄市幸褔路７１９号","02 29906699"
"1180297","秀朗分行","台北县永和市得和路１１８号","02 29417966"
"1180303","桃园分行","桃园县桃园市永安路３６０号","03 3398777"
"1180312","三重分行","台北县三重市重阳路三段１２６号","02 89839966"
"1180330","员山分行","台北县中和市中正路７５３号","02 22259199"
"1180349","桃莺分行","桃园县桃园市桃莺路１０２号","03 3758999"
"1180358","民生分行","台北市民生东路三段１３３－１号","02 87129966"
"1180367","龙冈分行","桃园县中坜市龙东路７８号","03 4657799"
"1180385","树林分行","台北县树林市镇前街５８号","02 86755666"
"1180394","金城分行","台北县土城市金城路三段９１号","02 82615666"
"1180400","新竹分行","新竹县竹北市自强南路５６号","03 6581588"
"1180419","八德分行","台北市八德路二段３６０号","02 27528833"
"1180428","台中分行","台中市文心路一段５５６号","04 23267799"
"1180437","台南分行","台南市东区崇明路１８９号","06 3368799"
"1180446","新店分行","台北县新店市民权路６０号","02 89113377"
"1180455","内湖分行","台北市内湖区成功路四段１６３号","02 87919999"
"1180482","中正分行","台北县板桥市中正路３３０号","02 89658998"
"1180507","嘉义分行","嘉义市中山路２９８号","05 2279045"
"1180516","吴凤简易型分行","嘉义市吴凤北路１１４号","05 2278826"
"1180525","仁爱分行","嘉义市仁爱路５０２号","05 2222157"
"1180561","军辉简易型分行","嘉义市吴凤南路３６０号","05 2300778"
"1180598","芦洲分行","台北县芦洲市民族路２５６号","02 82850666"
"1180604","罗东分行","宜兰县罗东镇公正路１１９号１楼","03 9568866"
"1180613","北台中分行","台中市北区文心路四段１８４号","04 22961798"
"1180622","成功分行","台南市成功路４５７号１楼","06 2113999"
"1180631","福和分行","台北县永和市永贞路４５号","02 89211919"
