"通汇金融代号","总单位名称","帐号长度","地址","电话"
"119","淡水第一信用合作社","存款类13位","台北县淡水镇中正路６３号","02 26211211"
"通汇金融代号","支单位名称","地址","电话"
"1190010","营业部","台北县淡水镇中正路６３号","02 26211211"
"1190029","三重分社","台北县三重市力行路二段１４８号","02 82871212"
"1190038","三芝分社","台北县三芝乡埔头村中山路一段７１号","02 26362121"
"1190047","八里分社","台北县八里乡讯塘村中山路二段４５８号","02 26102727"
"1190056","石门分社","台北县石门乡尖鹿村中央路５号","02 26382626"
"1190065","竹围分社","台北县淡水镇民族路１２号","02 28091177"
"1190074","水碓分社","台北县淡水镇中山路１９２号","02 26201166"
"1190083","英专分社","台北县淡水镇博爱街１号","02 26201155"
"1190092","义山分社","台北县淡水镇淡金路三段３３５号","02 26226512"
"1190108","龙形分社","台北县八里乡龙源村龙米路一段１２１号","02 26181177"
"1190117","金山分社","台北县金山乡美田村中山路１５６号","02 24989090"
