"通汇金融代号","总单位名称","帐号长度","地址","电话"
"127","桃园县桃园信用合作社","11位","桃园县桃园市中正路１３３号","03 3321100"
"通汇金融代号","支单位名称","地址","电话"
"1270019","营业部","桃园县桃园市中正路１３３号","03 3321100"
"1270028","大林分社","桃园县桃园市昆明路３５号","03 3624846"
"1270037","永兴分社","桃园县桃园市中正路３５７号","03 3381155"
"1270046","南华分社","桃园县桃园市育乐街６１号","03 3354703"
"1270055","介寿分社","桃园县桃园市介寿路１０７号","03 3617887"
"1270064","中山分社","桃园县桃园市中山路５９９号","03 2205563"
"1270073","永安分社","桃园县桃园市永安路４３６号","03 3368540"
"1270082","会稽分社","桃园县桃园市大兴路１５６号","03 3550947"
"1270091","庄敬分社","桃园县芦竹乡大竹路５０６号","03 3134123"
"1270107","大湳分社","桃园县八德市广福路１２７号","03 3775646"
"1270116","南崁分社","桃园县芦竹乡中正路３１２号","03 3214100"
