"通汇金融代号","总单位名称","帐号长度","地址","电话"
"130","新竹第一信用合作社","14位","新竹市大同路１３０号","03 5233141"
"通汇金融代号","支单位名称","地址","电话"
"1300013","营业部","新竹市大同路１３０号","03 5233141"
"1300022","城中分社","新竹市中山路７２号","03 5226008"
"1300031","武昌分社","新竹市武昌街５１号","03 5224007"
"1300040","新社分社","新竹县竹北市中正西路２４５号","03 5538868"
"1300059","竹北分社","新竹县竹北市博爱街４３５号","03 5552052"
"1300068","三民分社","新竹市民生路２９８号","03 5330351"
"1300077","香山分社","新竹市牛埔路１５５号","03 5388836"
"1300086","东南分社","新竹市食品路１０５号","03 5729023"
"1300095","光复分社","新竹市光复路一段５７９号","03 5781936"
"1300101","南寮分社","新竹市延平路三段６７５号","03 5364477"
"1300110","南香山分社","新竹市大庄路３号","03 5302172"
"1300129","武陵分社","新竹市武陵路１３１号","03 5340019"
"1300138","延平分社","新竹市延平路一段３１２巷９号","03 5220059"
