"通汇金融代号","总单位名称","帐号长度","地址","电话"
"132","新竹第三信用合作社","13位","新竹市北大路２８２号","03 5263192"
"通汇金融代号","支单位名称","地址","电话"
"1320011","市中分社","新竹市西门街１６号","03 5253011"
"1320020","民生分社","新竹市民生路２３３号","03 5325161"
"1320039","营业部","新竹市北大路２８２号","03 5263192"
"1320048","中正分社","新竹市中正路３１３号","03 5333165"
"1320057","东南分社","新竹市东南街４８号","03 5230105"
"1320066","西门分社","新竹市林森路３０２号","03 5265192"
"1320075","东光分社","新竹市光复路一段４５５号","03 5784851"
"1320084","香山分社","新竹市牛埔南路５３号","03 5307161"
"1320093","竹南分社","苗栗县竹南镇光复路２０５号","037552366"
"1320109","延平分社","新竹市延平路一段４０３号","03 5280868"
"1320118","光华分社","新竹市光华东街５４号","03 5429555"
"1320127","新丰分社","新竹县新丰乡建兴路一段１４６号","03 5579388"
"1320136","竹北分社","新竹县中正东路１９７号","03 6566111"
"1320145","六家简易型分社","新竹县竹北市嘉兴路１２０号","03 5509055"
