"通汇金融代号","总单位名称","帐号长度","地址","电话"
"146","台中市第二信用合作社","14位","台中市中山路２０２号","04 22255155"
"通汇金融代号","支单位名称","地址","电话"
"1460014","营业部","台中市中山路２０２号","04 22255151"
"1460023","文昌分社","台中市文心路四段７５２号","04 22313116"
"1460032","南屯分社","台中市五权西路二段６２３号","04 23893176"
"1460041","五权分社","台中市五权路２８９号","04 22024136"
"1460050","东南分社","台中市复兴路三段１５６号","04 22241136"
"1460069","大智分社","台中市大智路９６号","04 22813191"
"1460078","港路分社","台中市台中港路一段３３１号","04 23213970"
"1460087","精进分社","台中市进化路２００号","04 22119752"
"1460096","中兴分社","台中市五权路１∣１５１号","04 23724730"
"1460102","水湳分社","台中市大雅路５０６号","04 22974356"
"1460111","中和分社","台中市黎明路一段１５４号","04 24700351"
"1460120","松竹分社","台中市昌平路二段１４６号","04 24222780"
"1460139","向上分社","台中市南屯区向上路一段５７０号","04 23200980"
"1460148","大雅分社","台中县大雅乡雅潭路３１６－１２号","04 25669191"
"1460157","西屯分社","台中市西屯区西屯路三段３９之１号","04 37032277"
