"通汇金融代号","总单位名称","帐号长度","地址","电话"
"147","三信商业银行","10位","台中市市府路５９号","04 22245161"
"通汇金融代号","支单位名称","地址","电话"
"1470013","台中分行","台中市市府路５９号","04 22245161"
"1470022","营业部","台中市公园路３２之１号","04 22211186"
"1470031","中正简易型分行","台中市中正路３３０号","04 22241115"
"1470040","成功分行","台中市进化路５８０号","04 22304100"
"1470059","西屯分行","台中市河南路二段４５８号","04 27062968"
"1470068","国光分行","台中市复兴路三段３３３号","04 22245111"
"1470077","大智分行","台中市大智路３３９号","04 22815998"
"1470086","林森分行","台中市林森路９９号","04 23725151"
"1470095","南门分行","台中市南门路７５号","04 22871146"
"1470101","进化分行","台中市进化北路２５５号","04 22333550"
"1470110","南屯分行","台中市南屯路２段４１０号","04 24718500"
"1470138","北屯简易型分行","台中市文心路四段７５１号","04 22426565"
"1470147","丰原分行","台中县丰原市圆环东路２１４号","04 25151788"
"1470156","彰化分行","彰化县彰化市中正路二段１８１号","047298686"
"1470165","员林分行","彰化县员林镇大同路一段１８９号","04 8383888"
"1470183","台北分行","台北市内湖区阳光街２４６号","02 87512588"
"1470192","桃园分行","桃园县桃园市成功路２段９号","03 3470505"
"1470208","板桥分行","台北县板桥市民族路２６０号","02 89536001"
"1470235","原旧丰信分行","台中县丰原市中正路１５１号","04 25224281"
"1470253","丰信分行","台中县丰原市中山路３５３号","04 25261181"
"1470262","中山分行","台中县丰原市大明路９号","04 25277155"
"1470271","丰东分行","台中县丰原市向阳路３３０号","04 25225072"
"1470280","丰乐分行","台中县丰原市中正路６９３号","04 25287055"
"1470299","台南分行","台南市南区大同路２段４３８号","06 2130966"
"1470305","高雄分行","高雄市左营区文府路１号","07 3505685"
"1470314","新庄分行","台北县新庄市中平路２８７号","02 22768887"
