"通汇金融代号","总单位名称","帐号长度","地址","电话"
"162","彰化第六信用合作社","13位","彰化县彰化市彰美路一段１８６号","04 7248031"
"通汇金融代号","支单位名称","地址","电话"
"1620012","车路口分社","彰化县彰化市中正路一段３３６号","04 7231133"
"1620021","营业部","彰化县彰化市彰美路一段１８６号","04 7248031"
"1620030","观音亭口分社","彰化县彰化市民族路５２０号","04 7242192"
"1620049","华阳分社","彰化县彰化市南郭路一段１０１号","04 7240216"
"1620058","和美分社","彰化县和美镇永乐路２２号","04 7561121"
"1620067","花坛分社","彰化县花坛乡花坛街２５７号","04 7869400"
"1620076","晓阳分社","彰化县彰化市晓阳路１４７号","04 7265626"
"1620085","伸港分社","彰化县伸港乡新港路２５７号","04 7988276"
"1620094","秀水分社","彰化县秀水乡彰水路二段３５０号","04 7683976"
"1620100","福兴分社","彰化县福兴乡彰鹿路七段３９７号","04 7769626"
