"通汇金融代号","总单位名称","帐号长度","地址","电话"
"163","彰化第十信用合作社","13位","彰化县彰化市陈棱路１５６号","04 7231151"
"通汇金融代号","支单位名称","地址","电话"
"1630011","营业部（永昌收付处）","彰化县彰化市陈棱路１５６号","04 7231151"
"1630020","华山分社","彰化县彰化市华山路２０３号","04 7248321"
"1630039","三民分社","彰化县彰化市三民路３０１号","04 7256171"
"1630048","中华分社","彰化县彰化市建和街３０号","04 7611311"
"1630057","大竹分社","彰化县彰化市彰南路二段２０５号","04 7388191"
"1630066","和美分社","彰化县和美镇和卿路３４号","04 7567566"
"1630075","大埔分社","彰化县彰化市延平里埔北街２１７号","04 7115111"
"1630084","埔盐分社","彰化县埔盐乡埔盐村彰水路二段４号","04 8657171"
"1630093","溪湖分社","彰化县溪湖镇大竹里平和街２１１号","04 8822711"
"1630109","伸港分社","彰化县伸港乡新港村中山路４８号","04 7981151"
