"通汇金融代号","总单位名称","帐号长度","地址","电话"
"178","嘉义市第三信用合作社","14位","嘉义市文化路８５号","05 2224087"
"通汇金融代号","支单位名称","地址","电话"
"1780013","营业部","嘉义市文化路８５号","05 2224087"
"1780022","国华分社","嘉义市国华街１７４号","05 2271615"
"1780031","新荣分社","嘉义市新荣路１９５号","05 2222125"
"1780040","北兴分社","嘉义市民生北路３１０号","05 2222494"
"1780059","忠孝分社","嘉义市公明路３００号","05 2275105"
"1780068","兴嘉分社","嘉义市新民路７０６号","05 2855540"
"1780077","新南分社","嘉义市兴业东路３１１号","05 2289670"
"1780086","新兴分社","嘉义市友爱路２１０号","05 2332983"
"1780095","美源分社","嘉义市林森东路３９６号","05 2754906"
"1780101","新生分社","嘉义市新生路６７３号","05 2773420"
"1780110","民生分社","嘉义市民生南路３８７号","05 2841090"
