"通汇金融代号","总单位名称","帐号长度","地址","电话"
"188","台南第三信用合作社","14位","台南市中正路７号","06 2289136"
"通汇金融代号","支单位名称","地址","电话"
"1880010","营业部","台南市中正路７号","06 2289136"
"1880029","东门分社","台南市东门路一段２５１号","06 2387111"
"1880038","西门分社","台南市西门路二段６８号","06 2111711"
"1880047","安平分社","台南市古堡街６２号","06 2112811"
"1880056","成功分社","台南市成功路１９２号","06 2112233"
"1880065","大同分社","台南市大同路二段２０５号","06 2154166"
"1880074","文贤分社","台南市文贤路３３５号","06 2591125"
"1880083","金华分社","台南市金华路二段５９号","06 2656575"
"1880092","小东分社","台南市小东路３７３号","06 2753356"
"1880108","开元分社","台南市开元路３３５号","06 2341212"
"1880117","中华分社","台南市中华东路三段１３９号","06 2896066"
"1880126","大湾分社","台南县永康市民族路２７５号","06 2717123"
"1880135","安中分社","台南市安中路一段７５５号","06 2471133"
