"通汇金融代号","总单位名称","帐号长度","地址","电话"
"203","高雄第二信用合作社","存款类一14位\n存款类二13位","高雄市中正四路１０７号","02 87869888"
"通汇金融代号","支单位名称","地址","电话"
"2030012","营业部","高雄市中正四路１０７号","07 2722766"
"2030021","三多分社","高雄市三多一路２２７号","07 2235550"
"2030030","旗津分社","高雄市庙前路１０６号","07 5715898"
"2030049","苓雅分社","高雄市成功一路２００号","07 3362020"
"2030058","新兴分社","高雄市新兴区中山一路１８４号","07 2722766"
"2030067","左营分社","高雄市左营大路２５５号","07 5815136"
"2030076","瑞隆分社","高雄市瑞隆路４４７号","07 8319900"
"2030085","盐埕分社","高雄市盐埕区大仁路９２号","07 5211202"
"2030094","湾子分社","高雄市鼎山街７３３号","07 3160699"
"2030100","前镇分社","高雄市草衙二路５１７号","07 8214581"
"2030119","大昌分社","高雄市觉民路５０１号","07 3814488"
"2030128","后劲分社","高雄市楠梓区后昌路１２７号","07 3649911"
"2030137","右昌分社","高雄市后昌路６３７号","07 3649911"
"2030155","明诚分社","高雄市左营区明诚二路３５９号","07 5567188"
"2030164","光华简易型分社","高雄市光华一路１０２号","07 2235550"
