"通汇金融代号","总单位名称","帐号长度","地址","电话"
"204","高雄市第三信用合作社","14位","高雄市建国三路３２７号","07 2871100"
"通汇金融代号","支单位名称","地址","电话"
"2040011","营业部","高雄市大仁路１４１号","07 5513201"
"2040020","八德分社","高雄市八德一路３１６号","07 2371711"
"2040039","苓雅分社（兆丰代收处）","高雄市成功一路１５６号","07 3333121"
"2040048","新兴分社","高雄市中正四路３７号","07 2313141"
"2040057","三民分社","高雄市建国三路３２７号","07 2871101"
"2040066","鼓山分社","高雄市鼓山二路１３１号","07 5611261"
"2040075","临海分社","高雄市延平街２２号","07 5610141"
"2040084","前镇分社","高雄市前镇区凯旋四路１２８号","07 8218151"
"2040093","前金分社","高雄市中华三路１３２号","07 2888005"
"2040109","左营分社","高雄市左营大路３２７号","07 5817171"
"2040118","青年分社","高雄市青年一路１７９号","07 3353186"
"2040127","楠梓分社","高雄市楠梓区楠梓路８２号","07 3511121"
"2040136","三多分社","高雄市三多二路２２４号","07 7613103"
"2040145","湾子分社","高雄市建兴路３９１号之１","07 3820366"
"2040154","天祥分社（国际代收处）","高雄市天祥一路１２７号","07 3427762"
"2040163","阳明分社","高雄市阳明路３６５号","07 3804260"
"2040172","武庙分社","高雄市武庙路５５号","07 7158711"
"2040181","瑞祥分社","高雄市前镇区瑞北路６８号","07 7263471"
"2040190","右昌分社","高雄市军校路７６１号","07 3657601"
"2040206","一心分社","高雄市前镇区一心二路３９号","07 3363211"
