"通汇金融代号","总单位名称","帐号长度","地址","电话"
"215","花莲第一信用合作社","存款类14位\n放款类13位","花莲县花莲市中山路４７３号","03 8336111"
"通汇金融代号","支单位名称","地址","电话"
"2150017","复兴分社（光隆，日盛证券收付处）","花莲县花莲市复兴街１７号","03 8325151"
"2150026","自由分社","花莲县花莲市自由街７２号","03 8351111"
"2150035","中华分社","花莲县花莲市中华路４６９号","03 8525151"
"2150044","总社〈营业部〉","花莲县花莲市中山路４７３号","03 8336111"
"2150053","美仑分社","花莲县花莲市中美路２５８号","03 8226188"
"2150062","信义简易型分社","花莲县花莲市中华路１８０号","03 8361601"
"2150071","自强分社","花莲县花莲市中山路７６５号","03 8563151"
"2150080","国光简易型分社","花莲县花莲市中正路３２号","03 8342011"
"2150099","凤山分社","高雄县凤山市青年路二段３５０号","07 7772211"
"2150105","建国分社","花莲县花莲市建国路二段２９２号","03 8566665"
"2150114","新秀简易型分社","花莲县新城乡北埔村北埔路１９７号","03 8269889"
"2150123","庆丰简易型分社","花莲县花莲市吉安路二段２８４号","03 8510761"
"2150132","台东分社","台东县台东市更生路５６０号","089331111"
"2150141","仁武分社","高雄县仁武乡仁雄路１５号","07 3720101"
"2150150","桥头分社","高雄县桥头乡仕隆路６１、６３号","07 6120101"
