"通汇金融代号","总单位名称","帐号长度","地址","电话"
"216","花莲第二信用合作社","14位","花莲县花莲市光复街３６号","03 8351161"
"通汇金融代号","支单位名称","地址","电话"
"2160016","营业部","花莲县花莲市光复街３６号","03 8351161"
"2160025","中山分社","花莲县花莲市中山路３４４号","03 8355711"
"2160034","主里分社","花莲县花莲市中福路２３２号","03 8355111"
"2160043","美仑分社","花莲县花莲市中美路２４０号","03 8227851"
"2160052","中正分社","花莲县花莲市中正路５８号","03 8362141"
"2160061","富国分社","花莲县花莲市中山路７３９号","03 8573661"
"2160070","田蒲分社","花莲县花莲市中华路４６９∣４号","03 8532161"
"2160089","建国分社","花莲县吉安乡自强路５５８号","03 8573911"
"2160098","寿丰分社","花莲县寿丰乡中山路六段２６号","03 8654111"
"2160104","玉里分社","花莲县玉里镇民族街８号","03 8980511"
"2160122","台东分社","台东县台东市光明路５９号","089322001"
"2160131","大里分社","台中县大里市中兴路二段３３２－５号","04 24851001"
"2160140","太平分社","台中县太平市中兴东路１３６号","04 22709001"
