"通汇金融代号","总单位名称","帐号长度","地址","电话"
"605","高雄市农会","13位","高雄市三民区民族一路７７号","07 3119151"
"通汇金融代号","支单位名称","地址","电话"
"6050018","信用部","高雄市三民区民族一路７７号","07 3119151"
"6050029","三民分部","高雄市三民区建工路７３８号","07 3822411"
"6050030","鼓山分部","高雄市鼓山区吴凤路７１号","07 5820113"
"6050041","新兴分部","高雄市新兴区七贤二路２１号","07 2861332"
"6050052","鼎力分部","高雄市三民区鼎力路９２号","07 3472611"
"6050063","苓雅分部","高雄市苓雅区三多一路１７４号","07 7257066"
"6050074","前镇分部","高雄市前镇区扩建一路４３号","07 8217414"
"6050085","楠梓分部","高雄市楠梓区楠梓路４７号","07 3511221"
"6050096","右昌分部","高雄市楠梓区盛昌街２１７号","07 3625163"
"6050100","后劲分部","高雄市楠梓区加昌路３０１号","07 3615107"
"6050111","左营分部","高雄市左营区左营大路７３号","07 5817130"
"6050122","营北分部","高雄市左营区左营大路６１２号","07 5815193"
"6050133","新庄分部","高雄市左营区新庄仔路７２６号","07 5572207"
