"通汇金融代号","总单位名称","帐号长度","地址","电话"
"606","北农中心所属会员","","五股农林口农泰农八里农金农淡水农店农","02 29676789"
"通汇金融代号","支单位名称","地址","电话"
"6060156","八里乡农会","台北县八里乡讯塘村中山路二段３６６号","02 26102996"
"6060765","埤头分部","台北县八里乡中正路５１号","02 86301230"
"6060824","龙形分部","台北县八里乡龙源村龙米路一段３３８号","02 26182345"
"6060064","三峡镇农会","台北县三峡镇民生街１５４号","02 26711002"
"6060260","成福分部","台北县三峡镇成福路３２７号","02 26726329"
"6060558","横溪分部","台北县三峡镇介寿路三段１７号","02 86763051"
"6060673","大埔分部","台北县三峡镇大埔路２９０∣２号","02 26716370"
"6061131","中正分部","台北县三峡镇大同路９８号之３","02 26741147"
"6061359","民生分部","台北县三峡镇民生街１５２－２号","02 26723637"
"6060097","土城市农会","台北县土城市中正路５号","02 82615266"
"6060318","清水分部","台北县土城市清水路１１４号","02 82615249"
"6060684","顶埔分部","台北县土城市中央路四段２０８号","02 22687801"
"6060695","货饶分部","台北县土城市裕民路６６号","02 82615259"
"6060891","峰廷分部","台北县土城市金城路三段２１３号","02 82615257"
"6060905","广福分部","台北县土城市广明街３０号","02 89662586"
"6060112","五股乡农会","台北县五股乡民义路一段１３号","02 22914060"
"6060329","兴珍办事处","台北县五股乡四维路１０５号","02 29826415"
"6060330","成州办事处","台北县五股乡凌云路一段３１号","02 22914067"
"6060709","德泰办事处","台北县五股乡成泰路一段３号","02 29093063"
"6060950","五福办事处","台北县五股乡工商路１９７号","02 22931839"
"6061083","德音办事处","台北县五股乡成泰路一段１７７号","02 22923571"
"6061094","成德办事处","台北县五股乡成泰路三段５７７巷３４号","02 22923632"
"6061175","成功办事处","台北县五股乡成泰路三段３２１之１号","02 22931611"
"6060477","平溪乡农会","台北县平溪乡岭脚村中华路１５号","02 24951051"
"6060499","石门乡农会","台北县石门乡石门村中央路２号","02 26381005"
"6060547","老梅分部","台北县石门乡老梅村老梅路２号","02 26381362"
"6060466","石碇乡农会","台北县石碇乡潭边村湳窟路６号","02 26631214"
"6060190","中和地区农会","台北县中和市中和路３５号","02 22491000"
"6060444","中正分部","台北县永和市得和路３６２∣３６４号","02 29467419"
"6060455","员山分部","台北县中和市员山路４９３号","02 22238639"
"6060570","智光分部","台北县永和市中正路１７９号","02 29459111"
"6060581","连城分部","台北县中和市连城路３８６号","02 22269108"
"6060592","民享分部","台北县中和市莒光路１１４号","02 29530280"
"6060732","锦和分部","台北县中和市圆通路３３３号","02 22454550"
"6060743","仁爱分部","台北县永和市仁爱路２４５∣２４７号","02 29230982"
"6061223","竹林分部","台北县中和市竹林路１３４号","02 22312877"
"6061289","兴南分部","台北县中和市兴南路一段１６７∣１６９号","02 29410981"
"6060145","坪林乡农会","台北县坪林乡坪林街１０３号","02 26657227"
"6060189","新店地区农会","台北县新店市光明街９８号","02 29106666"
"6060363","德安分部","台北县新店市安康路二段１７７号","02 22115353"
"6060422","中正分部","台北县新店市民族路１７７号","02 29126933"
"6060433","乌来办事处","台北县乌来乡乌来村８６号","02 26616353"
"6061245","青潭办事处","台北县新店市北宜路二段８２－５号","02 22178893"
"6061326","安康办事处","台北县新店市安忠路４号","02 22123975"
"6060123","林口乡农会","台北县林口乡林口路２９号","02 26011226"
"6060341","南势分部","台北县林口乡文化路一段１２６号","02 26001225"
"6060846","北新庄分部","台北县三芝乡兴华村７９号","02 26371212"
"6061290","三芝乡农会","台北县三芝乡中山路一段６号","02 26363111"
"6060167","金山地区农会","台北县金山乡美田村中山路２６７号","02 24981100"
"6060352","万里分部","台北县万里乡玛炼路２６号","02 24921115"
"6060857","野柳分部","台北县万里乡港东路６５∣１号","02 24922888"
"6060019","三重市农会","台北县三重市重新路一段１号","02 29823466"
"6060606","溪美分部","台北县三重市溪尾街１２号","02 29802855"
"6060710","力行分部","台北县三重市力行路二段４号","02 29899984"
"6060721","三民分部","台北县三重市三民街１２８号之２","02 29846125"
"6060916","光复分部","台北县三重市光复路一段１７号","02 29952793"
"6060938","成功分部","台北县三重市集美街１４８号","02 29743837"
"6061119","慈福分部","台北县三重市仁爱街３８９号","02 29800388"
"6060134","泰山乡农会","台北县泰山乡明志路一段２２８号","02 22977299"
"6060651","贵子分部","台北县泰山乡明志路三段１７５号","02 29034258"
"6060662","明志分部","台北县泰山乡明志路二段６９号","02 22964504"
"6060927","贵和分部","台北县泰山乡贵和村寿山路２６号","02 29086208"
"6061005","泰林分部","台北县泰山乡泰林路２段４８２号","02 29099195"
"6061016","泰友分部","台北县泰山乡明志路二段３１８号","02 29037801"
"6060031","淡水镇农会","台北县淡水镇中正路４２之１号","02 26202290"
"6060798","中兴分部","台北县淡水镇水源街一段５７号","02 26218639"
"6060802","竹围分部","台北县淡水镇民生路２２号","02 28092004"
"6060813","水碓分部","台北县淡水镇中山北路一段５６号","02 26220677"
"6061061","福德分部","台北县淡水镇自强路２２３号","02 28082056"
"6061348","义山分部","台北县淡水镇淡金路三段３１１号","02 26237927"
"6061360","新兴分部","台北县淡水镇新民街６９号","02 26202773"
"6060204","深坑乡农会","台北县深坑乡深坑街４号","02 26623226"
"6061201","万顺办事处","台北县深坑乡万顺村草地尾５５∣１号","02 26626006"
"6060178","瑞芳地区农会","台北县瑞芳镇逢甲路３９号","02 24972760"
"6060374","九份分部","台北县瑞芳镇基山街１２８号","02 24972402"
"6060385","四脚亭分部","台北县瑞芳镇大埔路１０８∣６号","02 24576810"
"6060396","双溪办事处","台北县双溪乡大同路１７号","02 24931020"
"6060400","贡寮办事处","台北县贡寮乡朝阳街５２号","02 24941227"
"6060411","澳底分部","台北县贡寮乡延平街５号","02 24901271"
"6060868","龙兴分部","台北县瑞芳镇中正路２２之２号","02 24978975"
"6060961","福隆办事处","台北县贡寮乡福隆街１６号","02 24991397"
"6060042","树林市农会","台北县树林市镇前街７７号","02 26862288"
"6060237","三多分部","台北县树林市中正路７６９号","02 26892361"
"6060248","山佳分部","台北县树林市中山路三段２３５号","02 26806023"
"6060259","柑园分会","台北县树林市宝园街１１号","02 26802801"
"6060754","保安分部","台北县树林市保安二街１３５号","02 26851100"
"6061027","东山分部","台北县树林市复兴路４５２巷２８号","02 26877266"
"6061038","金寮分部","台北县树林市保安街二段６４号","02 26815677"
"6061120","圳安办事处","台北县树林市俊英街１０５之１号","02 86882288"
"6061315","大同分部","台北县树林市中华路７６号","02 86852288"
"6061337","复兴分部","台北县树林市复兴路２９０号","02 26873368"
"6060101","芦洲市农会","台北县芦洲市中山一路１２９号","02 82820777"
"6060569","灰嗂分部","台北县芦洲市长安街１１７号","02 28477533"
"6060835","成功分部","台北县芦洲市成功路１３４号","02 22855777"
"6060053","莺歌镇农会","台北县莺歌镇建国路６６号","02 26706262"
"6060503","二桥分部","台北县莺歌镇中正三路１６９号","02 26791890"
"6060514","凤鸣分部","台北县莺歌镇莺桃路５３９号","02 26785501"
"6061197","永昌分部","台北县莺歌镇莺桃路１２９巷８号","02 26776661"
