"通汇金融代号","总单位名称","帐号长度","地址","电话"
"607","北农中心所属会员","","","02 29676789"
"通汇金融代号","支单位名称","地址","电话"
"6070102","三星地区农会","宜兰县三星乡义德村中山路３１号","03 9893170"
"6070249","大洲办事处","宜兰县三星乡大洲村大洲路３９号","03 9542371"
"6070250","福山办事处","宜兰县三星乡天山村福山街１１０号","03 9891835"
"6070353","大隐办事处","宜兰县三星乡大隐村大埔路１３８∣１２号","03 9890676"
"6070434","大同办事处","宜兰县大同乡南山村埤南巷４∣５号","03 9809116"
"6070076","五结乡农会","宜兰县五结乡五结村五结中路２３号","03 9501161"
"6070157","利泽分部","宜兰县五结乡利泽村利成路二段４６３号","03 9504734"
"6070168","二结分部","宜兰县五结乡三兴村复兴路１之９号","03 9506488"
"6070179","四结分部","宜兰县五结乡四结村中正路一段４１号","03 9534702"
"6070054","壮围乡农会","宜兰县壮围乡壮五路１５２号","03 9385001"
"6070135","古亭办事处","宜兰县壮围乡古亭村古亭路９７之３号","03 9304567"
"6070526","美城分部","宜兰县壮围乡美城村美间路２６之４０号","03 9307955"
"6070010","宜兰市农会","宜兰县宜兰市中山路３号","03 9322214"
"6070308","神农分部","宜兰县宜兰市健康路二段１２９号","03 9323160"
"6070386","小东分部","宜兰县宜兰市小东路６号","03 9323116"
"6070412","新店分部","宜兰县宜兰市吴沙路２７∣１号","03 9284554"
"6070515","延平分部","宜兰县宜兰市东港路１７之４６号","03 9384980"
"6070065","员山乡农会","宜兰县员山乡员山村员山路一段２１０号","03 9222161"
"6070146","同乐分部","宜兰县员山乡同乐村永同路一段１９３号","03 9223452"
"6070331","深沟分部","宜兰县员山乡深沟村深沟路１∣３号","03 9223616"
"6070445","大湖分部","宜兰县员山乡湖北村大湖路１９∣３５号","03 9221291"
"6070021","头城镇农会","宜兰县头城镇西五巷３∣１号","03 9773100"
"6070113","大溪分部","宜兰县头城镇外大溪路３４０号","03 9781234"
"6070342","金面分部","宜兰县头城镇金面里（路）１１４号","03 9771595"
"6070478","竹安分部","宜兰县头城镇竹安路１００∣１号","03 9778733"
"6070032","罗东镇农会","宜兰县罗东镇纯精南路１０９号","03 9518667"
"6070283","民权办事处","宜兰县罗东镇民权路１７１号","03 9576481"
"6070319","南门办事处","宜兰县罗东镇中正南路１９７号","03 9540358"
"6070364","北门办事处","宜兰县罗东镇公正路３２２号","03 9542866"
"6070375","中正路办事处","宜兰县罗东镇中正路１３０号","03 9542811"
"6070467","东门办事处","宜兰县罗东镇光荣路２２２号","03 9508100"
"6070098","苏澳地区农会","宜兰县苏澳镇中山路９８号","03 9965111"
"6070205","南方澳分部","宜兰县苏澳镇南宁路６２号","03 9965161"
"6070216","南澳分部","宜兰县苏澳镇南澳路６号","03 9981566"
"6070227","新马分部","宜兰县苏澳镇大同路１３５号","03 9905178"
"6070238","新城分部","宜兰县苏澳镇新城南路１０号","03 9963066"
"6070423","龙德分部","宜兰县苏澳镇福德路４０６号","03 9905181"
