"通汇金融代号","总单位名称","帐号长度","地址","电话"
"608","桃园农八德农大园农大溪农平镇农新屋农杨梅","","龙潭农龟山农芦竹农","03 3792721"
"通汇金融代号","支单位名称","地址","电话"
"6080088","八德市农会","桃园县八德市与仁村兴丰路２６８号","03 3687611"
"6080309","大湳分部","桃园县八德市大兴村介寿路二段３４号","03 3662911"
"6080446","瑞丰分部","桃园县八德市瑞泰里介寿路二段９３１号","03 3653840"
"6080457","大福分部","桃园县八德市大正里介寿路一段２３６号","03 3679230"
"6080549","茄苳分部","桃园县八德市茄苳村永丰路５５０号","03 3697277"
"6080550","桃莺分部","桃园县八德市大仁里和平路１１４７号","03 3618068"
"6080837","霄里分部","桃园县八德市长兴路７２５号","03 3658749"
"6080055","大园乡农会","桃园县大园乡横峰村中正东路１０３号","03 3863177"
"6080228","埔心分部","桃园县大园乡埔心村埔心街２５号","03 3813181"
"6080239","竹围分部","桃园县大园乡竹围街４５∣３５号","03 3835062"
"6080240","三和分部","桃园县大园三石村三和路２２巷２号","03 3835216"
"6080561","和平分部","桃园县大园乡溪海村仑顶３２之２号","03 3863180"
"6080745","五权分部","桃园县大园乡五权村中正东路三段２７５号","03 3814849"
"6080756","潮音分部","桃园县大园乡北港村大工路５６号","03 3852960"
"6080033","大溪镇农会","桃园县大溪镇福仁里民生路１号","03 3871122"
"6080158","一心分部","桃园县大溪镇一德里中华路３４３号","03 3879866"
"6080169","中新分部","桃园县大溪镇中新里大莺路１２８１号","03 3801684"
"6080170","新峰分部","桃园县大溪镇新峰里复兴路二段７００号","03 3825373"
"6080181","埔顶分部","桃园县大溪镇仁和路一段２００号","03 3801427"
"6080387","员林分部","桃园县大溪镇员林路二段３７１号","03 3805248"
"6080435","侨爱分部","桃园县大溪镇介寿路２６７号","03 3892708"
"6080712","崎顶分部","桃园县大溪镇介寿路９００号","03 3893842"
"6080826","南兴分部","桃园县大溪镇南兴里永昌路８０号","03 3895966"
