"通汇金融代号","总单位名称","帐号长度","地址","电话"
"610","北农中心所属会员","","新埔农；关西农；新丰农；芝林农","02 29676789"
"通汇金融代号","支单位名称","地址","电话"
"6100108","北埔乡农会","新竹县北埔乡北埔街９４号","03 5802207"
"6100038","竹北市农会","新竹县竹北市中正东路４８７号","03 5513127"
"6100153","六家分部","新竹县竹北市竹北市中兴里２２９号","03 5503534"
"6100290","丰田分部","新竹县竹北市竹北市白地里３５∣１号","03 5563041"
"6100304","凤冈分部","新竹县竹北市凤冈路三段２２７号","03 5561209"
"6100430","高铁分部","新竹县竹北市东兴路一段９３９号１楼","03 6672896"
"6100061","新竹市农会信用部","新竹市顶埔里中山路５９８号","03 5386143"
"6100186","三姓桥分部","新竹市中华路５段６７之１","03 5381178"
"6100315","树林头分部","新竹市东大路２段５７５号","03 5311236"
"6100337","光复分部","新竹市光复路一段６０９号","03 5780585"
"6100359","内湖分部","新竹市中华路六段２７４号","03 5372120"
"6100360","民权分部","新竹市民族路１６４之１号","03 5322215"
"6100429","新兴分部","新竹市南大路７６２号","03 5242959"
"6100441","虎林分部","新竹市延平路二段２２５号","03 5307166"
"6100452","光华分部","新竹市中华路一段２５２号","03 5427750"
"6100119","竹东地区农会","新竹县竹东镇东宁路８５２号","03 5963131"
"6100223","竹中分部","新竹县竹东镇竹中路８７号","03 5822239"
"6100234","二重办事处","新竹县竹东镇中兴路三段１２９号","03 5823239"
"6100256","五峰办事处","新竹县五峰乡大隘村１３４号","03 5851021"
"6100382","东宁办事处","新竹县竹东镇东宁路一段１２９号","03 5962059"
"6100094","峨眉乡农会","新竹县峨眉乡峨眉村８邻１２号","03 5800216"
"6100371","富兴分部","新竹县峨眉乡富兴村４邻１５号","03 5806123"
"6100050","湖口乡农会","新竹县湖口乡民族街４９号","03 5996155"
"6100348","中兴办事处","新竹县湖口乡中兴村中兴二巷１之２号","03 5982543"
"6100027","新埔镇农会","新竹县新埔镇中正路３９０号","03 5882002"
"6100393","照门分部","新竹县新埔镇杨新路一段３２２号","03 5882396"
"6100463","新丰乡农会","新竹县新丰乡重兴村新庄路２９３号","03 5576369"
"6100120","横山地区农会","新竹县横山乡新兴村１９１号","03 5932006"
"6100267","横山分部","新竹县横山乡横山村８４号","03 5934355"
"6100289","尖石分部","新竹县尖石乡嘉乐村１２号","03 5841026"
"6100016","关西镇农会","新竹县关西镇大同路４２号","03 5872621"
"6100131","石光分部","新竹县关西镇北斗里６邻中兴路５号","03 5868805"
"6100142","锦山分部","新竹县关西镇金山里３邻２１号","03 5478321"
"6100083","宝山乡农会","新竹县宝山乡双溪村１３邻双园路７８号","03 5201119"
"6100201","新城分部","新竹县宝山乡新城村２邻宝新路４７５号","03 5762208"
"6100212","宝山分部","新竹县宝山乡宝山村５邻宝山路４３３号","03 5761331"
"6100072","芎林乡农会","新竹县芎林乡文林村文昌街１２０号","03 5921173"
"6100197","秀湖分部","新竹县芎林乡秀湖村２３∣２号","03 5932225"
"6100326","石潭分部","新竹县芎林乡石潭村石壁潭７６∣９号","03 5922920"
