"通汇金融代号","总单位名称","帐号长度","地址","电话"
"614","永靖农员林农秀水农二林农","","芳苑农埔心农竹塘农埤头农","07 7439121"
"通汇金融代号","支单位名称","地址","电话"
"6140087","二林镇农会","彰化县二林镇儒林路二段２６０号","04 8961191"
"6140711","原斗分部","彰化县二林镇万原路３号","04 8902016"
"6140799","挖仔分部","彰化县二林镇二溪路七段４６１号","04 8685213"
"6140858","中山分部","彰化县二林镇中山路１１６号３Ｆ","04 8950208"
"6141291","万兴分部","彰化县二林镇二溪路六段３６号","04 8682121"
"6140180","永靖乡农会","彰化县永靖乡瑚琏村东门路９５号","04 8221161"
"6140696","永安分部","彰化县永靖乡西门路７４号","04 8220161"
"6140733","五福分部","彰化县永靖乡五福村中山路一段８５号","04 8220151"
"6140870","同安分部","彰化县永靖乡同安村永福路一段５１５号","04 8237479"
"6141028","永兴分部","彰化县永靖乡东宁村永兴路二段１５９－２号","04 8233950"
"6140261","竹塘乡农会","彰化县竹塘乡竹元村东阳路一段１６号","04 8972243"
"6141017","长安分部","彰化县竹塘乡长安村东阳路二段１６０号","04 8971425"
"6140124","秀水乡农会","彰化县秀水乡安东村中山路３２８号","04 7691321"
"6140320","福安分部","彰化县秀水乡福安村彰水路二段５０１号","04 7692031"
"6140478","马鸣分部","彰化县秀水乡民生路２１８号","04 7694974"
"6140515","金兴分部","彰化县秀水乡番花路２３７号","04 7692139"
"6141338","芳苑乡农会","彰化县芳苑乡仁爱村斗苑路芳苑段１９５号","04 8984111"
"6141327","芬园乡农会","彰化县芬园乡竹林村彰南路四段３３７号","0492522216"
"6140043","员林镇农会","彰化县员林镇中正路４６２号","04 8358176"
"6140526","东山分部","彰化县员林镇山脚路四段９号","04 8313501"
"6140700","百果山分部","彰化县员林镇员水路一段２１２号","04 8311710"
"6140179","埔心乡农会","彰化县埔心乡忠义北路１００号","04 8293171"
"6140559","旧馆分部","彰化县埔心乡旧馆村中兴路２７号","04 8297861"
"6140593","明圣分部","彰化县埔心乡明圣路四段６５号","04 8291146"
"6140227","埤头乡农会","彰化县埤头乡合兴村斗苑西路９２号","04 8922211"
"6140401","路口厝分部","彰化县埤头乡中和村溪林路３０３号","04 8894036"
"6140412","埤头分部","彰化县埤头乡埤头村埤头路５３号","04 8922075"
"6140423","芙朝分部","彰化县埤头乡芙朝村芙朝路３２号","04 8925894"
