"通汇金融代号","总单位名称","帐号长度","地址","电话"
"616","莿桐；褒忠；仑背；古坑；二仑；四湖；西螺","","口湖；大埤；斗六；台西；","07 7439121"
"通汇金融代号","支单位名称","地址","电话"
"6160115","二仑乡农会","云林县二仑乡仑西村中山路１０７号","05 5986001"
"6160274","油车分部","云林县二仑乡油车村成功路２２号","05 5986007"
"6160285","永定分部","云林县二仑乡永定村永定路６７号","05 5986008"
"6160171","口湖乡农会","云林县口湖乡湖东村４６号","05 7892701"
"6160311","（木＋宜）梧分部","云林县口湖乡光明路２９∣１号","05 7907094"
"6160322","金湖分部","云林县口湖乡中正路３３号","05 7972108"
"6160333","下仑分部","云林县口湖乡福安路９３之２号","05 7991215"
"6160089","大埤乡农会","云林县大埤乡中山路２∣１号","05 5913631"
"6160252","怡然分部","云林县大埤乡三民路２号","05 5913012"
"6160562","嘉兴分部","云林县大埤乡嘉兴路９３∣１号","05 5913013"
"6160012","斗六市农会","云林县斗六市民生路２７３号","05 5322041"
"6160492","石榴分部","云林县斗六市石榴路７９∣３号","05 5573706"
"6160595","镇南分部","云林县斗六市中山路１７３号","05 5353860"
"6160609","光兴分部","云林县斗六市镇北路１７６号","05 5343592"
"6160746","成功分部","云林县斗六市成功路３１７号","05 5322165"
"6160757","虎溪分部","云林县斗六市虎溪里西平路５７２号","05 5513610"
"6160056","斗南镇农会","云林县斗南镇中山路１１６号","05 5973822"
"6160218","石龟溪办事处","云林县斗南镇靖兴里南生路１６号","05 5969373"
"6160458","西埤分部","云林县斗南镇新厝７０∣８号","05 5969380"
"6160469","新光分部","云林县斗南镇新光里正福路４２号","05 5969385"
"6160702","明昌分部","云林县斗南镇南昌西路７８号","05 5969455"
"6160735","西岐分部","云林县斗南镇西岐里大间路２８号","05 5969452"
"6160078","古坑乡农会","云林县古坑乡古坑村中山路５０号","05 5823102"
"6160230","永光分部","云林县古坑乡永光村光昌路７５号","05 5821264"
"6160241","东和分部","云林县古坑乡东和村文化路１２６号","05 5262784"
"6160137","台西乡农会","云林县台西乡中山路１２２号","05 6985301"
"6160296","仑丰分部","云林县台西乡忠孝路７０号","05 6902712"
"6160643","牛厝分部","云林县台西乡牛厝村成功路１０５∣１２号","05 6983857"
"6160665","蚊港分部","云林县台西乡蚊港村蚊港路１０９号","05 6902879"
"6160160","四湖乡农会","云林县四湖乡中山西路９４号","05 7872008"
"6160300","飞沙分部","云林县四湖乡大同路１００号","05 7723205"
"6160447","溪底分部","云林县四湖乡溪底村民生路４号","05 7874681"
"6160573","林厝分部","云林县四湖乡中华路１００号","05 7721304"
"6160698","泊子分部","云林县四湖乡泊东村泊子路１３２之６号","05 7720806"
"6160034","西螺镇农会","云林县西螺镇延平路３５３号","05 5863621"
"6160403","埤源分部","云林县西螺镇东兴里１０６号","05 5866511"
"6160528","九隆分部","云林县西螺镇九隆里４０号","05 5866531"
"6160539","和心分部","云林县西螺镇埔心路６０号","05 5866521"
"6160540","建兴分部","云林县西螺镇建兴路１３０号","05 5866541"
"6160621","中山分部","云林县西螺镇中山路１２７号","05 5863631"
"6160023","虎尾镇农会","云林县虎尾镇和平路６８号","05 6323511"
"6160414","德兴分部","云林县虎尾镇德兴路１６号","05 6336253"
"6160506","大屯分部","云林县虎尾镇东屯里３６之１号","05 6651174"
"6160517","惠来分部","云林县虎尾镇惠来里１０９号","05 6223478"
"6160610","顶溪分部","云林县虎尾镇东兴路１之２号","05 6220304"
"6160126","仑背乡农会","云林县仑背乡南阳村建国路３５号","05 6961116"
"6160713","丰荣分部","云林县仑背乡丰荣村１０邻１２３号","05 6552030"
"6160148","褒忠乡农会","云林县褒忠乡中民村自强路１００号","05 6972111"
"6160090","莿桐乡农会","云林县莿桐乡莿村中正路５４号","05 5846161"
"6160263","饶平分部","云林县莿桐乡饶平村饶平南路７号","05 5843584"
"6160436","六合分部","云林县莿桐乡六合村新庄路３８∣１号","05 5711325"
