"通汇金融代号","总单位名称","帐号长度","地址","电话"
"617","竹崎鹿草嘉市民雄溪口梅山义竹东石番路","","大林太保大埔朴子六脚水上布袋新港","07 7439121"
"通汇金融代号","支单位名称","地址","电话"
"6170046","大林镇农会","嘉义县大林镇中山路１３０号","05 2653121"
"6170264","吉林分部","嘉义县大林镇新兴路５号","05 2652261"
"6170275","沟背分部","嘉义县大林镇义和里１邻２之６号","05 2953931"
"6170286","大美分部","嘉义县大林镇大美里１４邻１６８号","05 2954551"
"6170297","排路分部","嘉义县大林镇排路里５邻８４号","05 2694552"
"6170781","中林分部","嘉义县大林镇中林里７０∣５号","05 2654524"
"6171467","中坑分部","嘉义县大林镇中坑里沙仑４邻１２１号","05 2950529"
"6170172","蒜头分部","嘉义县六脚乡蒜头村１２５号","05 3804533"
"6170666","港尾寮分部","嘉义县六脚乡丰美村１６０号","05 3802033"
"6170677","六脚分部","嘉义县六脚乡六脚村３号","05 3781631"
"6170688","湾内分部","嘉义县六脚乡湾南村３１∣５号","05 3802049"
"6170703","更寮分部","嘉义县六脚乡正义村２１１号","05 3793630"
"6170806","六脚乡农会","嘉义县六脚乡蒜头村７∣２０号","05 3802816"
"6171434","苏仑分部","嘉义县六脚乡苏厝村２之３号","05 7812170"
"6170105","太保市农会","嘉义县太保市太保里５８号","05 3711101"
"6170437","后潭分部","嘉义县太保市后潭里３７４之７号","05 3711014"
"6170448","新埤分部","嘉义县太保市新埤路６号","05 3611940"
"6170459","南新分部","嘉义县太保市中山路一段２４５号","05 2373012"
"6170758","嘉太分部","嘉义县太保市麻寮里麻太路３２∣１号","05 2375676"
"6171412","安东分部","嘉义县太保市新埤路６号","05 3621022"
"6170116","水上乡农会","嘉义县水上乡中和路１９号","05 2682010"
"6170460","成功分部","嘉义县水上乡三界村１５０号","05 2395514"
"6170471","南靖分部","嘉义县水上乡三镇村３５号","05 2682015"
"6170482","大仑分部","嘉义县水上乡大仑村１３６∣１号","05 3711243"
"6170493","忠和分部","嘉义县水上乡中庄村７１∣１２０号","05 2890220"
"6170507","北回分部","嘉义县水上乡回归村２１７号","05 2356502"
"6170518","柳林分部","嘉义县水上乡柳乡村１００∣１４号","05 2683274"
"6170725","民生分部","嘉义县水上乡民生村立业街３巷２∣２号","05 2360386"
"6170035","布袋镇农会","嘉义县布袋镇太平路１１６号","05 3472024"
"6170242","过沟分部","嘉义县布袋镇中安里６号","05 3451003"
"6170253","永安分部","嘉义县布袋镇东港里埔厝８６号","05 3471660"
