"通汇金融代号","总单位名称","帐号长度","地址","电话"
"618","永康西港六甲善化盐水北门佳里将军新营归仁","","","07 7439121"
"通汇金融代号","支单位名称","地址","电话"
"6180139","六甲乡农会","台南县六甲乡建国街１４号","06 6983621"
"6180612","林凤营办事处","台南县六甲乡中社村林凤营２１号","06 6983630"
"6180195","北门乡农会","台南县北门乡北门村１２５号","06 7862004"
"6180818","溪底寮分部","台南县北门乡中枢村４２号","06 7861387"
"6180829","蚵寮分部","台南县北门乡保吉村３３９之１号","06 7863222"
"6181206","三慈分部","台南县北门乡三光村８０号","06 7850007"
"6180324","永康市农会","台南县永康市中山南路６３５号","06 2321121"
"6181011","大湾分部","台南县永康市大湾路２８１号","06 2716105"
"6181181","盐行分部","台南县永康市中正北路７５号","06 2530829"
"6181240","中华分部","台南县永康市中华路３２号","06 2336587"
"6181262","昆山分部","台南县永康市大湾路８４８号","06 2732156"
"6181343","龙潭分部","台南县永康市自强路７２１号","06 2040910"
"6180243","玉井乡农会","台南县玉井乡中正路１３９号","06 5742216"
"6181114","中华分部","台南县玉井乡中华路２２８号","06 5741271"
"6180162","西港乡农会","台南县西港乡文化路２号","06 7952706"
"6180689","后营分部","台南县西港乡营西村１号","06 7952706#2"
"6180715","竹林分部","台南县西港乡竹林村１０４∣３号","06 7952706#2"
"6180069","佳里镇农会","台南县佳里镇安西里和平街１６８号","06 7224496"
"6180416","佳兴分部","台南县佳里镇兴化里８邻４８３之６号","06 7217964"
"6180427","子龙分部","台南县佳里镇子龙里９邻子良庙１６５之１号","06 7217970"
"6180438","塭内分部","台南县佳里镇龙安里１邻塭子内１０之２号","06 7217968"
"6180449","延平分部","台南县佳里镇顶廓里３邻２８之３号","06 7217963"
"6181158","新生分部","台南县佳里镇忠仁里新生路８３号","06 7217967"
"6180184","将军乡农会","台南县将军乡忠兴村１８９号","06 7942201"
"6180771","苓仔寮分部","台南县将军乡保源村苓保１０１号","06 7942545"
"6180782","将军分部","台南县将军乡将富村４８号","06 7942038"
"6180793","马沙沟分部","台南县将军乡长沙村５号","06 7930281"
"6180807","青鲲鯓分部","台南县将军乡鲲鯓村２２２号之６","06 7920323"
"6180081","善化镇农会","台南县善化镇中山路２４２号","06 5836111"
"6180450","东关里分部","台南县善化镇大信街１号","06 5836111"
"6180461","六分寮分部","台南县善化镇六德里３３３之２号","06 5838020"
"6181365","茄拔分部","台南县善化镇嘉北里茄拔３５２之１０号","06 5853400"
"6180025","新营市农会","台南县新营市中山路１２３号","06 6351611"
"6180335","太子宫分部","台南县新营市太北里１４０∣３号","06 6523505"
"6180346","延平分部","台南县新营市复兴路１号","06 6351611"
"6181066","三民分部","台南县新营市三民路３６∣１４号","06 6351611"
"6181217","中正分部","台南县新营市埤寮里２号","06 6353607"
"6181402","楠西乡农会","台南县楠西乡楠西村中正路８８号","06 5751612"
"6180298","归仁乡农会","台南县归仁乡八甲村９号","06 2302101"
"6180966","大潭武东办事处","台南县归仁乡武东村５∣２号","06 2781544"
"6180977","大庙分部","台南县归仁乡大庙村７５∣６号","06 2712447"
"6180988","新市场分部","台南县归仁乡中山路１８４号","06 2304158"
"6181239","归南分部","台南县归仁乡中山路７９６号","06 2395029"
"6180036","盐水镇农会","台南县盐水镇西门路２１号","06 6521026"
"6180357","欢雅分部","台南县盐水镇欢雅里２６号","06 6552263"
"6180368","圣头港办事处","台南县盐水镇圣头港１９９∣１号","06 6892044"
