"通汇金融代号","总单位名称","帐号长度","地址","电话"
"619","大社仁武大树桥头湖内路竹阿莲燕巢杉林甲仙","","梓官茄萣大寮弥陀永安冈山鸟松林园内门等","07 7439121"
"通汇金融代号","支单位名称","地址","电话"
"6190222","大社乡农会","高雄县大社乡三民路３３４号","07 3511111"
"6190196","大寮乡农会","高雄县大寮乡会社村凤林三路３５１号","07 7811141"
"6190565","大寮分部","高雄县大寮乡大寮路２９０∣１０号","07 7884430"
"6190576","中庄分部","高雄县大寮乡中庄村仁爱路１３巷２９号","07 7034471"
"6190587","后庄分部","高雄县大寮乡后庄村凤屏一路２３３号","07 7013403"
"6190598","昭明分部","高雄县大寮乡昭明村凤林一路３４８号","07 6413534"
"6190602","潮寮分部","高雄县大寮乡潮寮村潮寮路４９之９号","07 7875051"
"6191012","翁园分部","高雄县大寮乡翁园村翁园路７０之３２号","07 7860624"
"6191104","大树乡农会","高雄县大树乡檨脚村中兴西路２０号","07 6526665"
"6190211","仁武乡农会","高雄县仁武乡中正路１３７号","07 3713104"
"6190727","湾内分部","高雄县仁武乡湾内村仁心路１５号","07 3715803"
"6191045","八卦分部","高雄县仁武乡八德中路５０号","07 3719612"
"6191115","内门乡农会","高雄县内门乡内丰村内埔１－１号","07 6672161"
"6190303","六龟乡农会","高雄县六龟乡义宝村光复路１０９号","07 6892111"
"6190130","永安乡农会","高雄县永安乡永安村永安路３４号","07 6911851"
"6190679","保宁分部","高雄县永安乡保安路２４０号","07 6913805"
"6190761","维新分部","高雄县永安乡维新路光明九巷３４号","07 6912034"
"6190071","田寮乡农会","高雄县田寮乡岗安路８２号","07 6361501"
"6190794","新兴分部","高雄县田寮乡新兴路１００号","07 6381872"
"6190808","崇德分部","高雄县田寮乡崇德路８４∣１号","07 6366677"
"6190255","甲仙地区农会","高雄县甲仙乡中正路２６号","07 6751001"
"6190819","桃源分部","高雄县桃源乡北进巷６８号","07 6861246"
"6190989","那玛夏分部","高雄县那玛夏乡鞍山巷６号","07 6701230"
"6190244","杉林乡农会","高雄县杉林乡山仙路３２号","07 6772210"
"6190026","冈山镇农会","高雄县冈山镇冈山路４３４号","07 6214101"
"6190277","市场分部","高雄县冈山镇平安里开元街２之１号","07 6212013"
"6190288","嘉兴分部","高雄县冈山镇嘉兴里嘉兴路１５１号","07 6212744"
"6190299","仁寿分部","高雄县冈山镇仁寿里民族路９号","07 6263724"
"6190772","协荣分部","高雄县冈山镇介寿西路６７号","07 6250620"
"6191067","后红分部","高雄县冈山镇大仁南路１１号","07 6231773"
"6190185","林园乡农会","高雄县林园乡忠孝西路４７号","07 6432556"
"6190831","中厝分部","高雄县林园乡潭头村潭头路１４９∣１号","07 6427447"
"6190082","阿莲乡农会","高雄县阿莲乡中山路２３号","07 6311141"
"6190624","中路分部","高雄县阿莲乡中路村中路路２３８号","07 6312063"
"6191078","复安分部","高雄县阿莲乡复安村８８号","07 6332503"
"6190048","美浓镇农会","高雄县美浓镇中正路一段１号","07 6813311"
"6190369","中坛分部","高雄县美浓镇中正路二段３１８号","07 6812123"
"6190370","龙肚分部","高雄县美浓镇龙肚街６２号","07 6851012"
"6190381","广兴分部","高雄县美浓镇民族路６９号","07 6812149"
"6190392","南隆分部","高雄县美浓镇中正路三段６５４号","07 6831055"
"6190118","茄萣乡农会","高雄县茄萣乡保定仁爱路二段１０２号","07 6906111"
"6190750","白砂仑分部","高雄县茄萣乡白云村白砂路１５１∣２号","07 6900701"
"6190141","梓官乡农会","高雄县梓官乡礼蚵村光明路１１１号","07 6101181"
"6190473","赤崁分部","高雄县梓官乡赤崁南路７５号","07 6173848"
"6190484","大舍分部","高雄县梓官乡大舍村大舍南路８号","07 6170014"
"6190495","梓官分部","高雄县梓官乡梓官路２７０号","07 6173181"
"6191089","鸟松乡农会","高雄县鸟松乡神农路５２５号","07 7322012"
"6191090","澄清湖分部","高雄县鸟松乡鸟松村中正路２９３号","07 7316589"
"6190107","湖内乡农会","高雄县湖内乡中正路二段２９号","07 6991216"
"6190462","大湖分部","高雄县湖内乡大湖村民权路１１１号","07 6931013"
"6190657","海埔分部","高雄县湖内乡海山村和平路１５０号","07 6991328"
"6190853","太爷分部","高雄县湖内乡中正路一段６０号","07 6995963"
"6190093","路竹乡农会","高雄县路竹乡忠孝路４３号","07 6964011"
"6190428","竹沪分部","高雄县路竹乡竹沪村成功路１４之２号","07 6981649"
"6190439","一甲分部","高雄县路竹乡甲南村大仁路２４４号","07 6962520"
"6190440","下坑分部","高雄县路竹乡下坑村太平路３０３号","07 6951644"
"6190451","三爷分部","高雄县路竹乡三爷村三民路５４号","07 6962408"
"6190037","旗山镇农会","高雄县旗山镇中山路６７号","07 6615491"
"6190314","旗尾分部","高雄县旗山镇旗屏一路４１号","07 6612274"
"6190325","溪洲分部","高雄县旗山镇中洲路７５号","07 6662774"
"6190336","南溪洲分部","高雄县旗山镇旗南二路７７号","07 6661215"
"6190347","岭口分部","高雄县旗山镇旗南三路２２３号","07 6651630"
"6190358","中正分部","高雄县旗山镇旗甲路５８１号","07 6691474"
"6190015","凤山市农会","高雄县凤山市维新路１２４号","07 7463131"
"6190266","五甲分部","高雄县凤山市南和路２１号","07 8312832"
"6190738","老爷分部","高雄县凤山市华兴街５７号","07 7713131"
"6190749","市场分部","高雄县凤山市五甲一路４５１号","07 7553711"
"6190864","文山分部","高雄县凤山市文衡路３５４号","07 7761177"
"6190886","东区分部","高雄县凤山市东山东路３７９号","07 7038888"
"6190897","镇北分部","高雄县凤山市力行路１１４号","07 7404305"
"6190990","过埤分部","高雄县凤山市过埤路１５６号","07 7922225"
"6190059","桥头乡农会","高雄县桥头乡桥南路９０号","07 6116161"
"6190716","桥头分部","高雄县桥头乡桥头村新兴路１５号","07 6118811"
"6190901","甲围办事处","高雄县桥头乡甲北村甲围路６６号","07 6122213"
"6190923","隆丰和分部","高雄县桥头乡仕和村隆丰路２７８号","07 6123976"
"6190934","五林分部","高雄县桥头乡东林村五林路１６∣２号","07 6120319"
"6190060","燕巢乡农会","高雄县燕巢乡中民路５７７号","07 6162211"
"6190406","凤雄分部","高雄县燕巢乡凤雄村凤旗路２０７号","07 6153407"
"6190417","深水分部","高雄县燕巢乡深水村深兴路１５２号","07 6152152"
