"通汇金融代号","总单位名称","帐号长度","地址","电话"
"620","林边恒春万丹新园车城里港枋山麟洛满州","","枋寮长治南州屏东市高树佳冬新埤","07 7439121"
"通汇金融代号","支单位名称","地址","电话"
"6200086","九如乡农会","屏东县九如乡九如路二段２０７号","08 7392224"
"6200787","洽兴分部","屏东县九如乡洽兴村平和路１３６巷２０号","08 7750856"
"6200905","竹田乡农会","屏东县竹田乡履丰村丰明路６号","08 7712318"
"6200879","车城地区农会","屏东县车城乡福兴村新兴路１－２号","08 8821022"
"6200112","里港乡农会","屏东县里港乡春林村中山路２４号","08 7752111"
"6200330","土库办事处","屏东县里港乡土库村土库路７３∣１号","08 7731052"
"6200341","载兴办事处","屏东县里港乡载兴村载兴路５８∣２号","08 7751087"
"6200628","三廓分部","屏东县里港乡三廓村三和路１２３号","08 7731727"
"6200259","枋山地区农会","屏东县枋山乡村德隆路２５－１号","08 8771111"
"6200743","枋山分部","屏东县枋山乡枋山村枋山路１０号","08 8761115"
"6200754","加禄分部","屏东县枋山乡加禄村会社路８４之１号","08 8720069"
"6200891","枋寮地区农会","屏东县枋寮乡安乐村安乐路８２号","08 8785121"
"6200031","东港镇农会","屏东县东港镇朝阳街２０号","08 8331111"
"6200721","下部分部","屏东县东港镇下部里７３号","08 8353653"
"6200927","长治乡农会","屏东县长治乡进兴村复兴路１１号","08 7385105"
"6200189","南州地区农会","屏东县南州乡仁里村三民路２７号","08 8642111"
"6200813","新埤分部","屏东县新埤乡新埤村新华路２５４号","08 7971016"
"6200868","屏东市农会","屏东县屏东市民生路７９－９号","08 7214492"
"6200880","屏东县农会","屏东县盐埔乡盐中村胜利路３７－１号","08 7939053"
"6200042","恒春镇农会","屏东县恒春镇山脚里恒南路１１巷２弄２号","08 8894501"
"6200547","垦丁分部","屏东县恒春镇垦丁路２０８号","08 8861386"
"6200167","崁顶乡农会信用部","屏东县崁顶乡崁顶村兴农路３５号","08 8632224"
"6200709","力社分部","屏东县崁顶乡力社村力社路４８号","08 8632293"
"6200710","港东分部","屏东县崁顶乡港东村平和南路２５６号","08 8633195"
"6200204","琉球乡农会","屏东县琉球乡本福村民生路３号","08 8612511"
"6200916","万丹乡农会","屏东县万丹乡万惠村万丹路一段２５号","08 7772007"
"6200215","满州乡农会","屏东县满州乡满州村中山路３４号","08 8801117"
"6200075","麟洛乡农会","屏东县麟洛乡麟趾村中正路３１号","08 7222475"
