"通汇金融代号","总单位名称","帐号长度","地址","电话"
"621","寿丰本会；吉安本会；新秀本会；富里本会","","","07 7439121"
"通汇金融代号","支单位名称","地址","电话"
"6210021","吉安乡农会","花莲县吉安乡吉安村１１８号之５","03 8521151"
"6210102","仁里分部","花莲县吉安乡仁里村中正路二段２４号","03 8523103"
"6210227","北昌分部","花莲县吉安乡北昌村建国路一段１５７号","03 8576427"
"6210238","宜昌分部","花莲县吉安乡宜昌村中华路二段４８号","03 8529273"
"6210043","富里乡农会","花莲县富里乡富里村中山路１３５号","03 8832111"
"6210135","东竹分部","花莲县富里乡竹田村１号","03 8821039"
"6210146","东里分部","花莲县富里乡东里村大庄路１０１号","03 8861109"
"6210098","新秀地区农会","花莲县新城乡北埔村树人街２号","03 8267751"
"6210191","新城分部","花莲县新城乡中山路２∣３号","03 8611047"
"6210205","嘉里分部","花莲县新城乡嘉里二路１２号","038266835"
"6210216","秀林分部","花莲县秀林乡秀林村秀林８９号","03 8611074"
"6210032","寿丰乡农会","花莲县寿丰乡寿山路１９号","03 8653101"
"6210124","志学分部","花莲县寿丰乡中山路二段２６７号","03 8661350"
"6210331","丰里分部","花莲县寿丰乡丰里村中山路７２巷３７号","03 8652105"
