"通汇金融代号","总单位名称","帐号长度","地址","电话"
"622","池上成功长滨关山鹿野东河太麻里台东地区","","","07 7439121"
"通汇金融代号","支单位名称","地址","电话"
"6220088","太麻里地区农会","台东县太麻里乡太麻里街１０６号","089781733"
"6220170","美和分部","台东县太麻里乡美和村８７∣３号","089511550"
"6220181","金仑分部","台东县太麻里乡金仑村３１８号","089771027"
"6220192","大武分部","台东县大武乡大武街８７号","089792993"
"6220066","台东地区农会","台东县台东市更生北路１１８号","089223511"
"6220099","丰里分部","台东县台东市中华路三段１６８号","089331946"
"6220125","台东分部","台东县台东市文化街３７号","089310127"
"6220136","知本分部","台东县台东市知本路三段２０３号","089512364"
"6220147","绿岛分部","台东县绿岛乡南寮村１８８号","089672573"
"6220158","初鹿分部","台东县卑南乡明峰村忠孝路１４６号","089571260"
"6220217","太平分部","台东县卑南乡太平路１４６号","089380045"
"6220228","兰屿分部","台东县兰屿乡椰油村忠孝街１６８号","089732039"
"6220284","新园分部","台东县台东市中兴路六段８６２号","089381488"
"6220022","成功镇农会","台东县成功镇中华路１３９号","089851102"
"6220206","忠孝分部","台东县成功镇美山路１３９之２号","089871148"
"6220251","信义分部","台东县成功镇都历路２４６之１号","089841268"
"6220033","池上乡农会","台东县池上乡福源村中山路３０２号","089862010"
"6220044","东河分部","台东县东河乡东河村南东河３８０号","089896040"
"6220103","东河乡农会","台东县东河乡都兰村都兰２０３号","089531202"
"6220114","泰源分部","台东县东河乡泰源村６１之２号","089892103"
"6220055","长滨乡农会","台东县长滨乡长滨村５８号","089832089"
"6220077","鹿野地区农会","台东县鹿野乡鹿野村中华路４１号","089550556"
"6220169","瑞源分部","台东县鹿野乡瑞源村光复路２号","089581433"
"6220240","瑞丰分部","台东县鹿野乡瑞丰村中山路７５号","089812620"
"6220011","关山镇农会","台东县关山镇和平路７８号","089811681"
"6220239","海端分部","台东县海端乡海端村山界路２６号","089931208"
