"通汇金融代号","总单位名称","帐号长度","地址","电话"
"623","北农中心所属会员","","景美区农","02 29676789"
"通汇金融代号","支单位名称","地址","电话"
"6230023","士林区农会","台北市士林区文林路３４２号","02 28838949"
"6230090","社子分会","台北市士林区社子街１６２号","02 28129591"
"6230148","文林分会","台北市大北路６５号","02 28812247"
"6230159","天母分会","台北市士东路９７号","02 28336399"
"6230207","阳明山分部","台北市格致路２６号","02 28619003"
"6230229","延平分部","台北市延平北路八段１３４号","02 28102198"
"6230034","内湖区农会","台北市内湖路二段３３４号","02 27900138"
"6230104","潭美分部","台北市新明路２２０号","02 27911812"
"6230171","东湖分部","台北市东湖路１４４号","02 26314947"
"6230182","西湖分部","台北市内湖区内湖路一段３２３巷５弄１号","02 26270447"
"6230274","民权分部","台北市民权东路六段１０８号","02 27955177"
"6230056","木栅区农会","台北市木栅路三段７７号","02 29398021"
"6230252","木新分部","台北市木新路三段１号","02 29399011"
"6230012","北投区农会","台北市光明路９６号","02 28924185"
"6230078","石牌分部","台北市石牌路二段１１０号","02 28215147"
"6230089","关渡分部","台北市知行路２８５号","02 28582293"
"6230126","立农分部","台北市北投区吉利街１３１号","02 28222491"
"6230137","大屯分部","台北市中和街３３４号","02 28933126"
"6230241","福兴分部","台北市北投区文林北路１０４号","02 28276301"
"6230045","南港区农会","台北市南港路一段１７３号","02 27836121"
"6230115","中研分部","台北市南港区旧庄街一段３５号","02 26517599"
"6230067","景美区农会","台北市文山区景文街１号","02 29312113"
