"通汇金融代号","总单位名称","帐号长度","地址","电话"
"625","台中市农会","存款类13位","台中市向上路一段９５号","04 23023560"
"通汇金融代号","支单位名称","地址","电话"
"6250014","台中市农会信用部","台中市向上路一段９５号２楼","04 23023560"
"6250025","西屯分部","台中市西屯路二段３０７号","04 27013275"
"6250036","北屯分部","台中市北屯路１０４号","04 22332298"
"6250047","南屯分部","台中市南屯路二段１１６号","04 23891181"
"6250058","四民分部","台中市昌平路二段１１２号","04 24224193"
"6250069","西区分部","台中市向上路一段９５号１楼","04 23023560"
"6250070","东区分部","台中市旱溪街８９号","04 22123627"
"6250092","南区分部","台中市复兴路三段１４７号","04 22251260"
"6250117","北区分部","台中市北区兴进路７２号","04 22344490"
"6250139","军功分部","台中市军功路６４号","04 24362806"
"6250140","大坑分部","台中市东山路二段２７号","04 22392466"
