"通汇金融代号","总单位名称","帐号长度","地址","电话"
"700","中华邮政股份有限公司","存簿类14位\n划拨类 8位","台北市金山南路二段５５号","02 23931261"
"通汇金融代号","支单位名称","地址","电话"
"7000010","邮政划拨储金","台北市金山南路二段５５号","02 23925432"
"7000021","邮政存簿储金","台北市金山南路二段５５号","02 23925432"
"7000001006","台北北门邮局(台北901支)","10012 台北市中正区忠孝西路1段114号","(02)2361-5752"
"7000001010","台北东门邮局(台北1支)","10061 台北市中正区新生南路1段162、164号1楼","(02)2394-7576"
"7000001023","台北汉中街邮局(台北2支)","10846 台北市万华区汉中街173号","(02)2361-6809"
"7000001037","台北西园邮局(台北3支)","10847 台北市万华区长沙街2段156、158、160、162号","(02)2331-4524"
"7000001041","台北龙山邮局(台北4支)","10851 台北市万华区广州街67号","(02)2306-4755"
"7000001054","台北南海邮局(台北5支)","10075 台北市中正区重庆南路2段43号","(02)2396-3142"
"7000001068","台北萤桥邮局(台北6支)","10083 台北市中正区厦门街76号","(02)2368-4714"
"7000001071","台北青田邮局(台北7支)","10644 台北市大安区和平东路1段155号","(02)2321-4288"
"7000001085","台北复兴桥邮局(台北8支)","10041 台北市中正区忠孝西路1段1号","(02)2311-4421"
"7000001099","台北中山邮局(台北9支)","10444 台北市中山区中山北路1段142号","(02)2542-6403"
"7000001101","台北迪化街邮局(台北10支)","10343 台北市大同区迪化街1段38号","(02)2556-0519"
"7000001114","台北圆环邮局(台北11支)","10356 台北市大同区重庆北路2段15号","(02)2556-1703"
"7000001128","行政院邮局(台北12支)","10051 台北市中正区北平东路2号(行政院内)","(02)2321-4874"
"7000001131","台北公馆邮局(台北13支)","10673 台北市大安区台北捷运公馆站第3出入口B1","(02)2365-9518"
"7000001145","国史馆邮局(台北14支)","10048 台北市中正区博爱路168号之1","(02)2331-0962"
"7000001159","总统府邮局(台北15支)","10048 台北市中正区重庆南路1段122号(总统府内)","(02)2311-0859"
"7000001176","台北双连邮局(台北17支)","10449 台北市中山区中山北路2段96号","(02)2541-4332"
"7000001180","台北松山邮局(台北18支)","10566 台北市松山区八德路4段626号","(02)2767-4928"
