"通汇金融代号","总单位名称","帐号长度","地址","电话"
"803","联邦商业银行","存款类12位\n电子商务缴款类14位","台北市承德路一段１０５号","02 25568500"
"通汇金融代号","支单位名称","地址","电话"
"8030010","营业部","台北市承德路一段１０５号","02 25568500"
"8030021","台北分行","台北市民生东路三段１０９号","02 27180001"
"8030032","桃园分行","桃园县桃园市县府路３３２号","03 3395300"
"8030043","台中分行","台中市中港路二段九之五号","04 23285666"
"8030054","南京东路分行","台北市南京东路二段１３７号","02 25151333"
"8030065","中坜分行","桃园县中坜市中央西路一段６２号","03 4265111"
"8030076","三重分行","台北县三重市重新路三段１０号","02 29777666"
"8030098","东台北分行","台北市南京东路五段２１７号","02 27530900"
"8030102","高雄分行","高雄市光华一路２０４号","07 2265353"
"8030113","板桥分行","台北县板桥市民权路２２６号","02 29656600"
"8030124","台南分行","台南市西门路四段２７１号","06 2513377"
"8030135","员林分行","彰化县员林镇中山路一段７８５号","04 8347666"
"8030157","仁爱分行","台北市仁爱路四段４０１号","02 27813366"
"8030168","南崁分行","桃园县芦竹乡南崁村中正路１３７号","03 3229699"
"8030179","新竹分行","新竹市中正路１０７号１楼","03 5249966"
"8030180","芦洲分行","台北县芦洲市中正路８０号","02 28485577"
"8030205","九如分行","高雄市九如二路４９５号","07 3118871"
"8030216","双和分行","台北县永和市中正路２２２号","02 29459898"
"8030227","回龙分行","桃园县龟山乡万寿路一段２５３号","02 82090808"
"8030238","嘉义分行","嘉义市中山路２８５号","05 2285908"
"8030249","公馆分行","台北市罗斯福路三段２７２号","02 23692678"
"8030250","内坜分行","桃园县中坜市中华路一段２５８号","03 4351288"
"8030261","忠孝分行","台北市忠孝东路四段２２３巷５号２Ｆ","02 27733456"
"8030272","新庄分行","台北县新庄市思源路６０１号","02 85227799"
"8030283","凤山分行","高雄县凤山市凯旋路２２４号","07 7638185"
"8030294","桃莺分行","桃园县桃园市桃莺路３４３号","03 3779797"
"8030308","龙潭分行","桃园县龙潭乡中正路２４５号","03 4709188"
"8030319","新店分行","台北县新店市民权路１００号","02 22199989"
"8030320","大直分行","台北市明水路６４９号","02 25323836"
"8030331","中山简易型分行","台北市中山北路二段８３号","02 25717890"
"8030342","文心分行","台中市文心路四段２０８之１号","04 22980808"
"8030353","健行分行","桃园县中坜市龙冈路二段９５号","03 4280808"
"8030364","中和分行","台北县中和市建一路１５０号","02 82265168"
"8030375","内湖分行","台北市内湖区瑞光路３９９号","02 26586121"
"8030386","大园分行","桃园县大园乡中正东路５４号","03 3850505"
"8030397","永和分行","台北县永和市永和路二段１３７号","02 86600808"
"8030401","中港简易型分行","台北县新庄市中港路３０８号","02 22769678"
"8030412","通化简易型分行","台北市大安区通化街７４号","02 27395888"
"8030423","士东分行","台北市士林区士东路９１巷１－１号","02 28756161"
