"通汇金融代号","总单位名称","帐号长度","地址","电话"
"805","远东国际商业银行","14位","台北市敦化南路二段２０５号","02 23786868"
"通汇金融代号","支单位名称","地址","电话"
"8050012","营业部","台北市敦化南路二段２０７号１楼","02 23786868"
"8050023","台北襄阳分行","台北市襄阳路１号","02 23814567"
"8050034","台北逸仙分行","台北市基隆路一段２００号之３","02 27229558"
"8050045","桃园分行","桃园县桃园市南华街７８号１楼","03 3396339"
"8050056","台中公益分行","台中市公益路３６７号","04 23288666"
"8050067","台南分行","台南市东门路二段２号","06 2089898"
"8050078","高雄五福分行","高雄市盐埕区大勇路１０６号１楼","07 5333820"
"8050090","板桥南雅分行","台北县板桥市南雅南路二段１７２号","02 89663339"
"8050104","新竹林森分行","新竹市中华路３段４２至４６号","03 5246668"
"8050115","高雄中正分行","高雄市中正四路４９号","07 2518199"
"8050148","三重分行","台北县三重市福德北路４６号","02 89731133"
"8050159","台北松江分行","台北市松江路５９号","02 25055533"
"8050160","永康分行","台南县永康市中正北路３７号","06 2530400"
"8050171","中坜分行","桃园县中坜市延平路３７２号","03 4279696"
"8050193","永和分行","台北县永和市福和路２２２号","02 22326500"
"8050207","台北东门分行","台北市中正区信义路二段１３５号１楼","02 23567711"
"8050218","高雄文化中心分行","高雄市苓雅区四维二路９６号","07 7155678"
"8050229","台中文心分行","台中市文心路四段６９８号","04 22306689"
"8050230","新竹科学园区分行","新竹市新竹科学园区二路１１号３Ｆ","03 5798833"
"8050241","桃园大兴分行","桃园县桃园市大兴西路二段６号","03 3018966"
"8050252","台北南门分行","台北市罗斯福路一段４０号","02 23926955"
"8050263","台北新庄分行","台北县新庄市复兴路一段２０９号","02 89913366"
"8050274","台北松山分行","台北市南京东路五段１７１号","02 87876668"
"8050285","新店分行","台北县新店市北新路３段９８号","02 29106060"
"8050296","台北重庆分行","台北市重庆北路一段３０号","02 25506600"
"8050300","竹北分行","新竹县竹北市光明六路４１号","03 5536699"
"8050311","台北忠孝分行","台北市忠孝东路一段１１２号","02 23278898"
"8050322","林口分行","桃园县龟山乡复兴一路２２７号","03 3973888"
"8050333","板桥文化分行","台北县板桥市文化路二段１号","02 22556499"
"8050344","台中自由分行","台中市自由路二段１３１号","04 22252008"
"8050355","新庄富国分行","台北县新庄市富国路６号","02 29016868"
"8050366","台北永吉分行","台北市中坡北路７号","02 87855788"
"8050377","板桥四川简易型分行","台北县板桥市四川路一段３８９号","02 77386868"
"8050388","桃园大有简易型分行","桃园县桃园市大有路４８０号１楼","03 3469688"
"8050399","台北金湖简易型分行","台北市民权东路六段４９５号","02 26305788"
"8050403","台北农安简易型分行","台北市农安街１２之１号","02 25922255"
"8050414","台北中山分行","台北市中山区民生东路一段７０号","02 25238899"
"8050425","台北古亭分行","台北市大安区罗斯福路三段５０号","02 23695600"
"8050436","台北信义分行","台北市信义区光复南路５０５号","02 27207755"
"8050458","土城分行","台北县土城市中央路二段４２号","02 82731688"
"8050469","中和分行","台北县中和市中正路７４８号","02 82269000"
"8050470","板桥埔墘分行","台北县板桥市中山路二段２５号","02 29632787"
"8050481","新竹经国分行","新竹市经国路二段１００号","03 5333131"
"8050492","台中大雅分行","台中市北屯区文心路四段１８０号","04 22973266"
"8050506","彰化分行","彰化县彰化市民生路２３３号","04 7289188"
"8050517","南投分行","南投县南投市三和二路１１号","0492223311"
"8050528","嘉义分行","嘉义市文化路２７２号","05 2785911"
"8050539","高雄苓雅分行","高雄市苓雅区青年一路１９１号","07 3369066"
"8050540","凤山分行","高雄县凤山市青年路二段２１０号","07 7778600"
"8050562","大里分行","台中县大里市益民路二段１２１号","04 24823899"
"8050573","南台分行","台南县永康市中正南路３０号","06 2515777"
"8050609","双和分行","台北县永和市中和路５３５之１号１、２Ｆ","02 77176668"
