"通汇金融代号","总单位名称","帐号长度","地址","电话"
"806","元大商业银行","14位","台北市松山区敦化南路１段６６号","02 21736699"
"通汇金融代号","支单位名称","地址","电话"
"8060013","台中分行","台中市民权路６６号","04 22271799"
"8060024","文心分行","台中市文心路三段３３７号","04 22970068"
"8060035","台北分行","台北市敦化南路二段３８号","02 27057888"
"8060046","沙鹿分行","台中县沙鹿镇中山路５３５号","04 26656656"
"8060057","丰原分行","台中县丰原市圆环西路２３号","04 25293366"
"8060068","彰化分行","彰化县彰化市中山路二段８９８号","04 7267001"
"8060079","员林分行","彰化县员林镇大同路二段２８３号","04 8356403"
"8060080","三重分行","台北县三重市重新路三段１１１号","02 29832255"
"8060091","平镇分行","桃园县平镇市环南路１８号","03 4942690"
"8060105","草屯分行","南投县草屯镇太平路二段１４６号","0492321661"
"8060116","永康分行","台南县永康市小东路５１１号１楼","06 3126789"
"8060127","高雄分行","高雄市民族二路３８号","07 2229688"
"8060150","景美分行","台北市文山区景文街３号","02 86636766"
"8060161","新竹分行","新竹市民生路２７６号１楼","03 5456688"
"8060172","鹿港分行","彰化县鹿港镇中山路３２１号","04 7785799"
"8060183","斗信分行","云林县斗六市文化路２９号","05 5351799"
"8060194","嘉义分行","嘉义市中兴路１８５号","05 2327469"
"8060219","南京东路分行","台北市南京东路三段２１９号１楼","02 25458777"
"8060220","永和分行","台北县永和市永和路二段３２号","02 22325558"
"8060231","复兴分行","台中市复兴路一段２６９号","04 22616889"
"8060242","大里分行","台中县大里市涂城路７２４号","04 24922288"
"8060253","博爱分行","高雄市明诚二路４９１号","07 5586088"
"8060264","苗栗分行","苗栗县苗栗市中正路４５８号","037336678"
"8060275","崇德分行","台中市北屯区崇德路２段４６号","04 22329961"
"8060286","北斗分行","彰化县北斗镇光复路１６６号","04 8873881"
"8060297","佳里分行","台南县佳里镇文化路２７８号","06 7214888"
"8060301","大甲分行","台中县大甲镇中山路一段８３３号","04 26886088"
"8060312","虎尾分行","云林县虎尾镇和平路一号","05 6339169"
"8060334","士林分行","台北市士林区中正路３１６号","02 28376638"
"8060345","南崁分行","桃园县芦竹乡中正路３０９号","03 3129550"
"8060356","溪湖分行","彰化县溪湖镇东环路５５５号","04 8825656"
"8060367","古亭分行","台北市罗斯福路３段３７号１楼","02 23654567"
"8060378","新庄分行","台北县新庄市中正路３７９号","02 22067799"
"8060389","中坜分行","桃园县中坜市中央东路７号","03 4266007"
"8060404","三民分行","高雄市三民区建工路７１５号１楼","07 3951588"
"8060415","城中分行","台北市衡阳路４２号１楼","02 23822888"
"8060426","屏东分行","屏东县屏东市广东路６９０号１楼","08 7350426"
"8060448","斗南分行","云林县斗南镇中山路６７号","05 5971138"
"8060482","板桥分行","台北县板桥市中山路一段６９号１楼","02 29536789"
"8060493","桃园分行","桃园县桃园市中山路４２９号","03 3372211"
"8060518","凤山分行","高雄县凤山市五甲二路２８０号","07 7152700"
"8060529","东信分行","台东县台东市中华路一段４２７号","089324351"
"8060585","内湖分行","台北市内湖区瑞光路６１８号","02 87518759"
"8060596","罗东分行","宜兰县罗东镇中正北路３８号１楼","03 9568966"
"8060600","金门分行","金门县金城镇民权路１８８之１号","08 2322566"
"8060611","台南分行","台南市永华路３４８号","06 2938688"
"8060622","林口分行","桃园县龟山乡复兴一路２３６号","03 3288999"
"8060633","竹北分行","新竹县竹北市光明六路东一段２０８号","03 6581212"
"8060688","府城分行","台南市中西区民生路一段１６５号","06 2281281"
"8060699","府东分行","台南市东门路二段３４８号","06 2687815"
"8060714","冈山分行","高雄县冈山镇冈山路３８０号１楼","07 6218955"
"8060806","开元分行","台南市胜利路４６１号","06 2383125"
"8060828","安和分行","台南市安和路一段２２６号","06 2551236"
"8060839","中和分行","台北县中和市泰和街１号","02 22456789"
"8060840","松江分行","台北市松江路１０９号１楼","02 25168608"
"8060851","竹科分行","新竹市光复路一段２６７号１、２楼","03 6667888"
"8060862","天母分行","台北市天母西路１４号","02 28712558"
"8060873","芦洲分行","台北县芦洲市长荣路２３５号","02 22818958"
"8060884","信义分行","台北市信义路４段２３６之１号１楼","02 27032569"
"8060895","中山北路分行","台北市中山北路２段１３１号１楼","02 25217888"
"8060909","民生分行","台北市民生东路４段５２之１号","02 87129666"
"8060910","新店分行","台北县新店市北新路二段２５２号１楼","02 29125799"
"8060932","忠孝分行","台北市忠孝东路５段２３８之１号１楼","02 87867778"
"8060943","桃兴分行","桃园县桃园市复兴路５１之２号１楼","03 3385518"
"8060954","中港分行","台中市西屯区台中港路３段１０２之９号１楼","04 24650889"
"8060965","花莲分行","花莲县花莲市中山路７４号","03 8311708"
"8060976","承德分行","台北市承德路三段２１０号１楼","02 25920000"
"8060987","太平分行","台中县太平市中兴路５３号１楼","04 22702688"
"8060998","营业部","台北市敦化南路１段６６号","02 21736680"
"8061009","土城分行","台北县土城市中央路１段２５５号","02 22703030"
"8061010","延吉分行","台北市大安区忠孝东路四段１８０号","02 27316177"
"8061021","大同分行","台北市大同区南京西路６６号","02 25585869"
"8061032","松山分行","台北市信义区忠孝东路五段６７５号","02 87857618"
"8061043","大安分行","台北市大安区新生南路一段１５５号","02 27090636"
"8061054","福林分行","台北市士林区中山北路五段６２６号","02 28325788"
"8061065","敦北分行","台北市松山区敦化北路２７０－２号","02 25475188"
"8061076","北三重分行","台北县三重市正义北路１９５号","02 29829192"
"8061087","新泰分行","台北县新庄市中正路２６７号","02 29905858"
"8061098","北新分行","台北县新店市北新路二段２６８号","02 86656188"
"8061102","南高雄分行","高雄市前金区中正四路１４３号","07 2822101"
