"通汇金融代号","总单位名称","帐号长度","地址","电话"
"807","永丰商业银行","14位","台北市南京东路三段３６号","02 25063333"
"通汇金融代号","支单位名称","地址","电话"
"8070014","世贸分行","台北市信义区基隆路１段３８０号１楼","02 23451177"
"8070025","敦北分行","台北市敦化北路２０９号","02 27127899"
"8070036","台中分行","台中市自由路一段１０１号","04 22205766"
"8070047","高雄分行","高雄市中正二路１４３及１４５号","07 2243733"
"8070058","忠孝分行","台北市敦化南路一段２３６巷１号","02 27788811"
"8070069","西松分行","台北市松山区东兴路１２号","02 27469888"
"8070070","板新分行","台北县板桥市民权路１８６号","02 29681616"
"8070092","敦南分行","台北市安和路二段１８５号","02 23780707"
"8070106","新泰分行","台北县新庄市新泰路２６５号","02 29929898"
"8070117","桃园分行","桃园县桃园市复兴路５１号","03 3339000"
"8070128","北台中分行","台中市文心路三段１０２７号","04 22938101"
"8070139","台南分行","台南市健康路二段１１４号","06 2232888"
"8070151","松江分行","台北市松江路１９２号","02 25679911"
"8070162","嘉义分行","嘉义市兴业西路３３８号","05 2357888"
"8070173","三民分行","高雄市民族一路７８号","07 3928988"
"8070184","新竹分行","新竹市光复路二段２９３号","03 5728866"
"8070195","三重分行","台北县三重市忠孝路二段８０号","02 29833008"
"8070210","台北分行","台北市建国北路二段９之１号","02 25088992"
"8070221","彰化分行","彰化县彰化市民族路３１７号","04 7263111"
"8070232","冈山分行","高雄县冈山镇大德一路１号１楼","07 6226688"
"8070243","中坜分行","桃园县中坜市慈惠三街１６０号","03 4278988"
"8070254","凤山分行","高雄县凤山市光远路３６６号","07 7108866"
"8070265","中正简易型分行","台北市罗斯福路二段１７２号","02 23672888"
"8070276","北新分行","台北县新店市北新路二段２６０号","02 29127799"
"8070287","屏东分行","屏东县屏东市复兴北路１４号","08 7323322"
"8070298","北桃园分行","桃园县桃园市春日路６５６号","03 3178889"
"8070302","学府分行","台北县土城市学府路一段１２４号","02 22662000"
"8070313","南高雄分行","高雄市中华四路１００号","07 5351111"
"8070324","光华分行","新竹市田美三街３５号","03 5356688"
"8070335","新生分行","台北市信义路二段２６３号１楼","02 23926611"
"8070346","天母分行","台北市忠诚路二段２４９号１楼","02 28721177"
"8070357","东板桥分行","台北县板桥市中山路二段１４７号","02 89522200"
"8070368","东台南分行","台南市长荣路二段１６３号","06 2005566"
"8070379","竹南分行","苗栗县竹南镇光复路１５７号１－３楼","037479898"
"8070380","南台中分行","台中市南屯区公益路二段６６号","04 23232468"
"8070391","福林简易型分行","台北市士林区中山北路５段６２０号１楼","02 28330505"
"8070405","永康分行","台南县永康市中华路７２５号","06 2028599"
"8070416","中科分行","台中市台中港路３段１２６－２１号１楼","04 24651688"
"8070427","北高雄分行","高雄市左营区裕诚路４４１号","07 5575888"
"8070438","东三重简易型分行","台北县三重市正义北路５５号","02 89852888"
"8070449","信维简易型分行","台北市信义路四段４６号","02 27049911"
