"通汇金融代号","总单位名称","帐号长度","地址","电话"
"808","玉山商业银行","13位","台北市民生东路三段１１７号","02 27191313"
"通汇金融代号","支单位名称","地址","电话"
"8080015","营业部","台北市民生东路三段１１５号","02 27191313"
"8080026","南京东路分行","台北市南京东路五段８９号","02 27601313"
"8080048","城东分行","台北市松江路１１１号","02 25041313"
"8080059","新庄分行","台北县新庄市中正路３９３号","02 22021313"
"8080060","新竹分行","新竹市民族路３４号","03 5231313"
"8080071","嘉义分行","嘉义市新荣路２４２号","05 2231313"
"8080082","高雄分行","高雄市四维四路３号","07 3361313"
"8080118","基隆路分行","台北市基隆路二段４１号","02 23781313"
"8080129","双和分行","台北县永和市中山路一段３２０号","02 29231313"
"8080130","中坜分行","桃园县中坜市中山路１２６号","03 4271313"
"8080141","台中分行","台中市文心路三段１０２３号","04 22911313"
"8080152","台南分行","台南市民生路二段７６号","06 2411313"
"8080163","天母分行","台北市忠诚路一段９９号","02 28351313"
"8080174","埔墘分行","台北县板桥市三民路二段１８８号","02 29631313"
"8080185","桃园分行","桃园县桃园市三民路二段３００号","03 3321313"
"8080196","前镇分行","高雄市前镇区瑞隆路４７４号","07 7611313"
"8080211","民生分行","台北市民生东路三段４９号","02 25091313"
"8080222","大里分行","台中县大里市东荣路３１２号","04 24851313"
"8080233","永康分行","台南县永康市永大路二段１５１８号","06 2011313"
"8080244","凤山分行","高雄县凤山市五甲一路１００号","07 7431313"
"8080255","三重分行","台北县三重市三和路四段３８０号","02 22801313"
"8080266","土城分行","台北县土城市裕民路１１６号","02 22741313"
"8080277","八德分行","桃园县八德市介寿路一段８７０号","03 3671313"
"8080288","大墩分行","台中市大墩路７６８号","04 23201313"
"8080299","七贤分行","高雄市新兴区林森一路２３３号","07 2351313"
"8080303","复兴分行","台北市复兴南路一段１２７号","02 27711313"
"8080314","敦南分行","台北市敦化南路一段３３９号","02 27541313"
"8080325","重新分行","台北县三重市重新路四段６５号","02 29841313"
"8080336","彰化分行","彰化县彰化市晓阳路１６２号","04 7281313"
"8080347","北高雄分行","高雄市明诚二路１１８号","07 3501313"
"8080358","大雅分行","台中县大雅乡民兴街３５号","04 25681313"
"8080369","杨梅分行","桃园县杨梅镇中山路１４０号","03 4881313"
"8080370","树林分行","台北县树林市中山路一段１０３号","02 86751313"
"8080381","丰原分行","台中县丰原市中正路５４３号","04 25121313"
"8080392","斗六分行","云林县斗六市中正路１８号","05 5321313"
"8080406","长春分行","台北市复兴北路１７８号","02 25461313"
"8080417","中山分行","台北市中山北路一段１４５号","02 25371313"
"8080428","佳里分行","台南县佳里镇延平路３５１号","06 7211313"
"8080439","中和分行","台北县中和市中山路二段３８９号","02 22221313"
"8080440","竹南分行","苗栗县竹南镇民族路６１号","037461313"
"8080451","罗东分行","宜兰县罗东镇公正路１５４号","03 9571313"
"8080462","内湖分行","台北市内湖路一段３６０巷８号","02 26591313"
"8080473","坜新分行","桃园县中坜市民族路３２８号","03 4921313"
"8080484","板新分行","台北县板桥市忠孝路３７号","02 89521313"
"8080495","光华分行","新竹市光华街６４－２号","03 5331313"
"8080509","东嘉义分行","嘉义市垂杨路１１１号１楼","05 2161313"
"8080510","北天母分行","台北市天母西路２６－１号","02 28771313"
"8080521","永和分行","台北县永和市中正路１４５号","02 29491313"
"8080532","城中分行","台北市武昌街一段７７号","02 23891313"
"8080543","五股分行","台北县五股乡五股工业区五权路１号","02 22901313"
"8080554","新店分行","台北县新店市民权路６９号","02 29161313"
"8080565","松山分行","台北市信义区永吉路３５６号１楼","02 37651313"
"8080576","和平分行","台北市和平东路一段２１６号","02 23621313"
"8080587","海山分行","台北县板桥市文化路一段１２０号","02 22561313"
"8080598","民权分行","台北市民权西路４８号","02 25681313"
"8080602","泰山分行","台北县泰山乡明志路２段５３号１楼","02 22971313"
"8080613","南崁分行","桃园县芦竹乡中正路３４６号","03 3521313"
"8080624","大顺分行","高雄市苓雅区大顺三路８８号","07 7271313"
"8080635","左营分行","高雄市左营区博爱二路５７８号","07 5591313"
"8080646","楠梓分行","高雄市楠梓区军校路９８０号","07 3641313"
"8080657","士林分行","台北市士林区中正路２６６号","02 28341313"
"8080668","苓雅分行","高雄市和平二路３０５号","07 7161313"
"8080679","三民分行","高雄市三民区博爱一路１９５号","07 3151313"
"8080680","南屯分行","台中市南屯区五权西路二段６６７号","04 23801313"
"8080691","木栅分行","台北市文山区木栅路３段１２７号","02 29361313"
"8080705","大昌分行","高雄市三民区鼎中路３４３","07 3411313"
"8080716","台东简易型分行","台东县台东市中正路２３９号","089361313"
"8080727","澄清分行","高雄市澄和路１５１号","07 3861313"
"8080738","小港分行","高雄市小港区康庄路４７号","07 8071313"
"8080749","北新庄分行","台北县新庄市中华路二段６５号","02 29971313"
"8080750","竹北分行","新竹县竹北市光明一路１４５号１楼","03 5541313"
"8080761","东台南分行","台南市东区崇学路１３８号","06 2891313"
"8080772","福和分行","台北县永和市永和路一段６９号","02 89231313"
"8080783","基隆分行","基隆市中正区义一路１２２号","02 24271313"
"8080794","冈山分行","高雄县冈山镇寿天路９９号","07 6211313"
