"通汇金融代号","总单位名称","帐号长度","地址","电话"
"809","万泰商业银行","12位","台北市敦化南路二段３９号","02 27011777"
"通汇金融代号","支单位名称","地址","电话"
"8090016","建成分行","台北市承德路一段７０号","02 25557777"
"8090027","忠孝分行","台北市忠孝东路四段２７０号","02 27781277"
"8090038","三重分行","台北县三重市重阳路三段１９２号","02 29812233"
"8090049","台中分行","台中市台中港路一段１６０∣１号","04 23283331"
"8090050","台南分行","台南市西门路二段３５１号","06 2268777"
"8090061","高雄分行","高雄市四维三路８０号","07 3367977"
"8090072","城东分行","台北市南京东路三段２２４号","02 27788777"
"8090094","东台北分行","台北市南京东路四段１６０号","02 25705777"
"8090108","板桥分行","台北县板桥市民生路三段１５号","02 22597767"
"8090119","桃园分行","桃园县桃园市南华街８０号","03 3397779"
"8090120","中坜分行","桃园县中坜市中央东路１３号","03 4272777"
"8090131","北高雄分行","高雄市民族一路８７８号","07 3463677"
"8090153","新庄分行","台北县新庄市思源路３３１号","02 22776377"
"8090164","中正分行","高雄市中正四路１５１号","07 2411777"
"8090175","员林分行","彰化县员林镇莒光路２６６号","04 8339777"
"8090197","营业部","台北市敦化南路二段３９号","02 27011777"
"8090201","松江分行","台北市松江路１３７∣１３９号","02 25173777"
"8090212","芦洲分行","台北县芦洲市集贤路４０１号","02 22898877"
"8090223","凤山分行","高雄县凤山市博爱路１６５∣３号","07 7419777"
"8090234","新竹分行","新竹市西大路６４５号","03 5255577"
"8090245","松山分行","台北市松山路１３２号","02 27616688"
"8090256","土城分行","台北县土城市金城路三段１２３号","02 22605588"
"8090267","中和分行","台北县中和市景平路２００号","02 86685566"
"8090278","赤崁分行","台南市忠义路二段１６７号","06 2256131"
"8090289","基隆分行","基隆市麦金路１９３号","02 24336566"
"8090290","斗六分行","云林县斗六市西平路８０号","05 5331566"
"8090304","东门分行","台南市府前路一段２６号","06 2256141"
"8090315","北门分行","台南市北区开元路１３３号","06 2364401"
"8090326","屏东分行","屏东县屏东市广东路４５１号","08 7385678"
"8090337","林森简易型分行","台南市林森路二段１８４号","06 2376391"
"8090348","归仁简易型分行","台南县归仁乡华厝村中正路１０３之１号","06 3308777"
"8090359","海东分行","台南市海佃路一段１２９号","06 2502183"
"8090371","永康分行","台南县永康市国光二街２号","06 2727757"
"8090382","天母分行","台北市中山北路六段２４６号","02 88661117"
"8090393","新店分行","台北县新店市北新路三段２０２号","02 29181199"
"8090407","大安分行","台北市大安区新生南路二段８号","02 33223677"
"8090429","苗栗分行","苗栗县苗栗市中正路８１号","037265725"
"8090430","八德分行","台北市八德路四段８８号","02 37651111"
"8090452","花莲分行","花莲县花莲市中正路５６０号１楼","038352299"
"8090463","继光分行","台中市中正路６３号","04 22220077"
"8090474","彰化分行","彰化县彰化市晓阳路１９９之３号","04 7287777"
"8090485","丰原分行","台中县丰原市中山路３２９号","04 25152777"
"8090511","大里简易型分行","台中县大里市中兴路二段３３１号","04 24866363"
"8090522","嘉义分行","嘉义市中山路３０２号","05 2280777"
"8090577","风城分行","新竹市中正路５９号","03 5261101"
"8090588","南大分行","新竹市南大路３３９号","03 5263155"
"8090599","竹科分行","新竹市光复路一段２３８号","03 5775131"
"8090625","台东简易型分行","台东县台东市中华路一段３４１号","089329797"
"8090669","罗东分行","宜兰县罗东镇公正路５０号","03 9533377"
