"通汇金融代号","总单位名称","帐号长度","地址","电话"
"810","星展银行－原宝华银行","12位","台北市松山区南京东路五段１６１号","02 27567585"
"通汇金融代号","支单位名称","地址","电话"
"8100010","台中分行","台中市进化北路１７０号","04 22309188"
"8100021","忠孝分行","台北市光复南路２０２号１楼","02 27119977"
"8100032","敦北分行","台北市敦化北路５６号１楼","02 27783311"
"8100043","高雄分行","高雄市三民区九如二路５９９号１楼","07 3232362"
"8100054","桃园分行","桃园县桃园市中山路５０１号","03 3396060"
"8100065","丰原分行","台中县丰原市三丰路４６号","04 25292766"
"8100076","林口分行","台北县林口乡中山路７１号１楼","02 26030808"
"8100098","台南分行","台南市南门路１０１号","06 2133939"
"8100102","大安分行","台北市金山南路二段２００号１楼","02 23935353"
"8100113","新树分行","台北县新庄市民安西路１４２号","02 22025656"
"8100124","太平分行","台中县太平市中兴路１３号","04 22778989"
"8100135","中清分行","台中市中清路７２之２７号","04 22960088"
"8100157","三重分行","台北县三重市三和路三段６１号、６３号","02 66112303"
"8100168","芦洲分行","台北县芦洲市长安街１０３号","02 28483138"
"8100179","松山分行","台北市松德路１０６号","02 27589066"
"8100180","中港分行","台中市台中港路二段６０之８号","04 23132468"
"8100205","南高雄分行","高雄市新兴区中正二路１９２号","07 2232255"
"8100216","汐止分行","台北县汐止市大同路二段２６３号","02 26493377"
"8100227","天母分行","台北市中山北路六段９１号１楼","02 66111211"
"8100238","八德分行","桃园县八德市介寿路一段９５８号","03 3665555"
"8100249","大甲分行","台中县大甲镇信义路２９０号","04 26801234"
"8100250","永康分行","台南县永康市中华路７２９之１号","06 2013959"
"8100261","板桥分行","台北县板桥市板新路１０１号","02 89646800"
"8100272","中和分行","台北县中和市中和路１７０号","02 22437711"
"8100283","楠梓分行","高雄市楠梓区建楠路６６号","07 3512196"
"8100294","民权分行","台中市西区民权路２１９号","04 23059966"
"8100308","苓雅分行","高雄市苓雅区青年一路１９３号","07 3313866"
"8100319","五褔分行","高雄市盐埕区五褔四路９１号","07 5315163"
"8100320","彰化分行","彰化县彰化市中正路二段５９９号","04 7284567"
"8100331","前镇分行","高雄市前镇区扩建一路１之１号","07 8214181"
"8100342","斗六分行","云林县斗六市中华路２１６号","05 5372388"
"8100353","鼎强分行","高雄市三民区天祥一路８８号","07 3472137"
"8100364","南京东路分行","台北市南京东路五段１６１号","02 27567585"
"8100375","莒光分行","高雄市左营区后昌路６６９号","07 3651092"
"8100386","中坜分行","桃园县中坜市中平路８６－２号","03 4269900"
"8100397","新竹分行","新竹市北大路３４６号","03 5238733"
"8100401","大同分行","台北市民生西路２７２号","02 25560801"
"8100412","敦南分行","台北市敦化南路二段５６号","02 27055255"
"8100423","内湖分行","台北市内湖区瑞光路３００号","02 27991666"
