"通汇金融代号","总单位名称","帐号长度","地址","电话"
"812","台新国际商业银行","14位","台北市中山北路二段４４号","02 25683988"
"通汇金融代号","支单位名称","地址","电话"
"8120012","营业部","台北市中山北路二段４４号","02 25683988"
"8120023","敦南分行","台北市大安区仁爱路４段１１８号","02 23268899"
"8120045","新生分行","台北市新生南路一段６２号","02 23952888"
"8120056","新庄分行","台北县新庄市中华路二段７５号","02 29980888"
"8120067","桃园分行","桃园县桃园市复兴路２０５号","03 3396000"
"8120078","台中分行","台中市台中港路一段３０８号","04 23285577"
"8120089","板桥分行","台北县板桥市中正路１７６号","02 29658888"
"8120090","高雄分行","高雄市中华三路９８号","07 2824300"
"8120104","台南分行","台南市西门路二段３８９号","06 2233383"
"8120115","南京东路分行","台北市南京东路三段２８９号","02 25461068"
"8120126","中坜分行","桃园县中坜市延平路３６６号１楼","03 4272345"
"8120137","信托部","台北市南京东路三段２８７号２Ｆ","02 27195888"
"8120159","苓雅分行","高雄市中山二路２６０号１楼","07 5375537"
"8120160","芦洲分行","台北县芦洲市民族路２６５∣２６７号","02 28485858"
"8120171","天母分行","台北市忠诚路一段５６号","02 28363988"
"8120182","大里分行","台中县大里市中兴路二段１２７号","04 24834088"
"8120207","中和分行","台北县永和市中和路３４３号","02 22327788"
"8120218","嘉义分行","嘉义市垂杨路６２０号","05 2222818"
"8120229","丰原分行","台中县丰原市圆环南路１２９号","04 25257999"
"8120230","花莲分行","花莲县花莲市中正路１８３号","03 8345930"
"8120241","新竹分行","新竹市东大路二段８３号","03 5351546"
"8120252","七贤分行","高雄市七贤一路３８６号１楼","07 2388545"
"8120263","信义分行","台北市乐利路８９号","02 27393988"
"8120274","北台中分行","台中市北屯区崇德路二段５５号","04 22326886"
"8120285","三重分行","台北县三重市正义北路１１２号","02 29836100"
"8120296","永福分行","台南市永福路二段１５０号","06 2204622"
"8120300","屏东分行","屏东县屏东市广东路１０３号","08 7217777"
"8120311","大安分行","台北市信义路三段１１８号","02 27009388"
"8120322","龙潭分行","桃园县龙潭乡中正路１７６号","03 4993800"
"8120333","崇德分行","台南市崇德路２６０号","06 2906901"
"8120344","金华分行","台南市金华路二段１９５号","06 2639121"
"8120355","后甲分行","台南市裕农路６６０号１楼","06 2687412"
"8120366","海佃分行","台南市海佃路一段１３０号","06 2585015"
"8120377","彰化分行","彰化县彰化市中正路一段２７３号","04 7227789"
"8120388","五甲分行","高雄县凤山市五甲三路９号","07 8131168"
"8120399","凤山分行","高雄县凤山市中山西路１０５号","07 7199999"
"8120403","古亭分行","台北市罗斯福路三段２８号","02 23646888"
"8120414","建桥分行","台北市建国北路一段９６号２楼","02 25081899"
"8120436","民生分行","台北市松山区富锦街５０８号","02 87872680"
"8120447","太平分行","台中县太平市宜昌路５１１号","04 22730588"
"8120458","和平分行","台北市和平东路一段２３８号","02 23685589"
"8120469","北高雄分行","高雄市博爱二路３６０号","07 5509900"
"8120470","南新庄分行","台北县新庄市富国路５８之１号","02 29068868"
"8120481","内湖分行","台北市内湖路一段３５８号","02 26599966"
"8120492","永和分行","台北县永和市竹林路１９５号","02 89280588"
"8120517","逢甲分行","台中市河南路二段２５８号","04 24517890"
"8120528","竹科分行","新竹市光复路二段２８９号","03 5163123"
